country,numberOfRepositories
us,2167
cn,1084
gb,318
de,278
fr,166
ca,161
jp,123
in,91
au,85
nl,83
se,75
es,72
ru,64
pl,61
it,58
br,49
ch,49
ua,41
kr,36
fi,33
at,33
no,31
tw,30
il,26
be,26
sg,24
dk,24
cr,23
ie,22
cz,20
pt,18
ar,17
nz,16
by,15
ro,14
bg,14
ae,13
tr,12
vn,10
lv,9
gr,9
hu,7
id,7
ee,5
eg,5
za,5
th,4
uy,4
lu,4
mx,4
ng,4
si,3
hr,3
sk,3
pk,3
mt,2
sc,2
ge,2
co,2
rs,2
bd,2
jm,2
ph,2
cm,1
ma,1
ir,1
lb,1
pe,1
me,1
dz,1
ba,1
is,1
ve,1
am,1
bh,1
my,1
lk,1
md,1
tz,1
tn,1
