owner,name,fullName,numberOfStars,country,language
kamranahmedse,developer-roadmap,kamranahmedse/developer-roadmap,86793,ae,
kamranahmedse,design-patterns-for-humans,kamranahmedse/design-patterns-for-humans,25916,ae,
ziishaned,learn-regex,ziishaned/learn-regex,25321,ae,
railsware,upterm,railsware/upterm,19737,ae,TypeScript
kamranahmedse,driver.js,kamranahmedse/driver.js,10253,ae,JavaScript
Idnan,bash-guide,Idnan/bash-guide,9191,ae,
arasatasaygin,is.js,arasatasaygin/is.js,8704,ae,JavaScript
kamranahmedse,git-standup,kamranahmedse/git-standup,6308,ae,Shell
tiangolo,fastapi,tiangolo/fastapi,3979,ae,Python
yagiz,Bagel,yagiz/Bagel,3140,ae,Swift
kamranahmedse,pennywise,kamranahmedse/pennywise,2776,ae,JavaScript
ziishaned,dumper.js,ziishaned/dumper.js,2644,ae,JavaScript
arasatasaygin,openlogos,arasatasaygin/openlogos,2517,ae,
