owner,name,fullName,numberOfStars,country,language
godotengine,godot,godotengine/godot,24022,ar,C++
pomber,git-history,pomber/git-history,10927,ar,JavaScript
mgonto,restangular,mgonto/restangular,8109,ar,JavaScript
Mango,slideout,Mango/slideout,7781,ar,JavaScript
aseprite,aseprite,aseprite/aseprite,6672,ar,C++
cazala,synaptic,cazala/synaptic,6595,ar,JavaScript
marcosgriselli,ViewAnimator,marcosgriselli/ViewAnimator,5444,ar,Swift
norman,friendly_id,norman/friendly_id,5239,ar,Ruby
ramboxapp,community-edition,ramboxapp/community-edition,4741,ar,JavaScript
Aerolab,midnight.js,Aerolab/midnight.js,3543,ar,JavaScript
flesler,jquery.scrollTo,flesler/jquery.scrollTo,3420,ar,JavaScript
pomber,code-surfer,pomber/code-surfer,3099,ar,JavaScript
benjamine,jsondiffpatch,benjamine/jsondiffpatch,2943,ar,JavaScript
andresriancho,w3af,andresriancho/w3af,2778,ar,Python
maurosoria,dirsearch,maurosoria/dirsearch,2673,ar,Python
pazguille,offline-first,pazguille/offline-first,2546,ar,
damianavila,RISE,damianavila/RISE,2370,ar,JavaScript
