owner,name,fullName,numberOfStars,country,language
PhilJay,MPAndroidChart,PhilJay/MPAndroidChart,23764,at,Java
enyo,dropzone,enyo/dropzone,13952,at,JavaScript
janpaepke,ScrollMagic,janpaepke/ScrollMagic,10013,at,JavaScript
mikepenz,MaterialDrawer,mikepenz/MaterialDrawer,9547,at,Java
alexjc,neural-doodle,alexjc/neural-doodle,8655,at,Python
alexjc,neural-enhance,alexjc/neural-enhance,8330,at,Python
steipete,Aspects,steipete/Aspects,6641,at,Objective-C
astuetz,PagerSlidingTabStrip,astuetz/PagerSlidingTabStrip,6586,at,Java
bebraw,jswiki,bebraw/jswiki,3869,at,JavaScript
mikepenz,Android-Iconics,mikepenz/Android-Iconics,3855,at,Java
webmozart,assert,webmozart/assert,3847,at,PHP
majodev,google-webfonts-helper,majodev/google-webfonts-helper,3775,at,JavaScript
IAIK,meltdown,IAIK/meltdown,3521,at,C
chassing,linux-sysadmin-interview-questions,chassing/linux-sysadmin-interview-questions,3140,at,
okonet,lint-staged,okonet/lint-staged,3135,at,JavaScript
axkibe,lsyncd,axkibe/lsyncd,3050,at,Lua
lektor,lektor,lektor/lektor,2849,at,Python
xenolf,lego,xenolf/lego,2786,at,Go
serratus,quaggaJS,serratus/quaggaJS,2716,at,JavaScript
substance,substance,substance/substance,2548,at,JavaScript
steipete,PSTCollectionView,steipete/PSTCollectionView,2529,at,Objective-C
sehmaschine,django-grappelli,sehmaschine/django-grappelli,2404,at,HTML
inspirit,jsfeat,inspirit/jsfeat,2350,at,JavaScript
mikepenz,FastAdapter,mikepenz/FastAdapter,2344,at,Java
mitsuhiko,flask-sqlalchemy,mitsuhiko/flask-sqlalchemy,2234,at,Python
markushi,android-ui,markushi/android-ui,2228,at,Java
Gamua,Starling-Framework,Gamua/Starling-Framework,2187,at,ActionScript
mdbloice,Augmentor,mdbloice/Augmentor,2187,at,Python
mikepenz,AboutLibraries,mikepenz/AboutLibraries,2147,at,Java
mxstbr,sharingbuttons.io,mxstbr/sharingbuttons.io,2094,at,JavaScript
W4RH4WK,Debloat-Windows-10,W4RH4WK/Debloat-Windows-10,2089,at,PowerShell
michaelbromley,angularUtils,michaelbromley/angularUtils,2039,at,JavaScript
steipete,PSStackedView,steipete/PSStackedView,2027,at,Objective-C
myell0w,MTStatusBarOverlay,myell0w/MTStatusBarOverlay,1993,at,Objective-C
omnidan,redux-undo,omnidan/redux-undo,1973,at,JavaScript
mariohahn,MHVideoPhotoGallery,mariohahn/MHVideoPhotoGallery,1971,at,Objective-C
aschuch,StatefulViewController,aschuch/StatefulViewController,1971,at,Swift
nefarius,ScpToolkit,nefarius/ScpToolkit,1826,at,C#
mikepenz,LollipopShowcase,mikepenz/LollipopShowcase,1802,at,Java
mitsuhiko,pipsi,mitsuhiko/pipsi,1735,at,Python
mherrmann,fbs,mherrmann/fbs,1644,at,Python
cocur,slugify,cocur/slugify,1610,at,PHP
