owner,name,fullName,numberOfStars,country,language
JedWatson,react-select,JedWatson/react-select,17606,au,JavaScript
chrisbanes,PhotoView,chrisbanes/PhotoView,15765,au,Java
nosir,cleave.js,nosir/cleave.js,14724,au,JavaScript
sampotts,plyr,sampotts/plyr,14675,au,JavaScript
orhanobut,logger,orhanobut/logger,11558,au,Java
JedWatson,classnames,JedWatson/classnames,11091,au,JavaScript
DmitryBaranovskiy,raphael,DmitryBaranovskiy/raphael,10346,au,JavaScript
flarum,flarum,flarum/flarum,9279,au,PHP
chrisbanes,Android-PullToRefresh,chrisbanes/Android-PullToRefresh,8809,au,Java
lukesampson,scoop,lukesampson/scoop,8321,au,PowerShell
cdnjs,cdnjs,cdnjs/cdnjs,7852,au,
chrisbanes,cheesesquare,chrisbanes/cheesesquare,7745,au,Java
basarat,typescript-book,basarat/typescript-book,7389,au,TypeScript
squizlabs,PHP_CodeSniffer,squizlabs/PHP_CodeSniffer,6752,au,PHP
atomiks,tippyjs,atomiks/tippyjs,6405,au,JavaScript
kyleneideck,BackgroundMusic,kyleneideck/BackgroundMusic,5595,au,C++
lebinh,ngxtop,lebinh/ngxtop,5555,au,Python
Raathigesh,majestic,Raathigesh/majestic,5404,au,TypeScript
dmytrodanylyk,circular-progress-button,dmytrodanylyk/circular-progress-button,5313,au,Java
a1studmuffin,SpaceshipGenerator,a1studmuffin/SpaceshipGenerator,5227,au,Python
AliasIO,Wappalyzer,AliasIO/Wappalyzer,5185,au,JavaScript
dae,anki,dae/anki,5149,au,Python
justinfrench,formtastic,justinfrench/formtastic,5083,au,Ruby
JakeLin,SwiftLanguageWeather,JakeLin/SwiftLanguageWeather,5049,au,Swift
philackm,ScrollableGraphView,philackm/ScrollableGraphView,4985,au,Swift
reactiveui,ReactiveUI,reactiveui/ReactiveUI,4792,au,C#
redguardtoo,mastering-emacs-in-one-year-guide,redguardtoo/mastering-emacs-in-one-year-guide,4771,au,
flarum,core,flarum/core,4691,au,PHP
insin,nwb,insin/nwb,4685,au,JavaScript
markdalgleish,stellar.js,markdalgleish/stellar.js,4601,au,JavaScript
orhanobut,dialogplus,orhanobut/dialogplus,4567,au,Java
moroshko,react-autosuggest,moroshko/react-autosuggest,4551,au,JavaScript
buymeasoda,soda-theme,buymeasoda/soda-theme,4431,au,
davecheney,httpstat,davecheney/httpstat,4322,au,Go
dformoso,machine-learning-mindmap,dformoso/machine-learning-mindmap,4159,au,
stephenmcd,mezzanine,stephenmcd/mezzanine,3900,au,Python
JosephusPaye,Keen-UI,JosephusPaye/Keen-UI,3784,au,JavaScript
jpillora,cloud-torrent,jpillora/cloud-torrent,3661,au,Go
KelvinJin,AnimatedCollectionViewLayout,KelvinJin/AnimatedCollectionViewLayout,3612,au,Swift
alecthomas,gometalinter,alecthomas/gometalinter,3566,au,Go
xxhomey19,nba-go,xxhomey19/nba-go,3491,au,JavaScript
orhanobut,hawk,orhanobut/hawk,3457,au,Java
reactiveui,refit,reactiveui/refit,3439,au,C#
joho,7XX-rfc,joho/7XX-rfc,3293,au,Makefile
99designs,gqlgen,99designs/gqlgen,3257,au,Go
chrisbanes,ActionBar-PullToRefresh,chrisbanes/ActionBar-PullToRefresh,3252,au,Java
MugunthKumar,MKNetworkKit,MugunthKumar/MKNetworkKit,3164,au,Objective-C
jpillora,chisel,jpillora/chisel,3156,au,Go
mikel,mail,mikel/mail,3111,au,Ruby
mrvautin,adminMongo,mrvautin/adminMongo,2993,au,JavaScript
sporto,awesome-elm,sporto/awesome-elm,2987,au,
jpillora,xdomain,jpillora/xdomain,2978,au,JavaScript
anacrolix,torrent,anacrolix/torrent,2950,au,Go
dmytrodanylyk,android-process-button,dmytrodanylyk/android-process-button,2919,au,Java
Daemonite,material,Daemonite/material,2911,au,CSS
matthewpalmer,Locksmith,matthewpalmer/Locksmith,2801,au,Swift
BeauNouvelle,FaceAware,BeauNouvelle/FaceAware,2774,au,Swift
chrismiles,CMPopTipView,chrismiles/CMPopTipView,2737,au,Objective-C
olebedev,go-starter-kit,olebedev/go-starter-kit,2720,au,Go
jtblin,angular-chart.js,jtblin/angular-chart.js,2710,au,JavaScript
roboticcam,machine-learning-notes,roboticcam/machine-learning-notes,2690,au,Jupyter Notebook
Malinskiy,SuperRecyclerView,Malinskiy/SuperRecyclerView,2641,au,Java
humaan,Modaal,humaan/Modaal,2609,au,JavaScript
mcnamee,react-native-starter-kit,mcnamee/react-native-starter-kit,2607,au,JavaScript
alecthomas,kingpin,alecthomas/kingpin,2592,au,Go
yonaskolb,XcodeGen,yonaskolb/XcodeGen,2545,au,Swift
seek-oss,playroom,seek-oss/playroom,2521,au,JavaScript
JasonGT,NorthwindTraders,JasonGT/NorthwindTraders,2497,au,C#
99designs,aws-vault,99designs/aws-vault,2495,au,Go
jagregory,abrash-black-book,jagregory/abrash-black-book,2358,au,CSS
thomasdavis,backbonetutorials,thomasdavis/backbonetutorials,2332,au,JavaScript
abrasive,shairport,abrasive/shairport,2307,au,C
chrisbanes,tivi,chrisbanes/tivi,2275,au,Kotlin
DWilliames,paddy-sketch-plugin,DWilliames/paddy-sketch-plugin,2245,au,JavaScript
domesticcatsoftware,DCIntrospect,domesticcatsoftware/DCIntrospect,2209,au,Objective-C
rochal,jQuery-slimScroll,rochal/jQuery-slimScroll,2205,au,JavaScript
unruledboy,WebFrontEndStack,unruledboy/WebFrontEndStack,2182,au,JavaScript
OJ,gobuster,OJ/gobuster,2180,au,Go
soarcn,BottomSheet,soarcn/BottomSheet,2166,au,Java
joho,godotenv,joho/godotenv,2160,au,Go
nathanaelkane,vim-indent-guides,nathanaelkane/vim-indent-guides,2154,au,Vim script
MugunthKumar,MKStoreKit,MugunthKumar/MKStoreKit,2146,au,Objective-C
JimBobSquarePants,ImageProcessor,JimBobSquarePants/ImageProcessor,2135,au,C#
chrisbanes,philm,chrisbanes/philm,2134,au,Java
hugomd,parrot.live,hugomd/parrot.live,2112,au,JavaScript
