owner,name,fullName,numberOfStars,country,language
odoo,odoo,odoo/odoo,10778,be,Python
bendc,frontend-guidelines,bendc/frontend-guidelines,7197,be,
clips,pattern,clips/pattern,6438,be,Python
bendc,animateplus,bendc/animateplus,4975,be,JavaScript
MichielDerhaeg,build-linux,MichielDerhaeg/build-linux,4636,be,Shell
jonathanslenders,python-prompt-toolkit,jonathanslenders/python-prompt-toolkit,4631,be,Python
bendc,sprint,bendc/sprint,4395,be,JavaScript
spatie,laravel-permission,spatie/laravel-permission,4322,be,PHP
jedi4ever,veewee,jedi4ever/veewee,4183,be,Shell
thibmaek,awesome-raspberry-pi,thibmaek/awesome-raspberry-pi,4121,be,
RobinHerbots,Inputmask,RobinHerbots/Inputmask,3931,be,JavaScript
tijsverkoyen,CssToInlineStyles,tijsverkoyen/CssToInlineStyles,3705,be,PHP
jenssegers,laravel-mongodb,jenssegers/laravel-mongodb,3554,be,PHP
louisdh,panelkit,louisdh/panelkit,3482,be,Swift
misterch0c,shadowbroker,misterch0c/shadowbroker,3295,be,Python
FLIF-hub,FLIF,FLIF-hub/FLIF,3009,be,C++
jonathanslenders,ptpython,jonathanslenders/ptpython,2785,be,Python
davideas,FlexibleAdapter,davideas/FlexibleAdapter,2764,be,Java
nathanvda,cocoon,nathanvda/cocoon,2693,be,Ruby
spatie,laravel-backup,spatie/laravel-backup,2693,be,PHP
gcp,leela-zero,gcp/leela-zero,2681,be,C++
phpro,grumphp,phpro/grumphp,2411,be,PHP
spatie,laravel-medialibrary,spatie/laravel-medialibrary,2404,be,PHP
JanVanRyswyck,awesome-talks,JanVanRyswyck/awesome-talks,2326,be,
jenssegers,agent,jenssegers/agent,2213,be,PHP
gijsroge,tilt.js,gijsroge/tilt.js,2210,be,JavaScript
nodebox,opentype.js,nodebox/opentype.js,2108,be,JavaScript
jonathanslenders,pyvim,jonathanslenders/pyvim,2102,be,Python
spatie,laravel-activitylog,spatie/laravel-activitylog,1751,be,PHP
SamVerschueren,listr,SamVerschueren/listr,1724,be,JavaScript
