owner,name,fullName,numberOfStars,country,language
erusev,parsedown,erusev/parsedown,11567,bg,PHP
krasimir,react-in-patterns,krasimir/react-in-patterns,10478,bg,JavaScript
vakata,jstree,vakata/jstree,4440,bg,JavaScript
bbatsov,prelude,bbatsov/prelude,4192,bg,Emacs Lisp
VPenkov,okayNav,VPenkov/okayNav,4139,bg,JavaScript
deepsyx,home-automation,deepsyx/home-automation,3319,bg,JavaScript
bbatsov,clojure-style-guide,bbatsov/clojure-style-guide,3255,bg,
astoilkov,jsblocks,astoilkov/jsblocks,2822,bg,JavaScript
bbatsov,projectile,bbatsov/projectile,2727,bg,Emacs Lisp
tonytomov,jqGrid,tonytomov/jqGrid,2707,bg,JavaScript
ggerganov,kbd-audio,ggerganov/kbd-audio,2309,bg,C++
onqtam,awesome-cmake,onqtam/awesome-cmake,2307,bg,
robbdimitrov,RDVTabBarController,robbdimitrov/RDVTabBarController,2206,bg,Objective-C
telerik,kendo-ui-core,telerik/kendo-ui-core,2180,bg,JavaScript
