owner,name,fullName,numberOfStars,country,language
vsouza,awesome-ios,vsouza/awesome-ios,27169,br,Swift
RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,19540,br,JavaScript
plataformatec,devise,plataformatec/devise,19008,br,Ruby
pedronauck,docz,pedronauck/docz,9468,br,TypeScript
plataformatec,simple_form,plataformatec/simple_form,7158,br,Ruby
braziljs,js-the-right-way,braziljs/js-the-right-way,7014,br,HTML
insidegui,WWDC,insidegui/WWDC,6722,br,Swift
thumbor,thumbor,thumbor/thumbor,6155,br,Python
leandromoreira,digital_video_introduction,leandromoreira/digital_video_introduction,5951,br,Jupyter Notebook
tayllan,awesome-algorithms,tayllan/awesome-algorithms,5122,br,
Respect,Validation,Respect/Validation,4691,br,PHP
NickeManarin,ScreenToGif,NickeManarin/ScreenToGif,4598,br,C#
clappr,clappr,clappr/clappr,4325,br,JavaScript
kazzkiq,balloon.css,kazzkiq/balloon.css,4071,br,CSS
gilbarbara,logos,gilbarbara/logos,3968,br,
leandromoreira,ffmpeg-libav-tutorial,leandromoreira/ffmpeg-libav-tutorial,3651,br,C
hishamhm,htop,hishamhm/htop,3385,br,C
okfn-brasil,serenata-de-amor,okfn-brasil/serenata-de-amor,3367,br,Python
dogo,SCLAlertView,dogo/SCLAlertView,3126,br,Objective-C
mbdavid,LiteDB,mbdavid/LiteDB,3121,br,C#
accord-net,framework,accord-net/framework,2989,br,C#
imbrn,v8n,imbrn/v8n,2798,br,JavaScript
andersao,l5-repository,andersao/l5-repository,2677,br,PHP
ramon82,zuck.js,ramon82/zuck.js,2509,br,JavaScript
caiorss,Functional-Programming,caiorss/Functional-Programming,2313,br,Haskell
thiagopradi,octopus,thiagopradi/octopus,2230,br,Ruby
dirtycow,dirtycow.github.io,dirtycow/dirtycow.github.io,2199,br,HTML
ivanseidel,IAMDinosaur,ivanseidel/IAMDinosaur,2194,br,JavaScript
pablohpsilva,vuejs-component-style-guide,pablohpsilva/vuejs-component-style-guide,2168,br,
wbotelhos,raty,wbotelhos/raty,2144,br,JavaScript
SSYGEN,blog,SSYGEN/blog,2109,br,
P0cL4bs,WiFi-Pumpkin,P0cL4bs/WiFi-Pumpkin,2016,br,Python
dleitee,strman,dleitee/strman,2013,br,JavaScript
renatorib,react-powerplug,renatorib/react-powerplug,1998,br,JavaScript
gilbarbara,react-joyride,gilbarbara/react-joyride,1991,br,JavaScript
melanke,Watch.JS,melanke/Watch.JS,1988,br,JavaScript
gabrielrcouto,php-gui,gabrielrcouto/php-gui,1975,br,PHP
diegohaz,arc,diegohaz/arc,1957,br,JavaScript
rochacbruno,quokka,rochacbruno/quokka,1921,br,Python
luisvinicius167,ityped,luisvinicius167/ityped,1865,br,JavaScript
dolce,iziModal,dolce/iziModal,1855,br,CSS
cobrateam,splinter,cobrateam/splinter,1816,br,Python
tallesl,Rich-Hickey-fanclub,tallesl/Rich-Hickey-fanclub,1806,br,HTML
marcelgsantos,learning-oop-in-php,marcelgsantos/learning-oop-in-php,1803,br,
onlurking,awesome-infosec,onlurking/awesome-infosec,1802,br,
lerrua,remote-jobs-brazil,lerrua/remote-jobs-brazil,1778,br,
millermedeiros,js-signals,millermedeiros/js-signals,1744,br,JavaScript
plataformatec,responders,plataformatec/responders,1695,br,Ruby
antonioribeiro,tracker,antonioribeiro/tracker,1666,br,PHP
mbenford,ngTagsInput,mbenford/ngTagsInput,1653,br,JavaScript
haskellcamargo,gemidao-do-zap,haskellcamargo/gemidao-do-zap,1646,br,JavaScript
wilsonfreitas,awesome-quant,wilsonfreitas/awesome-quant,1629,br,
