owner,name,fullName,numberOfStars,country,language
nostra13,Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,16253,by,Java
akveo,ngx-admin,akveo/ngx-admin,12836,by,TypeScript
akveo,blur-admin,akveo/blur-admin,9172,by,JavaScript
quozd,awesome-dotnet,quozd/awesome-dotnet,7356,by,
epicmaxco,vuestic-admin,epicmaxco/vuestic-admin,4628,by,Vue
akveo,kittenTricks,akveo/kittenTricks,4036,by,JavaScript
dillidon,alerts-and-pickers,dillidon/alerts-and-pickers,2947,by,Swift
akveo,react-native-ui-kitten,akveo/react-native-ui-kitten,2894,by,JavaScript
asaskevich,govalidator,asaskevich/govalidator,2803,by,Go
bopoda,ace,bopoda/ace,2710,by,HTML
epicmaxco,epic-spinners,epicmaxco/epic-spinners,2368,by,Vue
akveo,nebular,akveo/nebular,1978,by,TypeScript
IvanVorobei,RequestPermission,IvanVorobei/RequestPermission,1880,by,Swift
flatlogic,awesome-bootstrap-checkbox,flatlogic/awesome-bootstrap-checkbox,1846,by,CSS
