owner,name,fullName,numberOfStars,country,language
adam-p,markdown-here,adam-p/markdown-here,40130,ca,JavaScript
thedaviddias,Front-End-Checklist,thedaviddias/Front-End-Checklist,35856,ca,JavaScript
k88hudson,git-flight-rules,k88hudson/git-flight-rules,30868,ca,
terryum,awesome-deep-learning-papers,terryum/awesome-deep-learning-papers,19577,ca,TeX
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,19014,ca,Jupyter Notebook
syl20bnr,spacemacs,syl20bnr/spacemacs,18316,ca,Emacs Lisp
gorhill,uBlock,gorhill/uBlock,17733,ca,JavaScript
bcit-ci,CodeIgniter,bcit-ci/CodeIgniter,17560,ca,PHP
PerfectlySoft,Perfect,PerfectlySoft/Perfect,13551,ca,Swift
StevenBlack,hosts,StevenBlack/hosts,13285,ca,Python
briannesbitt,Carbon,briannesbitt/Carbon,13136,ca,PHP
sirupsen,logrus,sirupsen/logrus,12132,ca,Go
dzenbot,DZNEmptyDataSet,dzenbot/DZNEmptyDataSet,11497,ca,Objective-C
feathersjs,feathers,feathersjs/feathers,11302,ca,JavaScript
CosmicMind,Material,CosmicMind/Material,11123,ca,Swift
wesbos,JavaScript30,wesbos/JavaScript30,10996,ca,HTML
jaredreich,pell,jaredreich/pell,10934,ca,JavaScript
thedaviddias,Front-End-Performance-Checklist,thedaviddias/Front-End-Performance-Checklist,10887,ca,
plotly,plotly.js,plotly/plotly.js,10617,ca,JavaScript
getinsomnia,insomnia,getinsomnia/insomnia,10590,ca,JavaScript
NodeBB,NodeBB,NodeBB/NodeBB,10352,ca,JavaScript
Jam3,math-as-code,Jam3/math-as-code,10081,ca,
plotly,dash,plotly/dash,9706,ca,Python
alex000kim,nsfw_data_scraper,alex000kim/nsfw_data_scraper,9446,ca,Shell
sdelements,lets-chat,sdelements/lets-chat,9177,ca,JavaScript
apenwarr,sshuttle,apenwarr/sshuttle,8997,ca,Python
gizak,termui,gizak/termui,8994,ca,Go
spencermountain,compromise,spencermountain/compromise,8844,ca,JavaScript
mrmrs,colors,mrmrs/colors,8494,ca,CSS
gabrielbull,react-desktop,gabrielbull/react-desktop,8374,ca,JavaScript
tristanhimmelman,ObjectMapper,tristanhimmelman/ObjectMapper,8179,ca,Swift
