owner,name,fullName,numberOfStars,country,language
danistefanovic,build-your-own-x,danistefanovic/build-your-own-x,37187,ch,
Seldaek,monolog,Seldaek/monolog,11361,ch,PHP
gionkunz,chartist-js,gionkunz/chartist-js,11014,ch,JavaScript
jwagner,smartcrop.js,jwagner/smartcrop.js,10607,ch,JavaScript
drcmda,react-spring,drcmda/react-spring,6900,ch,JavaScript
jgraph,drawio,jgraph/drawio,6823,ch,JavaScript
nst,iOS-Runtime-Headers,nst/iOS-Runtime-Headers,6701,ch,Objective-C
jantimon,html-webpack-plugin,jantimon/html-webpack-plugin,6264,ch,JavaScript
divio,django-cms,divio/django-cms,6110,ch,Python
adrai,flowchart.js,adrai/flowchart.js,5150,ch,JavaScript
piskelapp,piskel,piskelapp/piskel,4482,ch,JavaScript
cgoldsby,LoginCritter,cgoldsby/LoginCritter,4387,ch,Swift
BafS,Gutenberg,BafS/Gutenberg,3906,ch,CSS
davidhalter,jedi-vim,davidhalter/jedi-vim,3583,ch,Vim script
peterbraden,node-opencv,peterbraden/node-opencv,3506,ch,C++
davidhalter,jedi,davidhalter/jedi,3420,ch,Python
garnele007,SwiftOCR,garnele007/SwiftOCR,3372,ch,Swift
stoeffel,awesome-fp-js,stoeffel/awesome-fp-js,3287,ch,
lampepfl,dotty,lampepfl/dotty,2864,ch,Scala
nst,RuntimeBrowser,nst/RuntimeBrowser,2694,ch,Objective-C
0xced,iOS-Artwork-Extractor,0xced/iOS-Artwork-Extractor,2666,ch,Objective-C
jOOQ,jOOQ,jOOQ/jOOQ,2546,ch,Java
yarrick,iodine,yarrick/iodine,2464,ch,C
heathermiller,dist-prog-book,heathermiller/dist-prog-book,2418,ch,CSS
jgraph,mxgraph,jgraph/mxgraph,2385,ch,HTML
status-im,status-react,status-im/status-react,2374,ch,Clojure
0xced,XCDYouTubeKit,0xced/XCDYouTubeKit,2367,ch,Objective-C
marcbachmann,node-html-pdf,marcbachmann/node-html-pdf,2307,ch,JavaScript
wjakob,nanogui,wjakob/nanogui,2197,ch,C++
snabbco,snabb,snabbco/snabb,2038,ch,Lua
sustrik,libmill,sustrik/libmill,2017,ch,C
nightrome,really-awesome-gan,nightrome/really-awesome-gan,1954,ch,
tobie,ua-parser,tobie/ua-parser,1943,ch,Perl
yarrick,pingfs,yarrick/pingfs,1907,ch,C
PX4,Firmware,PX4/Firmware,1899,ch,C++
pstadler,keybase-gpg-github,pstadler/keybase-gpg-github,1895,ch,
mpospese,MPFoldTransition,mpospese/MPFoldTransition,1889,ch,Objective-C
getflourish,Sketch-Style-Inventory,getflourish/Sketch-Style-Inventory,1824,ch,JavaScript
jaspervdj,hakyll,jaspervdj/hakyll,1804,ch,Haskell
noelboss,featherlight,noelboss/featherlight,1750,ch,JavaScript
molnarg,node-http2,molnarg/node-http2,1727,ch,JavaScript
ProtonMail,WebClient,ProtonMail/WebClient,1718,ch,JavaScript
pstadler,flightplan,pstadler/flightplan,1708,ch,JavaScript
ruflin,Elastica,ruflin/Elastica,1702,ch,PHP
nelmio,alice,nelmio/alice,1685,ch,PHP
bndr,pipreqs,bndr/pipreqs,1675,ch,Python
danielkummer,git-flow-cheatsheet,danielkummer/git-flow-cheatsheet,1667,ch,HTML
lucas-clemente,quic-go,lucas-clemente/quic-go,1661,ch,Go
rogerdudler,git-guide,rogerdudler/git-guide,1633,ch,HTML
videlalvaro,gifsockets,videlalvaro/gifsockets,1629,ch,Java
akosma,SwiftMoment,akosma/SwiftMoment,1609,ch,Swift
