owner,name,fullName,numberOfStars,country,language
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,37557,cn,JavaScript
CyC2018,CS-Notes,CyC2018/CS-Notes,32796,cn,
ElemeFE,element,ElemeFE/element,30084,cn,Vue
FreeCodeCampChina,freecodecamp.cn,FreeCodeCampChina/freecodecamp.cn,28191,cn,CSS
Trinea,android-open-project,Trinea/android-open-project,27290,cn,
astaxie,build-web-application-with-golang,astaxie/build-web-application-with-golang,24664,cn,Go
xingshaocheng,architect-awesome,xingshaocheng/architect-awesome,23751,cn,
bailicangdu,vue2-elm,bailicangdu/vue2-elm,21611,cn,Vue
jaywcjlove,awesome-mac,jaywcjlove/awesome-mac,20505,cn,HTML
Bilibili,ijkplayer,Bilibili/ijkplayer,20215,cn,C
Tencent,weui,Tencent/weui,19805,cn,CSS
Blankj,AndroidUtilCode,Blankj/AndroidUtilCode,19536,cn,Java
exacity,deeplearningbook-chinese,exacity/deeplearningbook-chinese,19458,cn,TeX
floodsung,Deep-Learning-Papers-Reading-Roadmap,floodsung/Deep-Learning-Papers-Reading-Roadmap,18792,cn,Python
PanJiaChen,vue-element-admin,PanJiaChen/vue-element-admin,18163,cn,Vue
racaljk,hosts,racaljk/hosts,17231,cn,Rascal
justjavac,awesome-wechat-weapp,justjavac/awesome-wechat-weapp,17157,cn,JavaScript
alibaba,weex,alibaba/weex,17005,cn,
iview,iview,iview/iview,16905,cn,Vue
fouber,blog,fouber/blog,16747,cn,
astaxie,beego,astaxie/beego,16649,cn,Go
xitu,gold-miner,xitu/gold-miner,15801,cn,
sorrycc,awesome-javascript,sorrycc/awesome-javascript,15171,cn,
fxsjy,jieba,fxsjy/jieba,14811,cn,Python
julycoding,The-Art-Of-Programming-By-July,julycoding/The-Art-Of-Programming-By-July,14745,cn,C
alibaba,fastjson,alibaba/fastjson,14689,cn,Java
CymChad,BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,14688,cn,Java
fatedier,frp,fatedier/frp,14619,cn,Go
sentsin,layui,sentsin/layui,14539,cn,JavaScript
ruanyf,jstraining,ruanyf/jstraining,14283,cn,
scwang90,SmartRefreshLayout,scwang90/SmartRefreshLayout,13912,cn,Java
wangshub,wechat_jump_game,wangshub/wechat_jump_game,13876,cn,Python
iamkun,dayjs,iamkun/dayjs,13787,cn,JavaScript
airyland,vux,airyland/vux,13786,cn,Vue
ruanyf,es6tutorial,ruanyf/es6tutorial,13698,cn,JavaScript
alsotang,node-lessons,alsotang/node-lessons,13424,cn,JavaScript
Tencent,wepy,Tencent/wepy,13412,cn,JavaScript
lhc70000,iina,lhc70000/iina,13348,cn,Swift
ipader,SwiftGuide,ipader/SwiftGuide,13322,cn,Swift
ruanyf,react-demos,ruanyf/react-demos,13318,cn,JavaScript
JacksonTian,fks,JacksonTian/fks,12971,cn,JavaScript
Bilibili,flv.js,Bilibili/flv.js,12845,cn,JavaScript
iissnan,hexo-theme-next,iissnan/hexo-theme-next,12758,cn,CSS
alibaba,druid,alibaba/druid,12740,cn,Java
Meituan-Dianping,mpvue,Meituan-Dianping/mpvue,12662,cn,JavaScript
ibireme,YYKit,ibireme/YYKit,12395,cn,Objective-C
chaozh,awesome-blockchain-cn,chaozh/awesome-blockchain-cn,12355,cn,JavaScript
Tencent,tinker,Tencent/tinker,12349,cn,Java
amazeui,amazeui,amazeui/amazeui,12169,cn,JavaScript
CoderMJLee,MJRefresh,CoderMJLee/MJRefresh,12148,cn,Objective-C
ElemeFE,mint-ui,ElemeFE/mint-ui,12062,cn,Vue
nswbmw,N-blog,nswbmw/N-blog,11856,cn,JavaScript
davideuler,architecture.of.internet-product,davideuler/architecture.of.internet-product,11658,cn,
hzlzh,Best-App,hzlzh/Best-App,11549,cn,
ty4z2008,Qix,ty4z2008/Qix,11531,cn,
jobbole,awesome-python-cn,jobbole/awesome-python-cn,11345,cn,Makefile
crossoverJie,JCSprout,crossoverJie/JCSprout,11302,cn,Java
shuzheng,zheng,shuzheng/zheng,11207,cn,Java
Tencent,mars,Tencent/mars,10999,cn,C++
chinese-poetry,chinese-poetry,chinese-poetry/chinese-poetry,10816,cn,Python
alibaba,p3c,alibaba/p3c,10732,cn,Kotlin
bang590,JSPatch,bang590/JSPatch,10555,cn,Objective-C
daimajia,AndroidSwipeLayout,daimajia/AndroidSwipeLayout,10420,cn,Java
allenwong,30DaysofSwift,allenwong/30DaysofSwift,10212,cn,Swift
jinzhu,gorm,jinzhu/gorm,10031,cn,Go
gztchan,awesome-design,gztchan/awesome-design,9825,cn,
1c7,chinese-independent-developer,1c7/chinese-independent-developer,9816,cn,
dexteryy,spellbook-of-modern-webdev,dexteryy/spellbook-of-modern-webdev,9807,cn,
kesenhoo,android-training-course-in-chinese,kesenhoo/android-training-course-in-chinese,9778,cn,JavaScript
daimajia,AndroidViewAnimations,daimajia/AndroidViewAnimations,9777,cn,Java
francistao,LearningNotes,francistao/LearningNotes,9755,cn,
dcloudio,mui,dcloudio/mui,9726,cn,JavaScript
hehonghui,android-tech-frontier,hehonghui/android-tech-frontier,9590,cn,
eggjs,egg,eggjs/egg,9585,cn,JavaScript
Unknwon,the-way-to-go_ZH_CN,Unknwon/the-way-to-go_ZH_CN,9488,cn,Go
kevinzhow,PNChart,kevinzhow/PNChart,9400,cn,Objective-C
jikexueyuanwiki,tensorflow-zh,jikexueyuanwiki/tensorflow-zh,9361,cn,TeX
phobal,ivideo,phobal/ivideo,9262,cn,JavaScript
liaohuqiu,android-Ultra-Pull-To-Refresh,liaohuqiu/android-Ultra-Pull-To-Refresh,9247,cn,Java
Neilpang,acme.sh,Neilpang/acme.sh,8961,cn,Shell
judasn,IntelliJ-IDEA-Tutorial,judasn/IntelliJ-IDEA-Tutorial,8923,cn,
shengxinjing,programmer-job-blacklist,shengxinjing/programmer-job-blacklist,8911,cn,
markyun,My-blog,markyun/My-blog,8850,cn,
nuysoft,Mock,nuysoft/Mock,8711,cn,JavaScript
xtaci,kcptun,xtaci/kcptun,8580,cn,Go
jobbole,awesome-java-cn,jobbole/awesome-java-cn,8518,cn,
alibaba,vlayout,alibaba/vlayout,8339,cn,Java
Tencent,VasSonic,Tencent/VasSonic,8323,cn,Java
Curzibn,Luban,Curzibn/Luban,8263,cn,Java
wenzhixin,bootstrap-table,wenzhixin/bootstrap-table,8236,cn,JavaScript
iview,iview-admin,iview/iview-admin,8212,cn,Vue
yangyangwithgnu,hardseed,yangyangwithgnu/hardseed,8183,cn,C++
jeasonlzy,okhttp-OkGo,jeasonlzy/okhttp-OkGo,8060,cn,Java
SBoudrias,Inquirer.js,SBoudrias/Inquirer.js,7864,cn,JavaScript
81813780,AVLoadingIndicatorView,81813780/AVLoadingIndicatorView,7788,cn,Java
TKkk-iOSer,WeChatPlugin-MacOS,TKkk-iOSer/WeChatPlugin-MacOS,7776,cn,Objective-C
CoderMJLee,MJExtension,CoderMJLee/MJExtension,7753,cn,Objective-C
haoel,leetcode,haoel/leetcode,7737,cn,C++
cnodejs,nodeclub,cnodejs/nodeclub,7683,cn,JavaScript
zhihu,Matisse,zhihu/Matisse,7636,cn,Java
lipangit,JiaoZiVideoPlayer,lipangit/JiaoZiVideoPlayer,7522,cn,Java
ibireme,YYText,ibireme/YYText,7507,cn,Objective-C
Aufree,trip-to-iOS,Aufree/trip-to-iOS,7438,cn,Objective-C
leanote,leanote,leanote/leanote,7402,cn,JavaScript
JackyAndroid,AndroidInterview-Q-A,JackyAndroid/AndroidInterview-Q-A,7370,cn,Java
Freelander,Android_Data,Freelander/Android_Data,7361,cn,Java
vondear,RxTool,vondear/RxTool,7318,cn,Java
ctripcorp,apollo,ctripcorp/apollo,7289,cn,Java
aui,art-template,aui/art-template,7262,cn,JavaScript
AlloyTeam,Mars,AlloyTeam/Mars,7259,cn,
alibaba,tengine,alibaba/tengine,7254,cn,C
ElemeFE,node-interview,ElemeFE/node-interview,7249,cn,HTML
ruanyf,webpack-demos,ruanyf/webpack-demos,7233,cn,JavaScript
pcqpcq,open-source-android-apps,pcqpcq/open-source-android-apps,7232,cn,
Bilibili,DanmakuFlameMaster,Bilibili/DanmakuFlameMaster,7158,cn,Java
miloyip,game-programmer,miloyip/game-programmer,7154,cn,Python
lingochamp,FileDownloader,lingochamp/FileDownloader,7152,cn,Java
YoKeyword,Fragmentation,YoKeyword/Fragmentation,7146,cn,Java
alibaba,ARouter,alibaba/ARouter,7145,cn,Java
H07000223,FlycoTabLayout,H07000223/FlycoTabLayout,7103,cn,Java
ustbhuangyi,better-scroll,ustbhuangyi/better-scroll,7073,cn,JavaScript
mqyqingfeng,Blog,mqyqingfeng/Blog,7059,cn,
CarGuo,GSYVideoPlayer,CarGuo/GSYVideoPlayer,7046,cn,Java
fengyuanchen,cropper,fengyuanchen/cropper,7026,cn,JavaScript
NervJS,taro,NervJS/taro,6993,cn,JavaScript
overtrue,wechat,overtrue/wechat,6960,cn,PHP
ChenYilong,iOSInterviewQuestions,ChenYilong/iOSInterviewQuestions,6952,cn,Objective-C
cloudwu,skynet,cloudwu/skynet,6950,cn,C
code4craft,webmagic,code4craft/webmagic,6936,cn,Java
WenchaoD,FSCalendar,WenchaoD/FSCalendar,6909,cn,Objective-C
sentsin,layer,sentsin/layer,6821,cn,JavaScript
alibaba,ice,alibaba/ice,6772,cn,JavaScript
cyfdecyf,cow,cyfdecyf/cow,6746,cn,Go
picturepan2,spectre,picturepan2/spectre,6745,cn,CSS
cymcsg,UltimateRecyclerView,cymcsg/UltimateRecyclerView,6735,cn,Java
Yixiaohan,show-me-the-code,Yixiaohan/show-me-the-code,6709,cn,
shimohq,chinese-programmer-wrong-pronunciation,shimohq/chinese-programmer-wrong-pronunciation,6675,cn,
Tencent,weui-wxss,Tencent/weui-wxss,6659,cn,JavaScript
leecade,react-native-swiper,leecade/react-native-swiper,6621,cn,JavaScript
walkor,Workerman,walkor/Workerman,6600,cn,PHP
lexrus,LTMorphingLabel,lexrus/LTMorphingLabel,6525,cn,Swift
Tencent,rapidjson,Tencent/rapidjson,6518,cn,C++
greatfire,wiki,greatfire/wiki,6491,cn,
museui,muse-ui,museui/muse-ui,6442,cn,Vue
