owner,name,fullName,numberOfStars,country,language
adobe,brackets,adobe/brackets,30047,cr,JavaScript
adobe-fonts,source-code-pro,adobe-fonts/source-code-pro,14974,cr,CSS
binux,pyspider,binux/pyspider,13562,cr,Python
mahmoud,awesome-python-applications,mahmoud/awesome-python-applications,8908,cr,Jupyter Notebook
douglascrockford,JSON-js,douglascrockford/JSON-js,7971,cr,JavaScript
adobe-fonts,source-han-sans,adobe-fonts/source-han-sans,6941,cr,Scala
stefanpenner,es6-promise,stefanpenner/es6-promise,6746,cr,JavaScript
aheckmann,gm,aheckmann/gm,5791,cr,JavaScript
openebs,openebs,openebs/openebs,5783,cr,
mahmoud,boltons,mahmoud/boltons,4903,cr,Python
adobe-fonts,source-han-serif,adobe-fonts/source-han-serif,4271,cr,Scala
navdeep-G,setup.py,navdeep-G/setup.py,4090,cr,Python
paypal,glamorous,paypal/glamorous,3735,cr,JavaScript
goatslacker,alt,goatslacker/alt,3489,cr,JavaScript
douglascrockford,JSLint,douglascrockford/JSLint,3307,cr,JavaScript
toji,gl-matrix,toji/gl-matrix,3246,cr,JavaScript
soldair,node-qrcode,soldair/node-qrcode,3167,cr,JavaScript
kohsuke,winsw,kohsuke/winsw,2951,cr,C#
navdeep-G,samplemod,navdeep-G/samplemod,2687,cr,Python
adobe-fonts,source-sans-pro,adobe-fonts/source-sans-pro,2555,cr,CSS
huytd,agar.io-clone,huytd/agar.io-clone,2445,cr,JavaScript
paypal,accessible-html5-video-player,paypal/accessible-html5-video-player,2236,cr,JavaScript
binux,qiandao,binux/qiandao,2083,cr,JavaScript
