owner,name,fullName,numberOfStars,country,language
coells,100days,coells/100days,5770,cz,Jupyter Notebook
jnv,lists,jnv/lists,5177,cz,
fikovnik,ShiftIt,fikovnik/ShiftIt,4386,cz,Objective-C
avast-tl,retdec,avast-tl/retdec,4082,cz,C++
giampaolo,psutil,giampaolo/psutil,3971,cz,Python
avast,android-butterknife-zelezny,avast/android-butterknife-zelezny,3347,cz,Java
jankotek,mapdb,jankotek/mapdb,3255,cz,Java
vrana,adminer,vrana/adminer,2987,cz,PHP
JakubOnderka,PHP-Console-Highlighter,JakubOnderka/PHP-Console-Highlighter,2953,cz,PHP
JakubOnderka,PHP-Console-Color,JakubOnderka/PHP-Console-Color,2934,cz,PHP
clientIO,joint,clientIO/joint,2599,cz,JavaScript
KeenSoftwareHouse,SpaceEngineers,KeenSoftwareHouse/SpaceEngineers,2516,cz,C#
pksunkara,alpaca,pksunkara/alpaca,2379,cz,Go
elendirx,web2web,elendirx/web2web,2283,cz,HTML
madebysource,lesshat,madebysource/lesshat,2260,cz,JavaScript
xotahal,react-native-material-ui,xotahal/react-native-material-ui,2170,cz,JavaScript
avast,android-styled-dialogs,avast/android-styled-dialogs,2157,cz,Java
zk00006,OpenTLD,zk00006/OpenTLD,2001,cz,Matlab
ondras,my-mind,ondras/my-mind,1948,cz,JavaScript
catalinmiron,react-native-dribbble-app,catalinmiron/react-native-dribbble-app,1908,cz,JavaScript
karmi,retire,karmi/retire,1907,cz,Ruby
lapism,SearchBar-SearchView,lapism/SearchBar-SearchView,1876,cz,Java
mosra,magnum,mosra/magnum,1872,cz,C++
ApiGen,ApiGen,ApiGen/ApiGen,1790,cz,PHP
inmite,android-selector-chapek,inmite/android-selector-chapek,1617,cz,Java
