owner,name,fullName,numberOfStars,country,language
mtdvio,every-programmer-should-know,mtdvio/every-programmer-should-know,39383,de,
dypsilon,frontend-dev-bookmarks,dypsilon/frontend-dev-bookmarks,26242,de,
akullpp,awesome-java,akullpp/awesome-java,21978,de,
mathiasbynens,dotfiles,mathiasbynens/dotfiles,21969,de,Shell
herrbischoff,awesome-macos-command-line,herrbischoff/awesome-macos-command-line,21545,de,
brillout,awesome-react-components,brillout/awesome-react-components,18925,de,
Prinzhorn,skrollr,Prinzhorn/skrollr,18290,de,HTML
domnikl,DesignPatternsPHP,domnikl/DesignPatternsPHP,17673,de,PHP
nlohmann,json,nlohmann/json,15048,de,C++
sharkdp,bat,sharkdp/bat,14936,de,Rust
sebastianbergmann,phpunit,sebastianbergmann/phpunit,14601,de,PHP
explosion,spaCy,explosion/spaCy,14265,de,Python
android10,Android-CleanArchitecture,android10/Android-CleanArchitecture,13724,de,Java
janl,mustache.js,janl/mustache.js,13284,de,JavaScript
vurtun,nuklear,vurtun/nuklear,12750,de,C
salomonelli,best-resume-ever,salomonelli/best-resume-ever,12392,de,Vue
hdodenhof,CircleImageView,hdodenhof/CircleImageView,12217,de,Java
winterbe,java8-tutorial,winterbe/java8-tutorial,12100,de,Java
aFarkas,lazysizes,aFarkas/lazysizes,11849,de,JavaScript
nikic,PHP-Parser,nikic/PHP-Parser,11255,de,PHP
phanan,htaccess,phanan/htaccess,11018,de,
Eugeny,terminus,Eugeny/terminus,10737,de,TypeScript
phanan,koel,phanan/koel,10486,de,PHP
sharkdp,fd,sharkdp/fd,10450,de,Rust
mhinz,vim-galore,mhinz/vim-galore,9993,de,Vim script
julienschmidt,httprouter,julienschmidt/httprouter,9806,de,Go
Intervention,image,Intervention/image,9721,de,PHP
pubkey,rxdb,pubkey/rxdb,9536,de,JavaScript
aFarkas,html5shiv,aFarkas/html5shiv,9493,de,JavaScript
h4cc,awesome-elixir,h4cc/awesome-elixir,9424,de,Elixir
fgnass,spin.js,fgnass/spin.js,9257,de,HTML
CRYTEK,CRYENGINE,CRYTEK/CRYENGINE,8988,de,C++
carhartl,jquery-cookie,carhartl/jquery-cookie,8640,de,JavaScript
moklick,frontend-stuff,moklick/frontend-stuff,8274,de,
faressoft,terminalizer,faressoft/terminalizer,8075,de,JavaScript
onurakpolat,awesome-bigdata,onurakpolat/awesome-bigdata,7840,de,
aksakalli,gtop,aksakalli/gtop,7776,de,JavaScript
travis-ci,travis-ci,travis-ci/travis-ci,7720,de,
