owner,name,fullName,numberOfStars,country,language
kahun,awesome-sysadmin,kahun/awesome-sysadmin,19109,es,
amix,vimrc,amix/vimrc,18871,es,Vim script
cfenollosa,os-tutorial,cfenollosa/os-tutorial,16067,es,C
ngosang,trackerslist,ngosang/trackerslist,14946,es,
lgvalle,Material-Animations,lgvalle/Material-Animations,12965,es,Java
erikras,redux-form,erikras/redux-form,11822,es,JavaScript
erikras,react-redux-universal-hot-example,erikras/react-redux-universal-hot-example,11783,es,JavaScript
markets,awesome-ruby,markets/awesome-ruby,10269,es,
Nyr,openvpn-install,Nyr/openvpn-install,10047,es,Shell
navasmdc,MaterialDesignLibrary,navasmdc/MaterialDesignLibrary,9065,es,Java
react-toolbox,react-toolbox,react-toolbox/react-toolbox,8477,es,JavaScript
Juanpe,SkeletonView,Juanpe/SkeletonView,7802,es,Swift
erikras,ducks-modular-redux,erikras/ducks-modular-redux,7542,es,JavaScript
egulias,EmailValidator,egulias/EmailValidator,7525,es,PHP
squeaky-pl,japronto,squeaky-pl/japronto,7489,es,C
peers,peerjs,peers/peerjs,6390,es,TypeScript
pedrovgs,EffectiveAndroidUI,pedrovgs/EffectiveAndroidUI,5977,es,Java
mezod,awesome-indie,mezod/awesome-indie,5973,es,
antoniolg,androidmvp,antoniolg/androidmvp,5808,es,Java
carloscuesta,gitmoji,carloscuesta/gitmoji,5644,es,CSS
GrenderG,Toasty,GrenderG/Toasty,5458,es,Java
webslides,WebSlides,webslides/WebSlides,4817,es,JavaScript
mgp25,Instagram-API,mgp25/Instagram-API,4646,es,PHP
John-Lluch,SWRevealViewController,John-Lluch/SWRevealViewController,4579,es,Objective-C
vmg,redcarpet,vmg/redcarpet,4440,es,C
inorichi,tachiyomi,inorichi/tachiyomi,4106,es,Kotlin
Karumi,Dexter,Karumi/Dexter,4040,es,Java
mgp25,Chat-API,mgp25/Chat-API,4031,es,PHP
pedrovgs,AndroidWiFiADB,pedrovgs/AndroidWiFiADB,3994,es,Java
yagop,node-telegram-bot-api,yagop/node-telegram-bot-api,3635,es,JavaScript
MiguelCatalan,MaterialSearchView,MiguelCatalan/MaterialSearchView,3581,es,Java
Juanpe,About-SwiftUI,Juanpe/About-SwiftUI,3159,es,Swift
APSL,react-native-keyboard-aware-scroll-view,APSL/react-native-keyboard-aware-scroll-view,3085,es,JavaScript
pedrovgs,DraggablePanel,pedrovgs/DraggablePanel,2961,es,Java
artberri,sidr,artberri/sidr,2942,es,JavaScript
ManuelPeinado,FadingActionBar,ManuelPeinado/FadingActionBar,2930,es,Java
saulmm,Android-Material-Examples,saulmm/Android-Material-Examples,2926,es,Java
emcrisostomo,fswatch,emcrisostomo/fswatch,2900,es,C++
LonamiWebs,Telethon,LonamiWebs/Telethon,2892,es,Python
lmenezes,cerebro,lmenezes/cerebro,2879,es,JavaScript
gimenete,iOS-boilerplate,gimenete/iOS-boilerplate,2846,es,Objective-C
Ereza,CustomActivityOnCrash,Ereza/CustomActivityOnCrash,2839,es,Java
deivid-rodriguez,byebug,deivid-rodriguez/byebug,2797,es,Ruby
icanzilb,EasyAnimation,icanzilb/EasyAnimation,2778,es,Swift
carltongibson,django-filter,carltongibson/django-filter,2738,es,Python
saulmm,CoordinatorBehaviorExample,saulmm/CoordinatorBehaviorExample,2620,es,Java
jagenjo,webglstudio.js,jagenjo/webglstudio.js,2578,es,JavaScript
glomadrian,Grav,glomadrian/Grav,2553,es,Java
pedrovgs,Algorithms,pedrovgs/Algorithms,2538,es,Java
angelolloqui,SwiftKotlin,angelolloqui/SwiftKotlin,2499,es,Swift
jonan,ForkHub,jonan/ForkHub,2494,es,JavaScript
saulmm,Material-Movies,saulmm/Material-Movies,2490,es,Java
gravityblast,web-app-theme,gravityblast/web-app-theme,2490,es,Ruby
tapquo,Lungo.js,tapquo/Lungo.js,2473,es,CSS
bigardone,phoenix-trello,bigardone/phoenix-trello,2399,es,JavaScript
lmenezes,elasticsearch-kopf,lmenezes/elasticsearch-kopf,2389,es,JavaScript
pditommaso,awesome-pipeline,pditommaso/awesome-pipeline,2361,es,
alexjoverm,typescript-library-starter,alexjoverm/typescript-library-starter,2346,es,TypeScript
wincent,command-t,wincent/command-t,2335,es,Ruby
antoniolg,Kotlin-for-Android-Developers,antoniolg/Kotlin-for-Android-Developers,2324,es,Kotlin
raysan5,raylib,raysan5/raylib,2303,es,C
VictorAlbertos,RxCache,VictorAlbertos/RxCache,2292,es,Java
gravityblast,fresh,gravityblast/fresh,2277,es,Go
robotmedia,RMStore,robotmedia/RMStore,2267,es,C
scambra,devise_invitable,scambra/devise_invitable,2254,es,Ruby
LionSec,katoolin,LionSec/katoolin,2238,es,Python
fasouto,awesome-dataviz,fasouto/awesome-dataviz,2214,es,
powmedia,backbone-forms,powmedia/backbone-forms,2211,es,JavaScript
ultralytics,yolov3,ultralytics/yolov3,2122,es,Jupyter Notebook
tcorral,Design-Patterns-in-Javascript,tcorral/Design-Patterns-in-Javascript,2111,es,JavaScript
peers,peerjs-server,peers/peerjs-server,2108,es,JavaScript
YabataDesign,afterglow-theme,YabataDesign/afterglow-theme,2104,es,Perl
