owner,name,fullName,numberOfStars,country,language
iluwatar,java-design-patterns,iluwatar/java-design-patterns,50756,fi,Java
petkaantonov,bluebird,petkaantonov/bluebird,18507,fi,JavaScript
roughike,BottomBar,roughike/BottomBar,8294,fi,Java
haltu,muuri,haltu/muuri,8174,fi,JavaScript
tuupola,lazyload,tuupola/lazyload,8010,fi,JavaScript
kimmobrunfeldt,progressbar.js,kimmobrunfeldt/progressbar.js,6904,fi,JavaScript
alvarcarto,url-to-pdf-api,alvarcarto/url-to-pdf-api,5816,fi,HTML
lhartikk,ArnoldC,lhartikk/ArnoldC,5763,fi,Scala
lhartikk,naivechain,lhartikk/naivechain,4930,fi,JavaScript
tkarras,progressive_growing_of_gans,tkarras/progressive_growing_of_gans,4713,fi,Python
i-tu,Hasklig,i-tu/Hasklig,4175,fi,Python
viljamis,responsive-nav.js,viljamis/responsive-nav.js,4128,fi,JavaScript
lancedikson,bowser,lancedikson/bowser,3870,fi,JavaScript
xupefei,Locale-Emulator,xupefei/Locale-Emulator,3807,fi,C#
pojala,electrino,pojala/electrino,3630,fi,Objective-C
fastmonkeys,stellar,fastmonkeys/stellar,3587,fi,Python
staltz,rxmarbles,staltz/rxmarbles,3548,fi,JavaScript
luontola,retrolambda,luontola/retrolambda,3521,fi,Java
pixelsign,html5-device-mockups,pixelsign/html5-device-mockups,3452,fi,CSS
viljamis,ResponsiveSlides.js,viljamis/ResponsiveSlides.js,3381,fi,JavaScript
epeli,underscore.string,epeli/underscore.string,3323,fi,JavaScript
memononen,nanovg,memononen/nanovg,3184,fi,C
viljamis,feature.js,viljamis/feature.js,3087,fi,HTML
sallar,github-contributions-chart,sallar/github-contributions-chart,3051,fi,JavaScript
buttercup,buttercup-desktop,buttercup/buttercup-desktop,3000,fi,JavaScript
kimmobrunfeldt,concurrently,kimmobrunfeldt/concurrently,2936,fi,JavaScript
tapio,live-server,tapio/live-server,2837,fi,JavaScript
kasper,phoenix,kasper/phoenix,2547,fi,Objective-C
roughike,inKino,roughike/inKino,2465,fi,Dart
HouzuoGuo,tiedot,HouzuoGuo/tiedot,2374,fi,Go
laurilehmijoki,s3_website,laurilehmijoki/s3_website,2203,fi,Scala
jareware,css-architecture,jareware/css-architecture,2136,fi,
agronholm,apscheduler,agronholm/apscheduler,2092,fi,Python
