owner,name,fullName,numberOfStars,country,language
juliangarnier,anime,juliangarnier/anime,32245,fr,JavaScript
Unitech,pm2,Unitech/pm2,30179,fr,JavaScript
containous,traefik,containous/traefik,24029,fr,Go
fzaninotto,Faker,fzaninotto/Faker,21591,fr,PHP
Solido,awesome-flutter,Solido/awesome-flutter,21183,fr,Dart
VincentGarreau,particles.js,VincentGarreau/particles.js,19826,fr,JavaScript
SamyPesse,How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,18200,fr,C
strapi,strapi,strapi/strapi,16787,fr,JavaScript
ageron,handson-ml,ageron/handson-ml,16393,fr,Jupyter Notebook
ocornut,imgui,ocornut/imgui,16358,fr,C++
nicolargo,glances,nicolargo/glances,14035,fr,Python
charlax,professional-programming,charlax/professional-programming,13485,fr,Shell
emilwallner,Screenshot-to-code,emilwallner/Screenshot-to-code,11845,fr,HTML
huggingface,pytorch-transformers,huggingface/pytorch-transformers,11159,fr,Python
GitSquared,edex-ui,GitSquared/edex-ui,10986,fr,JavaScript
kdeldycke,awesome-falsehood,kdeldycke/awesome-falsehood,10553,fr,
louischatriot,nedb,louischatriot/nedb,10291,fr,JavaScript
LeCoupa,awesome-cheatsheets,LeCoupa/awesome-cheatsheets,10223,fr,JavaScript
marmelab,react-admin,marmelab/react-admin,9289,fr,JavaScript
tbruyelle,RxPermissions,tbruyelle/RxPermissions,8890,fr,Java
guillaumepotier,Parsley.js,guillaumepotier/Parsley.js,8848,fr,JavaScript
jacomyal,sigma.js,jacomyal/sigma.js,8673,fr,JavaScript
gpakosz,.tmux,gpakosz/.tmux,8622,fr,
gentilkiwi,mimikatz,gentilkiwi/mimikatz,8231,fr,C
marmelab,gremlins.js,marmelab/gremlins.js,8215,fr,JavaScript
nbedos,termtosvg,nbedos/termtosvg,8159,fr,Python
florent37,MaterialViewPager,florent37/MaterialViewPager,8039,fr,Java
FaridSafi,react-native-gifted-chat,FaridSafi/react-native-gifted-chat,7828,fr,TypeScript
jedisct1,libsodium,jedisct1/libsodium,7472,fr,C
