owner,name,fullName,numberOfStars,country,language
toddmotto,public-apis,toddmotto/public-apis,41353,gb,Python
jgthms,bulma,jgthms/bulma,29373,gb,CSS
tiimgreen,github-cheat-sheet,tiimgreen/github-cheat-sheet,25756,gb,
Kickball,awesome-selfhosted,Kickball/awesome-selfhosted,25362,gb,JavaScript
caolan,async,caolan/async,24512,gb,JavaScript
alvarotrigo,fullPage.js,alvarotrigo/fullPage.js,24437,gb,JavaScript
photonstorm,phaser,photonstorm/phaser,22384,gb,JavaScript
bayandin,awesome-awesomeness,bayandin/awesome-awesomeness,21993,gb,Ruby
IanLunn,Hover,IanLunn/Hover,19709,gb,CSS
elsewhencode,project-guidelines,elsewhencode/project-guidelines,17827,gb,JavaScript
ftlabs,fastclick,ftlabs/fastclick,16733,gb,HTML
remy,nodemon,remy/nodemon,15614,gb,JavaScript
chrisbanes,PhotoView,chrisbanes/PhotoView,13747,gb,Java
wagerfield,parallax,wagerfield/parallax,13259,gb,JavaScript
lukasz-madon,awesome-remote-job,lukasz-madon/awesome-remote-job,12336,gb,
lgvalle,Material-Animations,lgvalle/Material-Animations,11915,gb,Java
chriskempson,tomorrow-theme,chriskempson/tomorrow-theme,11816,gb,CSS
MrRio,jsPDF,MrRio/jsPDF,11782,gb,JavaScript
nickbutcher,plaid,nickbutcher/plaid,11535,gb,Java
openfaas,faas,openfaas/faas,11211,gb,Go
nicklockwood,iCarousel,nicklockwood/iCarousel,10768,gb,Objective-C
maxwellito,vivus,maxwellito/vivus,10652,gb,JavaScript
ncw,rclone,ncw/rclone,10439,gb,Go
scrooloose,nerdtree,scrooloose/nerdtree,10322,gb,Vim script
BrowserSync,browser-sync,BrowserSync/browser-sync,10144,gb,JavaScript
WickyNilliams,headroom.js,WickyNilliams/headroom.js,9897,gb,JavaScript
matryer,bitbar,matryer/bitbar,9850,gb,Objective-C
gaearon,react-hot-loader,gaearon/react-hot-loader,9337,gb,JavaScript
lovell,sharp,lovell/sharp,9107,gb,JavaScript
thoughtbot,paperclip,thoughtbot/paperclip,8990,gb,Ruby
daylerees,colour-schemes,daylerees/colour-schemes,8939,gb,HTML
chrisbanes,Android-PullToRefresh,chrisbanes/Android-PullToRefresh,8733,gb,Java
thoughtbot,bourbon,thoughtbot/bourbon,8694,gb,Ruby
mwaterfall,MWPhotoBrowser,mwaterfall/MWPhotoBrowser,8334,gb,Objective-C
atech,postal,atech/postal,8323,gb,Ruby
mrmrs,colors,mrmrs/colors,8252,gb,CSS
chrisjenx,Calligraphy,chrisjenx/Calligraphy,7881,gb,Java
chrisbanes,cheesesquare,chrisbanes/cheesesquare,7569,gb,Java
thoughtbot,guides,thoughtbot/guides,7412,gb,Ruby
ether,etherpad-lite,ether/etherpad-lite,7251,gb,JavaScript
thoughtbot,laptop,thoughtbot/laptop,7176,gb,Shell
alexpate,awesome-design-systems,alexpate/awesome-design-systems,7087,gb,
edent,SuperTinyIcons,edent/SuperTinyIcons,6978,gb,HTML
evilstreak,markdown-js,evilstreak/markdown-js,6863,gb,JavaScript
deepmind,sonnet,deepmind/sonnet,6756,gb,Python
Bearded-Hen,Android-Bootstrap,Bearded-Hen/Android-Bootstrap,6740,gb,Java
tymondesigns,jwt-auth,tymondesigns/jwt-auth,6571,gb,PHP
neutraltone,awesome-stock-resources,neutraltone/awesome-stock-resources,6561,gb,
chiraggude,awesome-laravel,chiraggude/awesome-laravel,6551,gb,
symless,synergy-core,symless/synergy-core,6256,gb,C++
dbushell,Pikaday,dbushell/Pikaday,6231,gb,JavaScript
toddmotto,angularjs-styleguide,toddmotto/angularjs-styleguide,6106,gb,
thoughtbot,factory_bot,thoughtbot/factory_bot,6085,gb,Ruby
chriskempson,base16,chriskempson/base16,5886,gb,
sjwhitworth,golearn,sjwhitworth/golearn,5856,gb,Go
pokeb,asi-http-request,pokeb/asi-http-request,5786,gb,Objective-C
graphile,postgraphile,graphile/postgraphile,5720,gb,JavaScript
johnno1962,injectionforxcode,johnno1962/injectionforxcode,5620,gb,Objective-C
lukehaas,css-loaders,lukehaas/css-loaders,5605,gb,CSS
DataTables,DataTables,DataTables/DataTables,5590,gb,CSS
timjacobi,angular-education,timjacobi/angular-education,5398,gb,
emilsjolander,StickyListHeaders,emilsjolander/StickyListHeaders,5332,gb,Java
ashleymills,Reachability.swift,ashleymills/Reachability.swift,5273,gb,Swift
deepmind,lab,deepmind/lab,5256,gb,C
lucasr,twoway-view,lucasr/twoway-view,5239,gb,Java
Gazler,githug,Gazler/githug,5222,gb,Shell
Zulko,moviepy,Zulko/moviepy,5153,gb,Python
airblade,vim-gitgutter,airblade/vim-gitgutter,5140,gb,Vim script
p8952,bocker,p8952/bocker,5103,gb,Shell
thoughtbot,dotfiles,thoughtbot/dotfiles,5048,gb,Shell
sharelatex,sharelatex,sharelatex/sharelatex,5046,gb,CoffeeScript
nicklockwood,FXBlurView,nicklockwood/FXBlurView,5038,gb,Objective-C
jgilfelt,SystemBarTint,jgilfelt/SystemBarTint,4977,gb,Java
deepmind,pysc2,deepmind/pysc2,4889,gb,Python
raspberrypi,linux,raspberrypi/linux,4882,gb,C
laurent22,joplin,laurent22/joplin,4831,gb,JavaScript
tomnomnom,gron,tomnomnom/gron,4825,gb,Go
santinic,how2,santinic/how2,4748,gb,JavaScript
gajus,react-css-modules,gajus/react-css-modules,4742,gb,JavaScript
paritytech,parity-ethereum,paritytech/parity-ethereum,4731,gb,Rust
danielquinn,paperless,danielquinn/paperless,4644,gb,CSS
App-vNext,Polly,App-vNext/Polly,4643,gb,C#
wilsonpage,fastdom,wilsonpage/fastdom,4638,gb,JavaScript
remy,html5demos,remy/html5demos,4616,gb,HTML
thoughtbot,neat,thoughtbot/neat,4512,gb,CSS
fiorix,freegeoip,fiorix/freegeoip,4476,gb,Go
makeusabrew,bootbox,makeusabrew/bootbox,4450,gb,JavaScript
madebymany,sir-trevor-js,madebymany/sir-trevor-js,4449,gb,JavaScript
davemorrissey,subsampling-scale-image-view,davemorrissey/subsampling-scale-image-view,4440,gb,Java
ColinEberhardt,VCTransitionsLibrary,ColinEberhardt/VCTransitionsLibrary,4417,gb,Objective-C
jimhigson,oboe.js,jimhigson/oboe.js,4406,gb,JavaScript
BBC-News,wraith,BBC-News/wraith,4364,gb,Ruby
rtyley,bfg-repo-cleaner,rtyley/bfg-repo-cleaner,4317,gb,Scala
MrSwitch,hello.js,MrSwitch/hello.js,4312,gb,JavaScript
nicklockwood,iRate,nicklockwood/iRate,4291,gb,Objective-C
snowplow,snowplow,snowplow/snowplow,4246,gb,Scala
jhollingworth,bootstrap-wysihtml5,jhollingworth/bootstrap-wysihtml5,4245,gb,JavaScript
ag-grid,ag-grid,ag-grid/ag-grid,4219,gb,JavaScript
samaaron,sonic-pi,samaaron/sonic-pi,4164,gb,Ruby
jdamcd,android-crop,jdamcd/android-crop,4146,gb,Java
faye,faye,faye/faye,4127,gb,JavaScript
dylanbeattie,rockstar,dylanbeattie/rockstar,4125,gb,Ruby
patrickkunka,mixitup,patrickkunka/mixitup,4120,gb,JavaScript
guardian,frontend,guardian/frontend,4080,gb,HTML
benpickles,peity,benpickles/peity,4076,gb,HTML
andkulikov,Transitions-Everywhere,andkulikov/Transitions-Everywhere,4061,gb,Java
epoberezkin,ajv,epoberezkin/ajv,4041,gb,JavaScript
arachnys,cabot,arachnys/cabot,4039,gb,JavaScript
owainlewis,awesome-artificial-intelligence,owainlewis/awesome-artificial-intelligence,4037,gb,
ProjectDent,ARKit-CoreLocation,ProjectDent/ARKit-CoreLocation,4037,gb,Swift
thoughtbot,administrate,thoughtbot/administrate,4031,gb,Ruby
hbons,SparkleShare,hbons/SparkleShare,4028,gb,C#
jspahrsummers,libextobjc,jspahrsummers/libextobjc,4004,gb,Objective-C
ribot,android-guidelines,ribot/android-guidelines,4003,gb,
openexchangerates,accounting.js,openexchangerates/accounting.js,3986,gb,JavaScript
csswizardry,inuit.css,csswizardry/inuit.css,3980,gb,CSS
joelittlejohn,jsonschema2pojo,joelittlejohn/jsonschema2pojo,3974,gb,Java
gaearon,react-hot-boilerplate,gaearon/react-hot-boilerplate,3911,gb,JavaScript
mattbryson,TouchSwipe-Jquery-Plugin,mattbryson/TouchSwipe-Jquery-Plugin,3899,gb,JavaScript
BBC-News,Imager.js,BBC-News/Imager.js,3876,gb,JavaScript
ibab,tensorflow-wavenet,ibab/tensorflow-wavenet,3862,gb,Python
stig,json-framework,stig/json-framework,3810,gb,Objective-C
playcanvas,engine,playcanvas/engine,3782,gb,JavaScript
gchq,CyberChef,gchq/CyberChef,3732,gb,JavaScript
TykTechnologies,tyk,TykTechnologies/tyk,3704,gb,Go
frankiesardo,icepick,frankiesardo/icepick,3704,gb,Clojure
JodaOrg,joda-time,JodaOrg/joda-time,3691,gb,Java
csswizardry,CSS-Guidelines,csswizardry/CSS-Guidelines,3637,gb,
jgthms,css-reference,jgthms/css-reference,3627,gb,HTML
toddmotto,echo,toddmotto/echo,3625,gb,JavaScript
invertase,react-native-firebase,invertase/react-native-firebase,3621,gb,JavaScript
guardian,scribe,guardian/scribe,3603,gb,JavaScript
orientechnologies,orientdb,orientechnologies/orientdb,3592,gb,Java
deepmind,learning-to-learn,deepmind/learning-to-learn,3569,gb,Python
samdutton,simpl,samdutton/simpl,3568,gb,HTML
thoughtbot,til,thoughtbot/til,3565,gb,
socketstream,socketstream,socketstream/socketstream,3562,gb,JavaScript
JeremySkinner,FluentValidation,JeremySkinner/FluentValidation,3554,gb,C#
MicheleBertoli,css-in-js,MicheleBertoli/css-in-js,3553,gb,JavaScript
real-logic,aeron,real-logic/aeron,3505,gb,Java
davidjbradshaw,iframe-resizer,davidjbradshaw/iframe-resizer,3489,gb,JavaScript
gaearon,react-transform-boilerplate,gaearon/react-transform-boilerplate,3475,gb,JavaScript
Ahmed-Ali,JSONExport,Ahmed-Ali/JSONExport,3469,gb,Swift
cesarferreira,dryrun,cesarferreira/dryrun,3462,gb,Ruby
jgthms,web-design-in-4-minutes,jgthms/web-design-in-4-minutes,3460,gb,HTML
weavejester,compojure,weavejester/compojure,3454,gb,Clojure
searchkit,searchkit,searchkit/searchkit,3438,gb,TypeScript
alvarotrigo,pagePiling.js,alvarotrigo/pagePiling.js,3421,gb,JavaScript
thoughtbot,Argo,thoughtbot/Argo,3390,gb,Swift
jgilfelt,chuck,jgilfelt/chuck,3370,gb,Java
IanLunn,Sequence,IanLunn/Sequence,3368,gb,JavaScript
WickyNilliams,enquire.js,WickyNilliams/enquire.js,3366,gb,JavaScript
GetmeUK,ContentTools,GetmeUK/ContentTools,3363,gb,JavaScript
Jermolene,TiddlyWiki5,Jermolene/TiddlyWiki5,3319,gb,JavaScript
chrisbanes,ActionBar-PullToRefresh,chrisbanes/ActionBar-PullToRefresh,3278,gb,Java
domchristie,turndown,domchristie/turndown,3272,gb,HTML
s16h,py-must-watch,s16h/py-must-watch,3239,gb,HTML
bizz84,SwiftyStoreKit,bizz84/SwiftyStoreKit,3232,gb,Swift
thoughtbot,suspenders,thoughtbot/suspenders,3220,gb,Ruby
gontovnik,DGElasticPullToRefresh,gontovnik/DGElasticPullToRefresh,3214,gb,Swift
ivacf,archi,ivacf/archi,3206,gb,Java
soulwire,sketch.js,soulwire/sketch.js,3203,gb,JavaScript
anchorcms,anchor-cms,anchorcms/anchor-cms,3180,gb,PHP
o1lab,xmysql,o1lab/xmysql,3168,gb,JavaScript
codemix,fast.js,codemix/fast.js,3145,gb,JavaScript
AaronJackson,vrn,AaronJackson/vrn,3137,gb,Shell
rgburke,grv,rgburke/grv,3085,gb,Go
Financial-Times,polyfill-service,Financial-Times/polyfill-service,3049,gb,JavaScript
keyboardsurfer,Crouton,keyboardsurfer/Crouton,3045,gb,Java
nicklockwood,FXForms,nicklockwood/FXForms,3025,gb,Objective-C
miekg,dns,miekg/dns,3021,gb,Go
jgilfelt,android-viewbadger,jgilfelt/android-viewbadger,2992,gb,Java
scrooloose,nerdcommenter,scrooloose/nerdcommenter,2989,gb,Vim script
caolan,highland,caolan/highland,2983,gb,JavaScript
krakjoe,pthreads,krakjoe/pthreads,2968,gb,C
sroze,ngInfiniteScroll,sroze/ngInfiniteScroll,2959,gb,JavaScript
thoughtbot,clearance,thoughtbot/clearance,2923,gb,Ruby
bblimke,webmock,bblimke/webmock,2898,gb,Ruby
hitherejoe,animate,hitherejoe/animate,2896,gb,Java
marvelapp,devices.css,marvelapp/devices.css,2893,gb,CSS
turbulenz,turbulenz_engine,turbulenz/turbulenz_engine,2889,gb,TypeScript
MrRio,vtop,MrRio/vtop,2868,gb,JavaScript
pattle,simpsons-in-css,pattle/simpsons-in-css,2849,gb,CSS
thoughtbot,high_voltage,thoughtbot/high_voltage,2795,gb,Ruby
benhowdle89,grade,benhowdle89/grade,2773,gb,JavaScript
adazzle,react-data-grid,adazzle/react-data-grid,2768,gb,JavaScript
Orderella,PopupDialog,Orderella/PopupDialog,2759,gb,Swift
interconnectit,Search-Replace-DB,interconnectit/Search-Replace-DB,2736,gb,PHP
aanand,git-up,aanand/git-up,2696,gb,Ruby
JamieMason,ImageOptim-CLI,JamieMason/ImageOptim-CLI,2670,gb,TypeScript
jasondavies,d3-cloud,jasondavies/d3-cloud,2652,gb,JavaScript
nicklockwood,SwipeView,nicklockwood/SwipeView,2625,gb,Objective-C
raspberrypi,firmware,raspberrypi/firmware,2614,gb,C
jorgebastida,glue,jorgebastida/glue,2566,gb,Python
michaeldfallen,git-radar,michaeldfallen/git-radar,2564,gb,Shell
milessabin,shapeless,milessabin/shapeless,2561,gb,Scala
encharm,Font-Awesome-SVG-PNG,encharm/Font-Awesome-SVG-PNG,2554,gb,JavaScript
optonaut,ActiveLabel.swift,optonaut/ActiveLabel.swift,2541,gb,Swift
EventStore,EventStore,EventStore/EventStore,2540,gb,C#
Todd-Davies,ProgressWheel,Todd-Davies/ProgressWheel,2519,gb,Java
tomakehurst,wiremock,tomakehurst/wiremock,2515,gb,JavaScript
mewo2,terrain,mewo2/terrain,2512,gb,JavaScript
samsquire,ideas,samsquire/ideas,2512,gb,
Olical,EventEmitter,Olical/EventEmitter,2494,gb,JavaScript
Wilfred,remacs,Wilfred/remacs,2465,gb,Emacs Lisp
geftimov,android-pathview,geftimov/android-pathview,2462,gb,Java
shaps80,Peek,shaps80/Peek,2453,gb,Swift
giggsey,libphonenumber-for-php,giggsey/libphonenumber-for-php,2445,gb,PHP
balysv,material-menu,balysv/material-menu,2431,gb,Java
kornelski,pngquant,kornelski/pngquant,2421,gb,C
katiefenn,parker,katiefenn/parker,2411,gb,JavaScript
manosim,gitify,manosim/gitify,2410,gb,JavaScript
pawelgrzybek,siema,pawelgrzybek/siema,2392,gb,JavaScript
drathier,stack-overflow-import,drathier/stack-overflow-import,2386,gb,Python
thestonefox,VRTK,thestonefox/VRTK,2379,gb,C#
krisleech,wisper,krisleech/wisper,2378,gb,Ruby
thoughtbot,shoulda-matchers,thoughtbot/shoulda-matchers,2375,gb,Ruby
matejlatin,Gutenberg,matejlatin/Gutenberg,2367,gb,CSS
jcupitt,libvips,jcupitt/libvips,2366,gb,C
twostraws,HackingWithSwift,twostraws/HackingWithSwift,2348,gb,Swift
Block8,PHPCI,Block8/PHPCI,2346,gb,JavaScript
BohdanOrlov,iOS-Developer-Roadmap,BohdanOrlov/iOS-Developer-Roadmap,2330,gb,Swift
mwaterfall,MWFeedParser,mwaterfall/MWFeedParser,2299,gb,Objective-C
kornelski,slip,kornelski/slip,2275,gb,JavaScript
jbt,markdown-editor,jbt/markdown-editor,2273,gb,JavaScript
ciaranj,node-oauth,ciaranj/node-oauth,2259,gb,JavaScript
dbushell,Nestable,dbushell/Nestable,2258,gb,JavaScript
Heydon,inclusive-design-checklist,Heydon/inclusive-design-checklist,2226,gb,JavaScript
gajus,swing,gajus/swing,2223,gb,JavaScript
pavel-odintsov,fastnetmon,pavel-odintsov/fastnetmon,2221,gb,C++
jamesrwhite,minicron,jamesrwhite/minicron,2217,gb,Ruby
wagerfield,flat-surface-shader,wagerfield/flat-surface-shader,2206,gb,JavaScript
Sephiroth87,ODRefreshControl,Sephiroth87/ODRefreshControl,2195,gb,Objective-C
Attendize,Attendize,Attendize/Attendize,2193,gb,CSS
balancap,SSD-Tensorflow,balancap/SSD-Tensorflow,2189,gb,Jupyter Notebook
thoughtbot,factory_bot_rails,thoughtbot/factory_bot_rails,2189,gb,Ruby
kevin0571,STPopup,kevin0571/STPopup,2184,gb,Objective-C
jorgebastida,awslogs,jorgebastida/awslogs,2172,gb,Python
deano2390,MaterialShowcaseView,deano2390/MaterialShowcaseView,2167,gb,Java
aluxian,Messenger-for-Desktop,aluxian/Messenger-for-Desktop,2152,gb,JavaScript
nicklockwood,SwiftFormat,nicklockwood/SwiftFormat,2148,gb,Swift
Thomas101,wmail,Thomas101/wmail,2143,gb,JavaScript
ChrisKnott,Eel,ChrisKnott/Eel,2141,gb,Python
vitch,jScrollPane,vitch/jScrollPane,2139,gb,JavaScript
EyalAr,lwip,EyalAr/lwip,2136,gb,C
balysv,material-ripple,balysv/material-ripple,2129,gb,Java
quii,learn-go-with-tests,quii/learn-go-with-tests,2129,gb,Go
chrisbanes,philm,chrisbanes/philm,2117,gb,Java
hectahertz,react-native-typography,hectahertz/react-native-typography,2107,gb,JavaScript
TonicArtos,SuperSLiM,TonicArtos/SuperSLiM,2106,gb,Kotlin
shoreditch-ops,artillery,shoreditch-ops/artillery,2104,gb,JavaScript
gaearon,react-makes-you-sad,gaearon/react-makes-you-sad,2103,gb,Makefile
raspberrypi,documentation,raspberrypi/documentation,2095,gb,Python
markevans,dragonfly,markevans/dragonfly,2077,gb,Ruby
etianen,django-reversion,etianen/django-reversion,2066,gb,Python
marceljuenemann,angular-drag-and-drop-lists,marceljuenemann/angular-drag-and-drop-lists,2066,gb,JavaScript
mgravell,protobuf-net,mgravell/protobuf-net,2064,gb,JavaScript
louthy,language-ext,louthy/language-ext,2062,gb,C#
jshjohnson,Choices,jshjohnson/Choices,2062,gb,JavaScript
vector-im,riot-web,vector-im/riot-web,2056,gb,JavaScript
jaz303,tipsy,jaz303/tipsy,2053,gb,JavaScript
deepmind,dnc,deepmind/dnc,2052,gb,Python
enkidevs,commit,enkidevs/commit,2031,gb,
thoughtbot,shoulda,thoughtbot/shoulda,2023,gb,Ruby
qTip2,qTip2,qTip2/qTip2,2010,gb,JavaScript
jorgebastida,gordon,jorgebastida/gordon,2009,gb,Python
jgilfelt,android-sqlite-asset-helper,jgilfelt/android-sqlite-asset-helper,1993,gb,Java
nicklockwood,iVersion,nicklockwood/iVersion,1985,gb,Objective-C
thoughtbot,capybara-webkit,thoughtbot/capybara-webkit,1978,gb,Ruby
danwrong,restler,danwrong/restler,1975,gb,JavaScript
mrdavidlaing,javascript-koans,mrdavidlaing/javascript-koans,1970,gb,JavaScript
shinydevelopment,SimulatorStatusMagic,shinydevelopment/SimulatorStatusMagic,1957,gb,Objective-C
j4mie,idiorm,j4mie/idiorm,1951,gb,PHP
alexanderGugel,ied,alexanderGugel/ied,1950,gb,JavaScript
MicheleBertoli,react-fix-it,MicheleBertoli/react-fix-it,1939,gb,JavaScript
umpox,TinyEditor,umpox/TinyEditor,1934,gb,HTML
1602,jugglingdb,1602/jugglingdb,1933,gb,JavaScript
lukehaas,RegexHub,lukehaas/RegexHub,1928,gb,JavaScript
stonesam92,ChitChat,stonesam92/ChitChat,1927,gb,Objective-C
daviddrysdale,python-phonenumbers,daviddrysdale/python-phonenumbers,1919,gb,Python
web3j,web3j,web3j/web3j,1917,gb,Java
jimeh,git-aware-prompt,jimeh/git-aware-prompt,1917,gb,Shell
caolan,nodeunit,caolan/nodeunit,1917,gb,JavaScript
jgrahamc,httpdiff,jgrahamc/httpdiff,1916,gb,Go
lyst,lightfm,lyst/lightfm,1903,gb,Python
ianmiell,shutit,ianmiell/shutit,1898,gb,Python
thoughtbot,rcm,thoughtbot/rcm,1893,gb,Perl
