owner,name,fullName,numberOfStars,country,language
Chalarangelo,30-seconds-of-code,Chalarangelo/30-seconds-of-code,21441,gr,JavaScript
kataras,iris,kataras/iris,11459,gr,Go
k4m4,movies-for-hackers,k4m4/movies-for-hackers,6726,gr,Shell
k4m4,terminals-are-sexy,k4m4/terminals-are-sexy,6618,gr,Shell
agis,git-style-guide,agis/git-style-guide,4124,gr,
malihu,malihu-custom-scrollbar-plugin,malihu/malihu-custom-scrollbar-plugin,3719,gr,JavaScript
dspinellis,unix-history-repo,dspinellis/unix-history-repo,2827,gr,Assembly
kasketis,netfox,kasketis/netfox,2446,gr,Swift
Chalarangelo,mini.css,Chalarangelo/mini.css,2409,gr,CSS
vorillaz,devicons,vorillaz/devicons,1992,gr,CSS
tyiannak,pyAudioAnalysis,tyiannak/pyAudioAnalysis,1709,gr,Python
