owner,name,fullName,numberOfStars,country,language
usablica,intro.js,usablica/intro.js,17048,ie,HTML
jeromeetienne,AR.js,jeromeetienne/AR.js,11149,ie,JavaScript
oliver-moran,jimp,oliver-moran/jimp,6732,ie,JavaScript
scrapinghub,portia,scrapinghub/portia,6264,ie,Python
MunGell,awesome-for-beginners,MunGell/awesome-for-beginners,6056,ie,
sebastianruder,NLP-progress,sebastianruder/NLP-progress,5869,ie,HTML
pbatard,rufus,pbatard/rufus,5737,ie,C
cesanta,mongoose,cesanta/mongoose,4764,ie,C
techfort,LokiJS,techfort/LokiJS,4283,ie,JavaScript
jeromeetienne,jquery-qrcode,jeromeetienne/jquery-qrcode,3977,ie,JavaScript
Tapadoo,Alerter,Tapadoo/Alerter,3895,ie,Kotlin
inversify,InversifyJS,inversify/InversifyJS,3033,ie,TypeScript
usablica,front-end-frameworks,usablica/front-end-frameworks,2708,ie,
usablica,progress.js,usablica/progress.js,2318,ie,JavaScript
satori,go.uuid,satori/go.uuid,2310,ie,Go
nsomar,OAStackView,nsomar/OAStackView,2198,ie,Objective-C
scrapinghub,splash,scrapinghub/splash,1992,ie,Python
mattdonnelly,Swifter,mattdonnelly/Swifter,1911,ie,Swift
vitaly-t,pg-promise,vitaly-t/pg-promise,1901,ie,JavaScript
DamnWidget,anaconda,DamnWidget/anaconda,1854,ie,Python
DKirwan,calendar-heatmap,DKirwan/calendar-heatmap,1760,ie,JavaScript
wheybags,freeablo,wheybags/freeablo,1734,ie,C++
hidroh,materialistic,hidroh/materialistic,1638,ie,Java
cesanta,mongoose-os,cesanta/mongoose-os,1600,ie,C
