owner,name,fullName,numberOfStars,country,language
TheAlgorithms,Python,TheAlgorithms/Python,53603,in,Jupyter Notebook
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,30987,in,
TheAlgorithms,Java,TheAlgorithms/Java,16343,in,Java
satwikkansal,wtfpython,satwikkansal/wtfpython,15648,in,Python
hackiftekhar,IQKeyboardManager,hackiftekhar/IQKeyboardManager,13411,in,Objective-C
hemanth,functional-programming-jargon,hemanth/functional-programming-jargon,13092,in,
frappe,charts,frappe/charts,12871,in,JavaScript
kailashahirwar,cheatsheets-ai,kailashahirwar/cheatsheets-ai,12587,in,
GeekyAnts,NativeBase,GeekyAnts/NativeBase,12561,in,JavaScript
abhat222,Data-Science--Cheat-Sheet,abhat222/Data-Science--Cheat-Sheet,9483,in,
rShetty,awesome-podcasts,rShetty/awesome-podcasts,9436,in,
dipakkr,A-to-Z-Resources-for-Students,dipakkr/A-to-Z-Resources-for-Students,8164,in,
chinchang,hint.css,chinchang/hint.css,7826,in,CSS
bharathgs,Awesome-pytorch-list,bharathgs/Awesome-pytorch-list,7742,in,
sitaramc,gitolite,sitaramc/gitolite,7495,in,Perl
kovidgoyal,kitty,kovidgoyal/kitty,7321,in,C
shekhargulati,52-technologies-in-2016,shekhargulati/52-technologies-in-2016,7060,in,JavaScript
apexcharts,apexcharts.js,apexcharts/apexcharts.js,6907,in,JavaScript
aritraroy,UltimateAndroidReference,aritraroy/UltimateAndroidReference,6851,in,Java
ramitsurana,awesome-kubernetes,ramitsurana/awesome-kubernetes,6786,in,Makefile
janishar,mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,6596,in,Java
GeekyAnts,vue-native-core,GeekyAnts/vue-native-core,6381,in,JavaScript
amitshekhariitbhu,Android-Debug-Database,amitshekhariitbhu/Android-Debug-Database,6353,in,Java
hindupuravinash,the-gan-zoo,hindupuravinash/the-gan-zoo,6291,in,Python
kovidgoyal,calibre,kovidgoyal/calibre,6183,in,Python
