owner,name,fullName,numberOfStars,country,language
antirez,redis,antirez/redis,30949,it,C
matteocrippa,awesome-swift,matteocrippa/awesome-swift,15367,it,Swift
cubiq,iscroll,cubiq/iscroll,11312,it,JavaScript
equinusocio,material-theme,equinusocio/material-theme,10581,it,Python
Swordfish90,cool-retro-term,Swordfish90/cool-retro-term,9031,it,QML
arialdomartini,Back-End-Developer-Interview-Questions,arialdomartini/Back-End-Developer-Interview-Questions,8029,it,
antirez,disque,antirez/disque,7006,it,C
joke2k,faker,joke2k/faker,6579,it,Python
miniMAC,magic,miniMAC/magic,5505,it,CSS
andreamazz,AMScrollingNavbar,andreamazz/AMScrollingNavbar,5433,it,Swift
densitydesign,raw,densitydesign/raw,5373,it,JavaScript
nrk,predis,nrk/predis,4852,it,PHP
cyrus-and,gdb-dashboard,cyrus-and/gdb-dashboard,4815,it,Python
gabrielemariotti,cardslib,gabrielemariotti/cardslib,4771,it,Java
artf,grapesjs,artf/grapesjs,4573,it,JavaScript
malcommac,SwiftDate,malcommac/SwiftDate,4100,it,Swift
antirez,kilo,antirez/kilo,3881,it,C
elrumordelaluz,csshake,elrumordelaluz/csshake,3680,it,CSS
gali8,Tesseract-OCR-iOS,gali8/Tesseract-OCR-iOS,3561,it,C
pNre,ExSwift,pNre/ExSwift,3382,it,Swift
evilsocket,opensnitch,evilsocket/opensnitch,3219,it,Python
arialdomartini,oh-my-git,arialdomartini/oh-my-git,2986,it,Shell
lelylan,betterspecs,lelylan/betterspecs,2975,it,HTML
gabrielemariotti,RecyclerViewItemAnimators,gabrielemariotti/RecyclerViewItemAnimators,2951,it,Java
PaoloCuscela,Cards,PaoloCuscela/Cards,2877,it,Swift
andreamazz,BubbleTransition,andreamazz/BubbleTransition,2790,it,Swift
claudiodangelis,qr-filetransfer,claudiodangelis/qr-filetransfer,2743,it,Go
gcanti,tcomb-form-native,gcanti/tcomb-form-native,2737,it,JavaScript
magomimmo,modern-cljs,magomimmo/modern-cljs,2696,it,Clojure
evilsocket,bettercap,evilsocket/bettercap,2630,it,
ariok,BWWalkthrough,ariok/BWWalkthrough,2602,it,Swift
HoraApps,LeafPic,HoraApps/LeafPic,2582,it,Java
corna,me_cleaner,corna/me_cleaner,2556,it,Python
cyrus-and,chrome-remote-interface,cyrus-and/chrome-remote-interface,2518,it,JavaScript
mcollina,mosca,mcollina/mosca,2455,it,JavaScript
uraimo,Awesome-Swift-Playgrounds,uraimo/Awesome-Swift-Playgrounds,2436,it,Swift
oxequa,realize,oxequa/realize,2409,it,Go
parro-it,awesome-micro-npm-packages,parro-it/awesome-micro-npm-packages,2388,it,
mbasso,awesome-wasm,mbasso/awesome-wasm,2387,it,
andreamazz,AMWaveTransition,andreamazz/AMWaveTransition,2379,it,Objective-C
lucadegasperi,oauth2-server-laravel,lucadegasperi/oauth2-server-laravel,2378,it,PHP
antirez,sds,antirez/sds,2329,it,C
verlok,lazyload,verlok/lazyload,2319,it,JavaScript
astrada,google-drive-ocamlfuse,astrada/google-drive-ocamlfuse,2240,it,OCaml
andreamazz,AMPopTip,andreamazz/AMPopTip,2185,it,Swift
unbit,uwsgi,unbit/uwsgi,2185,it,C
antirez,neural-redis,antirez/neural-redis,2066,it,C
jiayihu,pretty-algorithms,jiayihu/pretty-algorithms,2021,it,TypeScript
cubiq,add-to-homescreen,cubiq/add-to-homescreen,2000,it,JavaScript
antirez,linenoise,antirez/linenoise,1988,it,C
skilion,onedrive,skilion/onedrive,1922,it,D
malcommac,SwiftLocation,malcommac/SwiftLocation,1877,it,Swift
mbasso,asm-dom,mbasso/asm-dom,1860,it,C++
pmusolino,PMAlertController,pmusolino/PMAlertController,1852,it,Swift
gotev,android-upload-service,gotev/android-upload-service,1773,it,Java
BendingSpoons,katana-swift,BendingSpoons/katana-swift,1773,it,Swift
malcommac,SwiftRichString,malcommac/SwiftRichString,1765,it,Swift
bfred-it,iphone-inline-video,bfred-it/iphone-inline-video,1724,it,JavaScript
felicegattuso,datedropper,felicegattuso/datedropper,1710,it,JavaScript
gcanti,tcomb,gcanti/tcomb,1697,it,JavaScript
AuroraWright,Luma3DS,AuroraWright/Luma3DS,1691,it,C
gsscoder,commandline,gsscoder/commandline,1689,it,
loregr,LGButton,loregr/LGButton,1664,it,Swift
neokree,MaterialNavigationDrawer,neokree/MaterialNavigationDrawer,1600,it,Java
