owner,name,fullName,numberOfStars,country,language
chrislgarry,Apollo-11,chrislgarry/Apollo-11,44181,jp,Assembly
wasabeef,awesome-android-ui,wasabeef/awesome-android-ui,35729,jp,
blueimp,jQuery-File-Upload,blueimp/jQuery-File-Upload,30237,jp,PHP
jorgebucaran,hyperapp,jorgebucaran/hyperapp,16872,jp,JavaScript
ruby,ruby,ruby/ruby,16074,jp,Ruby
nagadomi,waifu2x,nagadomi/waifu2x,15592,jp,Lua
acgotaku,BaiduExporter,acgotaku/BaiduExporter,13212,jp,JavaScript
brettwooldridge,HikariCP,brettwooldridge/HikariCP,10896,jp,Java
openstf,stf,openstf/stf,9524,jp,JavaScript
wasabeef,recyclerview-animators,wasabeef/recyclerview-animators,9446,jp,Java
ksoichiro,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,9412,jp,Java
tekezo,Karabiner-Elements,tekezo/Karabiner-Elements,9024,jp,C++
yhatt,marp,yhatt/marp,8073,jp,CoffeeScript
wasabeef,glide-transformations,wasabeef/glide-transformations,8055,jp,Java
mame,quine-relay,mame/quine-relay,7952,jp,Ruby
humiaozuzu,awesome-flask,humiaozuzu/awesome-flask,7576,jp,
AtsushiSakai,PythonRobotics,AtsushiSakai/PythonRobotics,6516,jp,Jupyter Notebook
marcan,takeover.sh,marcan/takeover.sh,6382,jp,Shell
matthew-andrews,isomorphic-fetch,matthew-andrews/isomorphic-fetch,6362,jp,JavaScript
ogaclejapan,SmartTabLayout,ogaclejapan/SmartTabLayout,6279,jp,Java
jarun,nnn,jarun/nnn,6069,jp,C
SoftEtherVPN,SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,5974,jp,C
kitao,pyxel,kitao/pyxel,5796,jp,C++
Hironsan,BossSensor,Hironsan/BossSensor,5697,jp,Python
plouc,nivo,plouc/nivo,5651,jp,JavaScript
simeji,jid,simeji/jid,5296,jp,Go
hirak,prestissimo,hirak/prestissimo,5124,jp,PHP
kishikawakatsumi,KeychainAccess,kishikawakatsumi/KeychainAccess,4934,jp,Swift
wasabeef,awesome-android-libraries,wasabeef/awesome-android-libraries,4924,jp,
mattn,emmet-vim,mattn/emmet-vim,4771,jp,Vim script
kazupon,vue-i18n,kazupon/vue-i18n,4758,jp,JavaScript
wasabeef,richeditor-android,wasabeef/richeditor-android,4707,jp,Java
h6ah4i,android-advancedrecyclerview,h6ah4i/android-advancedrecyclerview,4627,jp,Java
JuanitoFatas,fast-ruby,JuanitoFatas/fast-ruby,4578,jp,Ruby
matz,streem,matz/streem,4345,jp,C
andrewplummer,Sugar,andrewplummer/Sugar,4237,jp,JavaScript
rhysd,vim.wasm,rhysd/vim.wasm,4197,jp,Vim script
yujiosaka,headless-chrome-crawler,yujiosaka/headless-chrome-crawler,4188,jp,JavaScript
wasabeef,Blurry,wasabeef/Blurry,4182,jp,Java
rui314,8cc,rui314/8cc,4119,jp,C
BYVoid,OpenCC,BYVoid/OpenCC,4054,jp,C++
shirou,gopsutil,shirou/gopsutil,3980,jp,Go
ninjinkun,NJKWebViewProgress,ninjinkun/NJKWebViewProgress,3959,jp,Objective-C
ctgk,PRML,ctgk/PRML,3918,jp,Jupyter Notebook
itchyny,lightline.vim,itchyny/lightline.vim,3902,jp,Vim script
BYVoid,Batsh,BYVoid/Batsh,3884,jp,OCaml
jorgebucaran,fisher,jorgebucaran/fisher,3806,jp,Shell
typcn,bilibili-mac-client,typcn/bilibili-mac-client,3800,jp,Objective-C
jarun,googler,jarun/googler,3784,jp,Python
tekezo,Karabiner,tekezo/Karabiner,3747,jp,C++
blivesta,animsition,blivesta/animsition,3696,jp,CSS
euske,pdfminer,euske/pdfminer,3685,jp,Python
hamukazu,lets-get-arrested,hamukazu/lets-get-arrested,3683,jp,HTML
neuecc,UniRx,neuecc/UniRx,3643,jp,C#
cambecc,earth,cambecc/earth,3632,jp,JavaScript
yoavlt,LiquidFloatingActionButton,yoavlt/LiquidFloatingActionButton,3583,jp,Swift
shu223,iOS-9-Sampler,shu223/iOS-9-Sampler,3560,jp,Swift
blueimp,JavaScript-Load-Image,blueimp/JavaScript-Load-Image,3541,jp,JavaScript
mattn,go-sqlite3,mattn/go-sqlite3,3456,jp,C
motemen,gore,motemen/gore,3363,jp,Go
