owner,name,fullName,numberOfStars,country,language
zziz,pwc,zziz/pwc,12891,kr,
naver,pinpoint,naver/pinpoint,9207,kr,Java
nhn,tui.editor,nhn/tui.editor,9187,kr,JavaScript
summernote,summernote,summernote/summernote,8742,kr,JavaScript
posquit0,Awesome-CV,posquit0/Awesome-CV,8657,kr,TeX
davidshimjs,qrcodejs,davidshimjs/qrcodejs,7539,kr,JavaScript
nhn,tui.calendar,nhn/tui.calendar,7462,kr,JavaScript
hoya012,deep_learning_object_detection,hoya012/deep_learning_object_detection,5784,kr,
ipkn,crow,ipkn/crow,5296,kr,C++
nhn,tui.chart,nhn/tui.chart,4186,kr,JavaScript
graykode,nlp-tutorial,graykode/nlp-tutorial,3935,kr,Jupyter Notebook
yeun,open-color,yeun/open-color,3665,kr,CSS
naver,billboard.js,naver/billboard.js,3648,kr,JavaScript
taki0112,UGATIT,taki0112/UGATIT,3342,kr,Python
buriburisuri,speech-to-text-wavenet,buriburisuri/speech-to-text-wavenet,3144,kr,Python
cruisediary,Pastel,cruisediary/Pastel,3060,kr,Swift
what-studio,profiling,what-studio/profiling,2897,kr,Python
devxoul,Then,devxoul/Then,2857,kr,Swift
codertimo,BERT-pytorch,codertimo/BERT-pytorch,2761,kr,Python
taki0112,Tensorflow-Cookbook,taki0112/Tensorflow-Cookbook,2698,kr,Python
utkuozbulak,pytorch-cnn-visualizations,utkuozbulak/pytorch-cnn-visualizations,2683,kr,Python
kciter,qart.js,kciter/qart.js,2665,kr,JavaScript
andabi,deep-voice-conversion,andabi/deep-voice-conversion,2659,kr,Python
Kyubyong,nlp_tasks,Kyubyong/nlp_tasks,2640,kr,
Kyubyong,transformer,Kyubyong/transformer,2608,kr,Python
ildoonet,tf-pose-estimation,ildoonet/tf-pose-estimation,2524,kr,Python
ncsoft,Unreal.js,ncsoft/Unreal.js,2475,kr,
jojoldu,junior-recruit-scheduler,jojoldu/junior-recruit-scheduler,2405,kr,JavaScript
rlcode,reinforcement-learning,rlcode/reinforcement-learning,2352,kr,Python
sjchoi86,Tensorflow-101,sjchoi86/Tensorflow-101,2328,kr,Jupyter Notebook
kewlbear,FFmpeg-iOS-build-script,kewlbear/FFmpeg-iOS-build-script,2311,kr,Shell
nhn,tui.image-editor,nhn/tui.image-editor,2244,kr,JavaScript
devxoul,URLNavigator,devxoul/URLNavigator,2144,kr,Swift
nashory,gans-awesome-applications,nashory/gans-awesome-applications,2121,kr,
DSKSD,DeepNLP-models-Pytorch,DSKSD/DeepNLP-models-Pytorch,2113,kr,Jupyter Notebook
pocorall,scaloid,pocorall/scaloid,2113,kr,Scala
