owner,name,fullName,numberOfStars,country,language
nvbn,thefuck,nvbn/thefuck,36788,nl,Python
nvie,gitflow,nvie/gitflow,20618,nl,Shell
hammerjs,hammer.js,hammerjs/hammer.js,18856,nl,JavaScript
ajaxorg,ace,ajaxorg/ace,18037,nl,JavaScript
faif,python-patterns,faif/python-patterns,16929,nl,Python
nikitavoloboev,my-mac-os,nikitavoloboev/my-mac-os,10641,nl,CSS
ejci,favico.js,ejci/favico.js,8030,nl,JavaScript
barryvdh,laravel-debugbar,barryvdh/laravel-debugbar,7859,nl,PHP
josdejong,mathjs,josdejong/mathjs,7189,nl,JavaScript
MichMich,MagicMirror,MichMich/MagicMirror,7077,nl,JavaScript
barryvdh,laravel-ide-helper,barryvdh/laravel-ide-helper,7066,nl,PHP
dutchcoders,transfer.sh,dutchcoders/transfer.sh,6934,nl,Go
keeweb,keeweb,keeweb/keeweb,6656,nl,JavaScript
rzwitserloot,lombok,rzwitserloot/lombok,6643,nl,Java
nhaarman,ListViewAnimations,nhaarman/ListViewAnimations,5685,nl,Java
mweststrate,immer,mweststrate/immer,5640,nl,JavaScript
Maatwebsite,Laravel-Excel,Maatwebsite/Laravel-Excel,5531,nl,PHP
koenbok,Framer,koenbok/Framer,5305,nl,JavaScript
mislav,will_paginate,mislav/will_paginate,5278,nl,Ruby
mac-cain13,R.swift,mac-cain13/R.swift,5240,nl,Swift
CISOfy,lynis,CISOfy/lynis,4978,nl,Shell
fabiolb,fabio,fabiolb/fabio,4972,nl,Go
josdejong,jsoneditor,josdejong/jsoneditor,4771,nl,JavaScript
noodlewerk,NWPusher,noodlewerk/NWPusher,4480,nl,Objective-C
backup,backup,backup/backup,4420,nl,Ruby
timuric,Content-generator-sketch-plugin,timuric/Content-generator-sketch-plugin,4316,nl,JavaScript
jariz,vibrant.js,jariz/vibrant.js,4304,nl,CoffeeScript
madhums,node-express-mongoose-demo,madhums/node-express-mongoose-demo,4244,nl,JavaScript
CompuIves,codesandbox-client,CompuIves/codesandbox-client,4111,nl,JavaScript
pqina,filepond,pqina/filepond,4002,nl,JavaScript
pennersr,django-allauth,pennersr/django-allauth,3982,nl,Python
makovkastar,FloatingActionButton,makovkastar/FloatingActionButton,3978,nl,Java
HJLebbink,asm-dude,HJLebbink/asm-dude,3762,nl,C#
arendst,Sonoff-Tasmota,arendst/Sonoff-Tasmota,3679,nl,C++
erroneousboat,slack-term,erroneousboat/slack-term,3658,nl,Go
hql287,Manta,hql287/Manta,3619,nl,JavaScript
leongersen,noUiSlider,leongersen/noUiSlider,3500,nl,JavaScript
amirzaidi,Launcher3,amirzaidi/Launcher3,3140,nl,Java
PixelsCommander,HTML-GL,PixelsCommander/HTML-GL,3071,nl,JavaScript
kvz,locutus,kvz/locutus,3069,nl,JavaScript
roberthein,BouncyLayout,roberthein/BouncyLayout,3057,nl,Swift
kootenpv,whereami,kootenpv/whereami,3025,nl,Python
barryvdh,laravel-cors,barryvdh/laravel-cors,2994,nl,PHP
webpro,awesome-dotfiles,webpro/awesome-dotfiles,2864,nl,
emicklei,go-restful,emicklei/go-restful,2845,nl,Go
RedApparat,Fotoapparat,RedApparat/Fotoapparat,2815,nl,Kotlin
lcobucci,jwt,lcobucci/jwt,2783,nl,PHP
wooorm,franc,wooorm/franc,2771,nl,JavaScript
Boris-Em,BEMSimpleLineGraph,Boris-Em/BEMSimpleLineGraph,2725,nl,Objective-C
voormedia,rails-erd,voormedia/rails-erd,2693,nl,Ruby
stefankroes,ancestry,stefankroes/ancestry,2678,nl,Ruby
jasny,bootstrap,jasny/bootstrap,2673,nl,JavaScript
ioscreator,ioscreator,ioscreator/ioscreator,2669,nl,Swift
terwanerik,ScrollTrigger,terwanerik/ScrollTrigger,2658,nl,JavaScript
roberthein,TinyConstraints,roberthein/TinyConstraints,2658,nl,Swift
PaulUithol,Backbone-relational,PaulUithol/Backbone-relational,2389,nl,JavaScript
RickWong,react-isomorphic-starterkit,RickWong/react-isomorphic-starterkit,2349,nl,JavaScript
wooorm,alex,wooorm/alex,2345,nl,JavaScript
barryvdh,laravel-dompdf,barryvdh/laravel-dompdf,2300,nl,PHP
Boris-Em,BEMCheckBox,Boris-Em/BEMCheckBox,2171,nl,Objective-C
Crinsane,LaravelShoppingcart,Crinsane/LaravelShoppingcart,2163,nl,PHP
mislav,git-deploy,mislav/git-deploy,2090,nl,Ruby
HansPinckaers,GrowingTextView,HansPinckaers/GrowingTextView,2078,nl,Objective-C
doxygen,doxygen,doxygen/doxygen,2057,nl,C++
Touchwonders,Transition,Touchwonders/Transition,2048,nl,Swift
felixhageloh,uebersicht,felixhageloh/uebersicht,2047,nl,Objective-C
dyve,django-bootstrap3,dyve/django-bootstrap3,2026,nl,Python
IonDen,ion.rangeSlider,IonDen/ion.rangeSlider,2012,nl,JavaScript
robinvdvleuten,vuex-persistedstate,robinvdvleuten/vuex-persistedstate,2010,nl,JavaScript
tjerkw,Android-SlideExpandableListView,tjerkw/Android-SlideExpandableListView,1991,nl,Java
konmik,nucleus,konmik/nucleus,1989,nl,Java
hilios,jQuery.countdown,hilios/jQuery.countdown,1974,nl,JavaScript
erikdubbelboer,phpRedisAdmin,erikdubbelboer/phpRedisAdmin,1939,nl,PHP
gabordemooij,redbean,gabordemooij/redbean,1900,nl,PHP
emirozer,fake2db,emirozer/fake2db,1873,nl,Python
elevenetc,TextSurface,elevenetc/TextSurface,1868,nl,Java
jeroenjanssens,data-science-at-the-command-line,jeroenjanssens/data-science-at-the-command-line,1840,nl,HTML
swisnl,jQuery-contextMenu,swisnl/jQuery-contextMenu,1804,nl,HTML
AlexLittlejohn,ALCameraViewController,AlexLittlejohn/ALCameraViewController,1708,nl,Swift
jadjoubran,laravel5-angular-material-starter,jadjoubran/laravel5-angular-material-starter,1707,nl,PHP
FransBouma,Massive,FransBouma/Massive,1707,nl,C#
Thomvis,BrightFutures,Thomvis/BrightFutures,1690,nl,Swift
ajaxorg,ace-builds,ajaxorg/ace-builds,1664,nl,JavaScript
mevdschee,php-crud-api,mevdschee/php-crud-api,1661,nl,PHP
davidhund,styleguide-generators,davidhund/styleguide-generators,1647,nl,
jdewit,bootstrap-timepicker,jdewit/bootstrap-timepicker,1643,nl,JavaScript
bikkelbroeders,TouchBarDemoApp,bikkelbroeders/TouchBarDemoApp,1618,nl,Objective-C
firstfloorsoftware,mui,firstfloorsoftware/mui,1603,nl,C#
