owner,name,fullName,numberOfStars,country,language
tipsy,profile-summary-for-github,tipsy/profile-summary-for-github,18253,no,Kotlin
gnab,remark,gnab/remark,8173,no,JavaScript
highcharts,highcharts,highcharts/highcharts,7880,no,JavaScript
ChrisRM,material-theme-jetbrains,ChrisRM/material-theme-jetbrains,6136,no,Java
auduno,clmtrackr,auduno/clmtrackr,5443,no,JavaScript
prasmussen,gdrive,prasmussen/gdrive,4500,no,Go
os-js,OS.js,os-js/OS.js,4328,no,JavaScript
danielzeller,Depth-LIB-Android-,danielzeller/Depth-LIB-Android-,4258,no,Java
atlemo,SubtlePatterns,atlemo/SubtlePatterns,4217,no,HTML
ecrmnn,collect.js,ecrmnn/collect.js,4089,no,JavaScript
hyperoslo,ImagePicker,hyperoslo/ImagePicker,3860,no,Swift
auduno,headtrackr,auduno/headtrackr,3506,no,JavaScript
hyperoslo,Whisper,hyperoslo/Whisper,3490,no,Swift
koekeishiya,kwm,koekeishiya/kwm,3468,no,C++
onmyway133,fantastic-ios-animation,onmyway133/fantastic-ios-animation,3456,no,
mikaelbr,node-notifier,mikaelbr/node-notifier,3244,no,JavaScript
hioa-cs,IncludeOS,hioa-cs/IncludeOS,2883,no,C++
Lokaltog,vim-powerline,Lokaltog/vim-powerline,2864,no,
olefredrik,FoundationPress,olefredrik/FoundationPress,2672,no,PHP
hyperoslo,Presentation,hyperoslo/Presentation,2643,no,Swift
onmyway133,fantastic-ios-architecture,onmyway133/fantastic-ios-architecture,2600,no,
hyperoslo,Hue,hyperoslo/Hue,2590,no,Swift
koekeishiya,chunkwm,koekeishiya/chunkwm,2555,no,C++
christianalfoni,formsy-react,christianalfoni/formsy-react,2497,no,JavaScript
rexxars,react-markdown,rexxars/react-markdown,2489,no,JavaScript
eirslett,frontend-maven-plugin,eirslett/frontend-maven-plugin,2473,no,Java
3lvis,Sync,3lvis/Sync,2237,no,Swift
raphw,byte-buddy,raphw/byte-buddy,2230,no,Java
kimjoar,writings,kimjoar/writings,2063,no,
somebee,imba,somebee/imba,2043,no,JavaScript
prasmussen,chrome-cli,prasmussen/chrome-cli,1892,no,Objective-C
tipsy,javalin,tipsy/javalin,1794,no,Kotlin
edvin,tornadofx,edvin/tornadofx,1756,no,Kotlin
3lvis,Form,3lvis/Form,1650,no,Objective-C
oyvindeh,ucss,oyvindeh/ucss,1633,no,JavaScript
