owner,name,fullName,numberOfStars,country,language
matthieua,WOW,matthieua/WOW,8440,pt,JavaScript
filp,whoops,filp/whoops,7885,pt,PHP
danilowoz,react-content-loader,danilowoz/react-content-loader,4893,pt,JavaScript
cloudson,gitql,cloudson/gitql,4864,pt,Go
rubensousa,RecyclerViewSnap,rubensousa/RecyclerViewSnap,3576,pt,Java
ruipgil,scraperjs,ruipgil/scraperjs,3498,pt,JavaScript
rubensousa,ViewPagerCards,rubensousa/ViewPagerCards,3379,pt,Java
igorescobar,jQuery-Mask-Plugin,igorescobar/jQuery-Mask-Plugin,3321,pt,JavaScript
dresende,node-orm2,dresende/node-orm2,2885,pt,JavaScript
rubensousa,PreviewSeekBar,rubensousa/PreviewSeekBar,2705,pt,Java
gitscrum-community,laravel-gitscrum,gitscrum-community/laravel-gitscrum,2255,pt,PHP
brunnolou,react-morph,brunnolou/react-morph,2162,pt,JavaScript
whitesmith,rubycritic,whitesmith/rubycritic,2147,pt,JavaScript
rafaelconde,ios8-ui-kit,rafaelconde/ios8-ui-kit,2120,pt,
sapo,Ink,sapo/Ink,1922,pt,JavaScript
apocas,dockerode,apocas/dockerode,1920,pt,JavaScript
joaotavora,yasnippet,joaotavora/yasnippet,1737,pt,Emacs Lisp
raphaelcruzeiro,jquery-notebook,raphaelcruzeiro/jquery-notebook,1702,pt,JavaScript
dpgaspar,Flask-AppBuilder,dpgaspar/Flask-AppBuilder,1694,pt,Python
