owner,name,fullName,numberOfStars,country,language
tonsky,FiraCode,tonsky/FiraCode,37896,ru,Clojure
nolimits4web,swiper,nolimits4web/swiper,20692,ru,JavaScript
kriasoft,react-starter-kit,kriasoft/react-starter-kit,19454,ru,JavaScript
mxgmn,WaveFunctionCollapse,mxgmn/WaveFunctionCollapse,12497,ru,C#
buger,goreplay,buger/goreplay,11447,ru,Go
zloirock,core-js,zloirock/core-js,9801,ru,JavaScript
codex-team,editor.js,codex-team/editor.js,9280,ru,TypeScript
arut,nginx-rtmp-module,arut/nginx-rtmp-module,8295,ru,C
yandex,ClickHouse,yandex/ClickHouse,7979,ru,C++
rushter,MLAlgorithms,rushter/MLAlgorithms,7634,ru,Python
lk-geimfari,awesomo,lk-geimfari/awesomo,6711,ru,Rust
vk-com,kphp-kdb,vk-com/kphp-kdb,6507,ru,C
vitalets,x-editable,vitalets/x-editable,6324,ru,JavaScript
KELiON,cerebro,KELiON/cerebro,6168,ru,JavaScript
yandex,gixy,yandex/gixy,6068,ru,Python
morhetz,gruvbox,morhetz/gruvbox,6049,ru,Vim script
stascorp,rdpwrap,stascorp/rdpwrap,5573,ru,Pascal
sergeche,emmet-sublime,sergeche/emmet-sublime,5308,ru,JavaScript
DmitryUlyanov,deep-image-prior,DmitryUlyanov/deep-image-prior,5043,ru,Jupyter Notebook
tonsky,AnyBar,tonsky/AnyBar,4990,ru,Objective-C
andrew--r,frontend-case-studies,andrew--r/frontend-case-studies,4981,ru,
Wolg,awesome-swift,Wolg/awesome-swift,4930,ru,
AlexeyAB,darknet,AlexeyAB/darknet,4811,ru,C
rushter,data-science-blogs,rushter/data-science-blogs,4765,ru,Python
nsf,gocode,nsf/gocode,4754,ru,Go
exyte,Macaw,exyte/Macaw,4708,ru,Swift
yandexdataschool,nlp_course,yandexdataschool/nlp_course,4682,ru,Jupyter Notebook
NekR,offline-plugin,NekR/offline-plugin,4062,ru,JavaScript
kriasoft,react-firebase-starter,kriasoft/react-firebase-starter,3842,ru,JavaScript
ealeksandrov,EAIntroView,ealeksandrov/EAIntroView,3737,ru,Objective-C
andrew--r,channels,andrew--r/channels,3719,ru,
centrifugal,centrifugo,centrifugal/centrifugo,3712,ru,Go
emmetio,emmet,emmetio/emmet,3693,ru,TypeScript
nsf,termbox-go,nsf/termbox-go,3511,ru,Go
nervgh,angular-file-upload,nervgh/angular-file-upload,3497,ru,JavaScript
mailru,FileAPI,mailru/FileAPI,3447,ru,JavaScript
Studio-42,elFinder,Studio-42/elFinder,3439,ru,JavaScript
yandexdataschool,Practical_RL,yandexdataschool/Practical_RL,3350,ru,Jupyter Notebook
vodkabears,Vide,vodkabears/Vide,3347,ru,JavaScript
tonsky,datascript,tonsky/datascript,3333,ru,Clojure
lysyi3m,macos-terminal-themes,lysyi3m/macos-terminal-themes,3302,ru,Swift
artemnovichkov,iOS-11-by-Examples,artemnovichkov/iOS-11-by-Examples,3302,ru,Swift
xdan,datetimepicker,xdan/datetimepicker,3139,ru,JavaScript
lorien,awesome-web-scraping,lorien/awesome-web-scraping,3038,ru,Makefile
vodkabears,Remodal,vodkabears/Remodal,2786,ru,JavaScript
ClusterM,hakchi2,ClusterM/hakchi2,2698,ru,C#
buger,jsonparser,buger/jsonparser,2690,ru,Go
kolyvan,kxmovie,kolyvan/kxmovie,2662,ru,Objective-C
azat-io,you-dont-know-js-ru,azat-io/you-dont-know-js-ru,2661,ru,
akopytov,sysbench,akopytov/sysbench,2559,ru,C
disintegration,imaging,disintegration/imaging,2552,ru,Go
gobwas,ws,gobwas/ws,2548,ru,Go
ValdikSS,GoodbyeDPI,ValdikSS/GoodbyeDPI,2524,ru,C
lk-geimfari,mimesis,lk-geimfari/mimesis,2468,ru,Python
akxcv,vuera,akxcv/vuera,2438,ru,JavaScript
igorbarinov,awesome-data-engineering,igorbarinov/awesome-data-engineering,2411,ru,
sokolovstas,SublimeWebInspector,sokolovstas/SublimeWebInspector,2401,ru,Python
kriasoft,nodejs-api-starter,kriasoft/nodejs-api-starter,2349,ru,JavaScript
Prototik,HoloEverywhere,Prototik/HoloEverywhere,2225,ru,Java
XProger,OpenLara,XProger/OpenLara,2157,ru,C++
mailru,easyjson,mailru/easyjson,2152,ru,Go
posthtml,posthtml,posthtml/posthtml,2150,ru,JavaScript
StockSharp,StockSharp,StockSharp/StockSharp,2138,ru,C#
Suor,funcy,Suor/funcy,2117,ru,Python
