owner,name,fullName,numberOfStars,country,language
niklasvh,html2canvas,niklasvh/html2canvas,13243,sg,JavaScript
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,12567,sg,
grab,front-end-guide,grab/front-end-guide,11278,sg,JavaScript
iCHAIT,awesome-macOS,iCHAIT/awesome-macOS,7978,sg,
path,FastImageCache,path/FastImageCache,7912,sg,Objective-C
lebinh,ngxtop,lebinh/ngxtop,5079,sg,Python
pili-engineering,PLDroidPlayer,pili-engineering/PLDroidPlayer,3462,sg,Java
cloudflare,cfssl,cloudflare/cfssl,3234,sg,Go
matiassingers,awesome-readme,matiassingers/awesome-readme,2959,sg,
honcheng,PaperFold-for-iOS,honcheng/PaperFold-for-iOS,2788,sg,Objective-C
kelaberetiv,TagUI,kelaberetiv/TagUI,2765,sg,JavaScript
amulyakhare,TextDrawable,amulyakhare/TextDrawable,2749,sg,Java
ritchieng,the-incredible-pytorch,ritchieng/the-incredible-pytorch,2709,sg,
RichardKnop,machinery,RichardKnop/machinery,2485,sg,Go
path,android-priority-jobqueue,path/android-priority-jobqueue,2448,sg,Java
zoonooz,ZFDragableModalTransition,zoonooz/ZFDragableModalTransition,2404,sg,Objective-C
cheeaun,life,cheeaun/life,2400,sg,HTML
cloudflare,backgrid,cloudflare/backgrid,2055,sg,JavaScript
secfigo,Awesome-Fuzzing,secfigo/Awesome-Fuzzing,1937,sg,
kentnguyen,KNSemiModalViewController,kentnguyen/KNSemiModalViewController,1797,sg,Objective-C
lxcid,LXReorderableCollectionViewFlowLayout,lxcid/LXReorderableCollectionViewFlowLayout,1794,sg,Objective-C
timoxley,functional-javascript-workshop,timoxley/functional-javascript-workshop,1727,sg,JavaScript
