owner,name,fullName,numberOfStars,country,language
fatih,vim-go,fatih/vim-go,8955,tr,Vim script
needim,noty,needim/noty,5986,tr,JavaScript
seyhunak,twitter-bootstrap-rails,seyhunak/twitter-bootstrap-rails,4515,tr,HTML
oguzhaninan,Stacer,oguzhaninan/Stacer,3500,tr,C++
emre,storm,emre/storm,3269,tr,Python
iammert,ScalingLayout,iammert/ScalingLayout,2621,tr,Java
fatih,color,fatih/color,2594,tr,Go
fatih,structs,fatih/structs,2355,tr,Go
ademilter,bricklayer,ademilter/bricklayer,2337,tr,TypeScript
hsnaydd,moveTo,hsnaydd/moveTo,2318,tr,JavaScript
iammert,MaterialIntroView,iammert/MaterialIntroView,2118,tr,Java
arslanbilal,git-cheat-sheet,arslanbilal/git-cheat-sheet,1990,tr,
ekremkaraca,awesome-rails,ekremkaraca/awesome-rails,1901,tr,
gurayyarar,AdminBSBMaterialDesign,gurayyarar/AdminBSBMaterialDesign,1879,tr,JavaScript
evrencoskun,TableView,evrencoskun/TableView,1750,tr,Java
eluleci,FlatUI,eluleci/FlatUI,1630,tr,Java
onokumus,metismenu,onokumus/metismenu,1606,tr,JavaScript
