owner,name,fullName,numberOfStars,country,language
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,34870,ua,JavaScript
dimsemenov,PhotoSwipe,dimsemenov/PhotoSwipe,17061,ua,JavaScript
serhii-londar,open-source-mac-os-apps,serhii-londar/open-source-mac-os-apps,13305,ua,Swift
denysdovhan,wtfjs,denysdovhan/wtfjs,12036,ua,JavaScript
dimsemenov,Magnific-Popup,dimsemenov/Magnific-Popup,10371,ua,JavaScript
uglide,RedisDesktopManager,uglide/RedisDesktopManager,8747,ua,C++
Yalantis,uCrop,Yalantis/uCrop,7474,ua,Java
valyala,fasthttp,valyala/fasthttp,6789,ua,Go
DennisYurichev,RE-for-beginners,DennisYurichev/RE-for-beginners,6271,ua,TeX
NeXTs,Clusterize.js,NeXTs/Clusterize.js,5865,ua,JavaScript
olton,Metro-UI-CSS,olton/Metro-UI-CSS,5776,ua,CSS
ipselon,structor,ipselon/structor,5345,ua,JavaScript
Devlight,InfiniteCycleViewPager,Devlight/InfiniteCycleViewPager,4986,ua,Java
Yalantis,Side-Menu.Android,Yalantis/Side-Menu.Android,4723,ua,Java
LisaDziuba,Marketing-for-Engineers,LisaDziuba/Marketing-for-Engineers,4656,ua,
denysdovhan,spaceship-prompt,denysdovhan/spaceship-prompt,4431,ua,Shell
valor-software,ngx-bootstrap,valor-software/ngx-bootstrap,4251,ua,TypeScript
Devlight,NavigationTabBar,Devlight/NavigationTabBar,4179,ua,Java
yarolegovich,DiscreteScrollView,yarolegovich/DiscreteScrollView,4007,ua,Java
Yalantis,Koloda,Yalantis/Koloda,3974,ua,Swift
Yalantis,Phoenix,Yalantis/Phoenix,3867,ua,Java
Yalantis,FoldingTabBar.iOS,Yalantis/FoldingTabBar.iOS,3616,ua,Objective-C
denysdovhan,bash-handbook,denysdovhan/bash-handbook,3436,ua,JavaScript
Yalantis,Context-Menu.Android,Yalantis/Context-Menu.Android,3413,ua,Java
likeastore,ngDialog,likeastore/ngDialog,3249,ua,JavaScript
Yalantis,StarWars.iOS,Yalantis/StarWars.iOS,3243,ua,Swift
romandanylyk,PageIndicatorView,romandanylyk/PageIndicatorView,3157,ua,Java
Yalantis,Persei,Yalantis/Persei,3058,ua,Swift
esvit,ng-table,esvit/ng-table,2834,ua,TypeScript
Yalantis,GuillotineMenu,Yalantis/GuillotineMenu,2662,ua,Swift
Yalantis,GuillotineMenu-Android,Yalantis/GuillotineMenu-Android,2623,ua,Java
Yalantis,Side-Menu.iOS,Yalantis/Side-Menu.iOS,2614,ua,Swift
danylovolokh,VideoPlayerManager,danylovolokh/VideoPlayerManager,2612,ua,Java
NeXTs,Jets.js,NeXTs/Jets.js,2610,ua,JavaScript
BelooS,ChipsLayoutManager,BelooS/ChipsLayoutManager,2419,ua,Java
yarolegovich,SlidingRootNav,yarolegovich/SlidingRootNav,2359,ua,Java
Cleveroad,SlidingTutorial-Android,Cleveroad/SlidingTutorial-Android,2333,ua,Java
bmelnychuk,AndroidTreeView,bmelnychuk/AndroidTreeView,2248,ua,Java
Yalantis,Pull-to-Refresh.Rentals-iOS,Yalantis/Pull-to-Refresh.Rentals-iOS,2185,ua,Objective-C
Yalantis,Euclid,Yalantis/Euclid,2160,ua,Java
stfalcon-studio,ChatKit,stfalcon-studio/ChatKit,2124,ua,Java
boo1ean,casual,boo1ean/casual,1969,ua,JavaScript
galetahub,ckeditor,galetahub/ckeditor,1945,ua,Ruby
steelkiwi,cropiwa,steelkiwi/cropiwa,1901,ua,Java
Devlight,NavigationTabStrip,Devlight/NavigationTabStrip,1889,ua,Java
Yalantis,Context-Menu.iOS,Yalantis/Context-Menu.iOS,1866,ua,Objective-C
veelenga,awesome-crystal,veelenga/awesome-crystal,1855,ua,Crystal
Yalantis,Horizon,Yalantis/Horizon,1846,ua,Java
ApplikeySolutions,VegaScroll,ApplikeySolutions/VegaScroll,1826,ua,Swift
Yalantis,PullToMakeSoup,Yalantis/PullToMakeSoup,1822,ua,Objective-C
Yalantis,FlipViewPager.Draco,Yalantis/FlipViewPager.Draco,1803,ua,Java
Yalantis,StarWars.Android,Yalantis/StarWars.Android,1796,ua,Java
Cleveroad,FanLayoutManager,Cleveroad/FanLayoutManager,1787,ua,Java
Yalantis,DisplaySwitcher,Yalantis/DisplaySwitcher,1780,ua,Swift
Yalantis,Segmentio,Yalantis/Segmentio,1747,ua,Swift
blynkkk,blynk-library,blynkkk/blynk-library,1699,ua,C++
floyernick,Data-Structures-and-Algorithms,floyernick/Data-Structures-and-Algorithms,1629,ua,Go
roman01la,html-to-react-components,roman01la/html-to-react-components,1624,ua,JavaScript
Yalantis,Taurus,Yalantis/Taurus,1613,ua,Java
