owner,name,fullName,numberOfStars,country,language
twbs,bootstrap,twbs/bootstrap,126863,us,CSS
facebook,react,facebook/react,109477,us,JavaScript
getify,You-Dont-Know-JS,getify/You-Dont-Know-JS,87099,us,
d3,d3,d3/d3,78211,us,JavaScript
robbyrussell,oh-my-zsh,robbyrussell/oh-my-zsh,75209,us,Shell
airbnb,javascript,airbnb/javascript,75077,us,JavaScript
github,gitignore,github/gitignore,71651,us,
facebook,react-native,facebook/react-native,67815,us,JavaScript
jwasham,coding-interview-university,jwasham/coding-interview-university,67539,us,
electron,electron,electron/electron,63672,us,C++
torvalds,linux,torvalds/linux,62153,us,C
Microsoft,vscode,Microsoft/vscode,57758,us,TypeScript
FortAwesome,Font-Awesome,FortAwesome/Font-Awesome,57287,us,JavaScript
facebook,create-react-app,facebook/create-react-app,54216,us,JavaScript
daneden,animate.css,daneden/animate.css,53718,us,CSS
apple,swift,apple/swift,44940,us,C++
donnemartin,system-design-primer,donnemartin/system-design-primer,42893,us,Python
Semantic-Org,Semantic-UI,Semantic-Org/Semantic-UI,42580,us,JavaScript
mui-org,material-ui,mui-org/material-ui,39613,us,JavaScript
Microsoft,TypeScript,Microsoft/TypeScript,38185,us,TypeScript
jlevy,the-art-of-command-line,jlevy/the-art-of-command-line,36302,us,
ionic-team,ionic,ionic-team/ionic,35108,us,TypeScript
josephmisiti,awesome-machine-learning,josephmisiti/awesome-machine-learning,34871,us,Python
ReactTraining,react-router,ReactTraining/react-router,32124,us,JavaScript
necolas,normalize.css,necolas/normalize.css,32113,us,CSS
papers-we-love,papers-we-love,papers-we-love/papers-we-love,31287,us,
creationix,nvm,creationix/nvm,29094,us,Shell
zeit,next.js,zeit/next.js,28292,us,JavaScript
zurb,foundation-sites,zurb/foundation-sites,27560,us,HTML
jashkenas,backbone,jashkenas/backbone,27264,us,JavaScript
prakhar1989,awesome-courses,prakhar1989/awesome-courses,25362,us,
BVLC,caffe,BVLC/caffe,25280,us,C++
serverless,serverless,serverless/serverless,25214,us,JavaScript
zeit,hyper,zeit/hyper,25148,us,JavaScript
kdn251,interviews,kdn251/interviews,25064,us,Java
lukehoban,es6features,lukehoban/es6features,24808,us,
facebook,immutable-js,facebook/immutable-js,24782,us,JavaScript
almasaeed2010,AdminLTE,almasaeed2010/AdminLTE,24594,us,HTML
karan,Projects,karan/Projects,24271,us,
nylas,nylas-mail,nylas/nylas-mail,24101,us,JavaScript
joshbuchea,HEAD,joshbuchea/HEAD,24100,us,
minimaxir,big-list-of-naughty-strings,minimaxir/big-list-of-naughty-strings,24088,us,Python
johnpapa,angular-styleguide,johnpapa/angular-styleguide,24035,us,
codepath,android_guides,codepath/android_guides,23633,us,
jashkenas,underscore,jashkenas/underscore,23554,us,JavaScript
zenorocha,clipboard.js,zenorocha/clipboard.js,23338,us,JavaScript
mozilla,pdf.js,mozilla/pdf.js,23128,us,JavaScript
kelseyhightower,nocode,kelseyhightower/nocode,22987,us,
bumptech,glide,bumptech/glide,22975,us,Java
yangshun,tech-interview-handbook,yangshun/tech-interview-handbook,22439,us,JavaScript
videojs,video.js,videojs/video.js,22293,us,JavaScript
airbnb,lottie-android,airbnb/lottie-android,22125,us,Java
JakeWharton,butterknife,JakeWharton/butterknife,21856,us,Java
rethinkdb,rethinkdb,rethinkdb/rethinkdb,21701,us,C++
alex,what-happens-when,alex/what-happens-when,21648,us,
rs,SDWebImage,rs/SDWebImage,20366,us,Objective-C
MaximAbramchuck,awesome-interview-questions,MaximAbramchuck/awesome-interview-questions,20067,us,
github,fetch,github/fetch,20011,us,JavaScript
facebook,jest,facebook/jest,19878,us,JavaScript
developit,preact,developit/preact,19841,us,JavaScript
balderdashy,sails,balderdashy/sails,19504,us,JavaScript
facebook,pop,facebook/pop,19202,us,Objective-C++
ryanmcdermott,clean-code-javascript,ryanmcdermott/clean-code-javascript,19118,us,JavaScript
railsware,upterm,railsware/upterm,18897,us,TypeScript
dkhamsing,open-source-ios-apps,dkhamsing/open-source-ios-apps,18072,us,Swift
BradLarson,GPUImage,BradLarson/GPUImage,17844,us,Objective-C
Kong,kong,Kong/kong,17516,us,Lua
facebook,flow,facebook/flow,17514,us,OCaml
Valloric,YouCompleteMe,Valloric/YouCompleteMe,17181,us,Python
hashicorp,vagrant,hashicorp/vagrant,17126,us,Ruby
jiahaog,nativefier,jiahaog/nativefier,16583,us,JavaScript
defunkt,jquery-pjax,defunkt/jquery-pjax,16066,us,JavaScript
segmentio,nightmare,segmentio/nightmare,16039,us,JavaScript
dhg,Skeleton,dhg/Skeleton,15919,us,CSS
facebookresearch,Detectron,facebookresearch/Detectron,15860,us,Python
ggreer,the_silver_searcher,ggreer/the_silver_searcher,15750,us,C
facebook,flux,facebook/flux,15509,us,JavaScript
facebook,hhvm,facebook/hhvm,15482,us,C++
