owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
godotengine,godot,godotengine/godot,16320,Buenos Aires,ar,"C++,Java,Python,C#,Objective-C++,C,Shell,JavaScript,Objective-C,GLSL,Makefile",C++,16180,https://api.github.com/users/godotengine,https://api.github.com/repos/godotengine/godot/languages,https://api.github.com/repos/godotengine/godot/contributors
mgonto,restangular,mgonto/restangular,8182,"Buenos Aires, Argentina",ar,JavaScript,JavaScript,937,https://api.github.com/users/mgonto,https://api.github.com/repos/mgonto/restangular/languages,https://api.github.com/repos/mgonto/restangular/contributors
Mango,slideout,Mango/slideout,7436,"Buenos Aires, Argentina",ar,"JavaScript,HTML,CSS",JavaScript,255,https://api.github.com/users/Mango,https://api.github.com/repos/Mango/slideout/languages,https://api.github.com/repos/Mango/slideout/contributors
cazala,synaptic,cazala/synaptic,6234,"Buenos Aires, Argentina",ar,JavaScript,JavaScript,392,https://api.github.com/users/cazala,https://api.github.com/repos/cazala/synaptic/languages,https://api.github.com/repos/cazala/synaptic/contributors
aseprite,aseprite,aseprite/aseprite,5506,Argentina,ar,"C++,CMake,Shell,C,Objective-C++,HTML,JavaScript,Lua,CSS",C++,6387,https://api.github.com/users/aseprite,https://api.github.com/repos/aseprite/aseprite/languages,https://api.github.com/repos/aseprite/aseprite/contributors
norman,friendly_id,norman/friendly_id,5010,"Buenos Aires, Argentina",ar,Ruby,Ruby,1629,https://api.github.com/users/norman,https://api.github.com/repos/norman/friendly_id/languages,https://api.github.com/repos/norman/friendly_id/contributors
marcosgriselli,ViewAnimator,marcosgriselli/ViewAnimator,4370,"Buenos Aires, Argentina",ar,"Swift,Ruby",Swift,202,https://api.github.com/users/marcosgriselli,https://api.github.com/repos/marcosgriselli/ViewAnimator/languages,https://api.github.com/repos/marcosgriselli/ViewAnimator/contributors
ramboxapp,community-edition,ramboxapp/community-edition,4029,Argentina,ar,"JavaScript,CSS,HTML,Ruby,Python",JavaScript,975,https://api.github.com/users/ramboxapp,https://api.github.com/repos/ramboxapp/community-edition/languages,https://api.github.com/repos/ramboxapp/community-edition/contributors
rmax,scrapy-redis,rmax/scrapy-redis,3393,Argentina,ar,"Python,Makefile",Python,274,https://api.github.com/users/rmax,https://api.github.com/repos/rmax/scrapy-redis/languages,https://api.github.com/repos/rmax/scrapy-redis/contributors
Aerolab,midnight.js,Aerolab/midnight.js,3377,"Buenos Aires, Argentina",ar,"JavaScript,CSS,HTML",JavaScript,63,https://api.github.com/users/Aerolab,https://api.github.com/repos/Aerolab/midnight.js/languages,https://api.github.com/repos/Aerolab/midnight.js/contributors
flesler,jquery.scrollTo,flesler/jquery.scrollTo,3320,"Buenos Aires, Argentina",ar,"JavaScript,HTML",JavaScript,219,https://api.github.com/users/flesler,https://api.github.com/repos/flesler/jquery.scrollTo/languages,https://api.github.com/repos/flesler/jquery.scrollTo/contributors
deivid-rodriguez,byebug,deivid-rodriguez/byebug,2587,Argentina,ar,"Ruby,C,Dockerfile,Shell",Ruby,2651,https://api.github.com/users/deivid-rodriguez,https://api.github.com/repos/deivid-rodriguez/byebug/languages,https://api.github.com/repos/deivid-rodriguez/byebug/contributors
benjamine,jsondiffpatch,benjamine/jsondiffpatch,2550,"Buenos Aires, Argentina",ar,"JavaScript,Makefile",JavaScript,403,https://api.github.com/users/benjamine,https://api.github.com/repos/benjamine/jsondiffpatch/languages,https://api.github.com/repos/benjamine/jsondiffpatch/contributors
pazguille,offline-first,pazguille/offline-first,2442,"Buenos Aires, Argentina",ar,,,465,https://api.github.com/users/pazguille,https://api.github.com/repos/pazguille/offline-first/languages,https://api.github.com/repos/pazguille/offline-first/contributors
rickyrauch,Balloons.IO,rickyrauch/Balloons.IO,2354,"Buenos Aires, Argentina",ar,"CSS,JavaScript,HTML",CSS,452,https://api.github.com/users/rickyrauch,https://api.github.com/repos/rickyrauch/Balloons.IO/languages,https://api.github.com/repos/rickyrauch/Balloons.IO/contributors
andresriancho,w3af,andresriancho/w3af,2109,Buenos Aires,ar,"Python,HTML,Roff,JavaScript,Shell,C,Rebol,Smarty,Assembly,Dockerfile,Perl,ASP,C++,PHP,Java,PLpgSQL,Hack",Python,16313,https://api.github.com/users/andresriancho,https://api.github.com/repos/andresriancho/w3af/languages,https://api.github.com/repos/andresriancho/w3af/contributors
cazala,coin-hive,cazala/coin-hive,1688,"Buenos Aires, Argentina",ar,JavaScript,JavaScript,250,https://api.github.com/users/cazala,https://api.github.com/repos/cazala/coin-hive/languages,https://api.github.com/repos/cazala/coin-hive/contributors
