owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
JedWatson,react-select,JedWatson/react-select,13344,Sydney,au,JavaScript,JavaScript,3028,https://api.github.com/users/JedWatson,https://api.github.com/repos/JedWatson/react-select/languages,https://api.github.com/repos/JedWatson/react-select/contributors
sampotts,plyr,sampotts/plyr,11925,"Sydney, Australia",au,"JavaScript,CSS,Shell",JavaScript,1662,https://api.github.com/users/sampotts,https://api.github.com/repos/sampotts/plyr/languages,https://api.github.com/repos/sampotts/plyr/contributors
DmitryBaranovskiy,raphael,DmitryBaranovskiy/raphael,9852,"Sydney, Australia",au,"JavaScript,HTML",JavaScript,563,https://api.github.com/users/DmitryBaranovskiy,https://api.github.com/repos/DmitryBaranovskiy/raphael/languages,https://api.github.com/repos/DmitryBaranovskiy/raphael/contributors
orhanobut,logger,orhanobut/logger,9732,"Sydney, Australia",au,"Java,Kotlin",Java,244,https://api.github.com/users/orhanobut,https://api.github.com/repos/orhanobut/logger/languages,https://api.github.com/repos/orhanobut/logger/contributors
dylanaraps,pure-bash-bible,dylanaraps/pure-bash-bible,9305,"Melbourne, Australia",au,Shell,Shell,292,https://api.github.com/users/dylanaraps,https://api.github.com/repos/dylanaraps/pure-bash-bible/languages,https://api.github.com/repos/dylanaraps/pure-bash-bible/contributors
atomiks,30-seconds-of-css,atomiks/30-seconds-of-css,8772,Australia,au,"HTML,CSS,JavaScript",HTML,352,https://api.github.com/users/atomiks,https://api.github.com/repos/atomiks/30-seconds-of-css/languages,https://api.github.com/repos/atomiks/30-seconds-of-css/contributors
nosir,cleave.js,nosir/cleave.js,8760,"Sydney, Australia",au,"JavaScript,HTML",JavaScript,417,https://api.github.com/users/nosir,https://api.github.com/repos/nosir/cleave.js/languages,https://api.github.com/repos/nosir/cleave.js/contributors
JedWatson,classnames,JedWatson/classnames,8706,Sydney,au,"JavaScript,HTML",JavaScript,323,https://api.github.com/users/JedWatson,https://api.github.com/repos/JedWatson/classnames/languages,https://api.github.com/repos/JedWatson/classnames/contributors
flarum,flarum,flarum/flarum,8037,Australia,au,PHP,PHP,385,https://api.github.com/users/flarum,https://api.github.com/repos/flarum/flarum/languages,https://api.github.com/repos/flarum/flarum/contributors
MarshallOfSound,Google-Play-Music-Desktop-Player-UNOFFICIAL-,MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,6858,"Sydney, Australia",au,"JavaScript,CSS,HTML,Shell",JavaScript,1467,https://api.github.com/users/MarshallOfSound,https://api.github.com/repos/MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-/languages,https://api.github.com/repos/MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-/contributors
