owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
odoo,odoo,odoo/odoo,10778,Belgium,be,"Python,JavaScript,Java,CSS,HTML,Shell,NSIS,Makefile,XSLT,Batchfile,Vim script,Ruby",Python,116925,https://api.github.com/users/odoo,https://api.github.com/repos/odoo/odoo/languages,https://api.github.com/repos/odoo/odoo/contributors
bendc,frontend-guidelines,bendc/frontend-guidelines,7197,Belgium,be,,,18,https://api.github.com/users/bendc,https://api.github.com/repos/bendc/frontend-guidelines/languages,https://api.github.com/repos/bendc/frontend-guidelines/contributors
clips,pattern,clips/pattern,6438,"Antwerp, Belgium",be,"Python,JavaScript,HTML",Python,1533,https://api.github.com/users/clips,https://api.github.com/repos/clips/pattern/languages,https://api.github.com/repos/clips/pattern/contributors
bendc,animateplus,bendc/animateplus,4975,Belgium,be,JavaScript,JavaScript,50,https://api.github.com/users/bendc,https://api.github.com/repos/bendc/animateplus/languages,https://api.github.com/repos/bendc/animateplus/contributors
MichielDerhaeg,build-linux,MichielDerhaeg/build-linux,4636,Belgium,be,"Shell,Makefile",Shell,72,https://api.github.com/users/MichielDerhaeg,https://api.github.com/repos/MichielDerhaeg/build-linux/languages,https://api.github.com/repos/MichielDerhaeg/build-linux/contributors
jonathanslenders,python-prompt-toolkit,jonathanslenders/python-prompt-toolkit,4631,Belgium,be,Python,Python,2185,https://api.github.com/users/jonathanslenders,https://api.github.com/repos/jonathanslenders/python-prompt-toolkit/languages,https://api.github.com/repos/jonathanslenders/python-prompt-toolkit/contributors
bendc,sprint,bendc/sprint,4395,Belgium,be,JavaScript,JavaScript,251,https://api.github.com/users/bendc,https://api.github.com/repos/bendc/sprint/languages,https://api.github.com/repos/bendc/sprint/contributors
spatie,laravel-permission,spatie/laravel-permission,4322,"Antwerp, Belgium",be,"PHP,HTML",PHP,618,https://api.github.com/users/spatie,https://api.github.com/repos/spatie/laravel-permission/languages,https://api.github.com/repos/spatie/laravel-permission/contributors
jedi4ever,veewee,jedi4ever/veewee,4183,Belgium,be,"Shell,Ruby,Batchfile,HTML,Python,Java,Nix",Shell,2497,https://api.github.com/users/jedi4ever,https://api.github.com/repos/jedi4ever/veewee/languages,https://api.github.com/repos/jedi4ever/veewee/contributors
RobinHerbots,Inputmask,RobinHerbots/Inputmask,3931,Belgium,be,"JavaScript,CSS,HTML",JavaScript,2731,https://api.github.com/users/RobinHerbots,https://api.github.com/repos/RobinHerbots/Inputmask/languages,https://api.github.com/repos/RobinHerbots/Inputmask/contributors
