owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
krasimir,react-in-patterns,krasimir/react-in-patterns,9889,Bulgaria,bg,"JavaScript,HTML,CSS",JavaScript,323,https://api.github.com/users/krasimir,https://api.github.com/repos/krasimir/react-in-patterns/languages,https://api.github.com/repos/krasimir/react-in-patterns/contributors
erusev,parsedown,erusev/parsedown,8425,EU ‰Û¼ Bulgaria ‰Û¼ Sofia,bg,"PHP,HTML",PHP,895,https://api.github.com/users/erusev,https://api.github.com/repos/erusev/parsedown/languages,https://api.github.com/repos/erusev/parsedown/contributors
VPenkov,okayNav,VPenkov/okayNav,4162,"Sofia, Bulgaria",bg,"JavaScript,CSS,HTML",JavaScript,80,https://api.github.com/users/VPenkov,https://api.github.com/repos/VPenkov/okayNav/languages,https://api.github.com/repos/VPenkov/okayNav/contributors
vakata,jstree,vakata/jstree,4017,"Sofia, Bulgaria",bg,"JavaScript,CSS,HTML",JavaScript,927,https://api.github.com/users/vakata,https://api.github.com/repos/vakata/jstree/languages,https://api.github.com/repos/vakata/jstree/contributors
bbatsov,prelude,bbatsov/prelude,3878,"Sofia, Bulgaria",bg,"Emacs Lisp,TeX,Shell",Emacs Lisp,1399,https://api.github.com/users/bbatsov,https://api.github.com/repos/bbatsov/prelude/languages,https://api.github.com/repos/bbatsov/prelude/contributors
deepsyx,home-automation,deepsyx/home-automation,3209,"Sofia, Bulgaria",bg,"JavaScript,Python,Java",JavaScript,48,https://api.github.com/users/deepsyx,https://api.github.com/repos/deepsyx/home-automation/languages,https://api.github.com/repos/deepsyx/home-automation/contributors
bbatsov,clojure-style-guide,bbatsov/clojure-style-guide,2944,"Sofia, Bulgaria",bg,,,346,https://api.github.com/users/bbatsov,https://api.github.com/repos/bbatsov/clojure-style-guide/languages,https://api.github.com/repos/bbatsov/clojure-style-guide/contributors
astoilkov,jsblocks,astoilkov/jsblocks,2836,Bulgaria,bg,"JavaScript,HTML,CSS",JavaScript,380,https://api.github.com/users/astoilkov,https://api.github.com/repos/astoilkov/jsblocks/languages,https://api.github.com/repos/astoilkov/jsblocks/contributors
tonytomov,jqGrid,tonytomov/jqGrid,2554,"Sofia, Bulgaria",bg,"JavaScript,CSS",JavaScript,3335,https://api.github.com/users/tonytomov,https://api.github.com/repos/tonytomov/jqGrid/languages,https://api.github.com/repos/tonytomov/jqGrid/contributors
bbatsov,projectile,bbatsov/projectile,2286,"Sofia, Bulgaria",bg,"Emacs Lisp,Makefile",Emacs Lisp,1691,https://api.github.com/users/bbatsov,https://api.github.com/repos/bbatsov/projectile/languages,https://api.github.com/repos/bbatsov/projectile/contributors
robbdimitrov,RDVTabBarController,robbdimitrov/RDVTabBarController,2139,"Sofia, Bulgaria",bg,"Objective-C,Ruby",Objective-C,64,https://api.github.com/users/robbdimitrov,https://api.github.com/repos/robbdimitrov/RDVTabBarController/languages,https://api.github.com/repos/robbdimitrov/RDVTabBarController/contributors
telerik,kendo-ui-core,telerik/kendo-ui-core,2000,"Sofia, Bulgaria",bg,"JavaScript,CSS,Ruby,HTML,Shell,Batchfile",JavaScript,8455,https://api.github.com/users/telerik,https://api.github.com/repos/telerik/kendo-ui-core/languages,https://api.github.com/repos/telerik/kendo-ui-core/contributors
