owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
vsouza,awesome-ios,vsouza/awesome-ios,27169,Brazil,br,Swift,Swift,5653,https://api.github.com/users/vsouza,https://api.github.com/repos/vsouza/awesome-ios/languages,https://api.github.com/repos/vsouza/awesome-ios/contributors
RocketChat,Rocket.Chat,RocketChat/Rocket.Chat,19540,"Porto Alegre, Brazil",br,"JavaScript,HTML,CSS,CoffeeScript,Shell,Ruby,Cap'n Proto,Dockerfile,Standard ML,Batchfile",JavaScript,15561,https://api.github.com/users/RocketChat,https://api.github.com/repos/RocketChat/Rocket.Chat/languages,https://api.github.com/repos/RocketChat/Rocket.Chat/contributors
plataformatec,devise,plataformatec/devise,19008,"SÌ£o Paulo, Brazil",br,"Ruby,HTML",Ruby,3612,https://api.github.com/users/plataformatec,https://api.github.com/repos/plataformatec/devise/languages,https://api.github.com/repos/plataformatec/devise/contributors
plataformatec,simple_form,plataformatec/simple_form,7158,"SÌ£o Paulo, Brazil",br,"Ruby,HTML",Ruby,1975,https://api.github.com/users/plataformatec,https://api.github.com/repos/plataformatec/simple_form/languages,https://api.github.com/repos/plataformatec/simple_form/contributors
braziljs,js-the-right-way,braziljs/js-the-right-way,7014,Brazil,br,"HTML,JavaScript,CSS",HTML,818,https://api.github.com/users/braziljs,https://api.github.com/repos/braziljs/js-the-right-way/languages,https://api.github.com/repos/braziljs/js-the-right-way/contributors
insidegui,WWDC,insidegui/WWDC,6722,Brazil,br,"Swift,Objective-C,Shell,Ruby,C",Swift,1510,https://api.github.com/users/insidegui,https://api.github.com/repos/insidegui/WWDC/languages,https://api.github.com/repos/insidegui/WWDC/contributors
thumbor,thumbor,thumbor/thumbor,6155,"Rio de Janeiro, RJ, Brazil",br,"Python,C,Makefile,JavaScript",Python,2171,https://api.github.com/users/thumbor,https://api.github.com/repos/thumbor/thumbor/languages,https://api.github.com/repos/thumbor/thumbor/contributors
leandromoreira,digital_video_introduction,leandromoreira/digital_video_introduction,5951,Brazil,br,"Jupyter Notebook,Shell",Jupyter Notebook,422,https://api.github.com/users/leandromoreira,https://api.github.com/repos/leandromoreira/digital_video_introduction/languages,https://api.github.com/repos/leandromoreira/digital_video_introduction/contributors
tayllan,awesome-algorithms,tayllan/awesome-algorithms,5122,"FlorianÌ_polis Area, Brazil",br,,,265,https://api.github.com/users/tayllan,https://api.github.com/repos/tayllan/awesome-algorithms/languages,https://api.github.com/repos/tayllan/awesome-algorithms/contributors
Respect,Validation,Respect/Validation,4691,Brazil,br,PHP,PHP,1514,https://api.github.com/users/Respect,https://api.github.com/repos/Respect/Validation/languages,https://api.github.com/repos/Respect/Validation/contributors
NickeManarin,ScreenToGif,NickeManarin/ScreenToGif,4598,"Santa Cruz do Sul, Rio Grande do Sul, Brazil",br,"C#,CSS",C#,585,https://api.github.com/users/NickeManarin,https://api.github.com/repos/NickeManarin/ScreenToGif/languages,https://api.github.com/repos/NickeManarin/ScreenToGif/contributors
kazzkiq,balloon.css,kazzkiq/balloon.css,4071,"Belo Horizonte, Brazil",br,CSS,CSS,85,https://api.github.com/users/kazzkiq,https://api.github.com/repos/kazzkiq/balloon.css/languages,https://api.github.com/repos/kazzkiq/balloon.css/contributors
gilbarbara,logos,gilbarbara/logos,3968,"SÌ£o Paulo, BR",br,,,371,https://api.github.com/users/gilbarbara,https://api.github.com/repos/gilbarbara/logos/languages,https://api.github.com/repos/gilbarbara/logos/contributors
leandromoreira,ffmpeg-libav-tutorial,leandromoreira/ffmpeg-libav-tutorial,3651,Brazil,br,"C,Makefile",C,52,https://api.github.com/users/leandromoreira,https://api.github.com/repos/leandromoreira/ffmpeg-libav-tutorial/languages,https://api.github.com/repos/leandromoreira/ffmpeg-libav-tutorial/contributors
hishamhm,htop,hishamhm/htop,3385,"Campinas, SP, Brazil",br,"C,Lua,M4,C++,Makefile,Python,Objective-C,Shell",C,1172,https://api.github.com/users/hishamhm,https://api.github.com/repos/hishamhm/htop/languages,https://api.github.com/repos/hishamhm/htop/contributors
dogo,SCLAlertView,dogo/SCLAlertView,3126,"SÌ£o Paulo, Brazil",br,"Objective-C,Ruby",Objective-C,592,https://api.github.com/users/dogo,https://api.github.com/repos/dogo/SCLAlertView/languages,https://api.github.com/repos/dogo/SCLAlertView/contributors
mbdavid,LiteDB,mbdavid/LiteDB,3121,Porto Alegre / Brazil,br,"C#,Shell",C#,1110,https://api.github.com/users/mbdavid,https://api.github.com/repos/mbdavid/LiteDB/languages,https://api.github.com/repos/mbdavid/LiteDB/contributors
andersao,l5-repository,andersao/l5-repository,2677,"Fortaleza, CearÌÁ, Brazil",br,PHP,PHP,525,https://api.github.com/users/andersao,https://api.github.com/repos/andersao/l5-repository/languages,https://api.github.com/repos/andersao/l5-repository/contributors
ramon82,zuck.js,ramon82/zuck.js,2509,"SÌ£o Paulo, Brazil",br,"JavaScript,CSS,HTML",JavaScript,78,https://api.github.com/users/ramon82,https://api.github.com/repos/ramon82/zuck.js/languages,https://api.github.com/repos/ramon82/zuck.js/contributors
caiorss,Functional-Programming,caiorss/Functional-Programming,2313,"Recife, Brazil",br,"Haskell,Scala,OCaml,Scheme,Makefile,Nix",Haskell,596,https://api.github.com/users/caiorss,https://api.github.com/repos/caiorss/Functional-Programming/languages,https://api.github.com/repos/caiorss/Functional-Programming/contributors
pablohpsilva,vuejs-component-style-guide,pablohpsilva/vuejs-component-style-guide,2168,"UberlÌ¢ndia, Minas Gerais, Brazil",br,,,281,https://api.github.com/users/pablohpsilva,https://api.github.com/repos/pablohpsilva/vuejs-component-style-guide/languages,https://api.github.com/repos/pablohpsilva/vuejs-component-style-guide/contributors
wbotelhos,raty,wbotelhos/raty,2144,SÌ£o Paulo - SP,br,"JavaScript,CSS,HTML",JavaScript,611,https://api.github.com/users/wbotelhos,https://api.github.com/repos/wbotelhos/raty/languages,https://api.github.com/repos/wbotelhos/raty/contributors
SSYGEN,blog,SSYGEN/blog,2109,Brazil,br,,,3,https://api.github.com/users/SSYGEN,https://api.github.com/repos/SSYGEN/blog/languages,https://api.github.com/repos/SSYGEN/blog/contributors
renatorib,react-powerplug,renatorib/react-powerplug,1998,"SÌ£o Paulo, Brazil",br,"JavaScript,TypeScript",JavaScript,282,https://api.github.com/users/renatorib,https://api.github.com/repos/renatorib/react-powerplug/languages,https://api.github.com/repos/renatorib/react-powerplug/contributors
gilbarbara,react-joyride,gilbarbara/react-joyride,1991,"SÌ£o Paulo, BR",br,JavaScript,JavaScript,695,https://api.github.com/users/gilbarbara,https://api.github.com/repos/gilbarbara/react-joyride/languages,https://api.github.com/repos/gilbarbara/react-joyride/contributors
melanke,Watch.JS,melanke/Watch.JS,1988,Brazil,br,"JavaScript,CSS,HTML",JavaScript,213,https://api.github.com/users/melanke,https://api.github.com/repos/melanke/Watch.JS/languages,https://api.github.com/repos/melanke/Watch.JS/contributors
gabrielrcouto,php-gui,gabrielrcouto/php-gui,1975,"Campinas, Brazil",br,"PHP,Pascal,Shell",PHP,258,https://api.github.com/users/gabrielrcouto,https://api.github.com/repos/gabrielrcouto/php-gui/languages,https://api.github.com/repos/gabrielrcouto/php-gui/contributors
diegohaz,arc,diegohaz/arc,1957,"Rio de Janeiro, Brazil",br,"JavaScript,HTML",JavaScript,439,https://api.github.com/users/diegohaz,https://api.github.com/repos/diegohaz/arc/languages,https://api.github.com/repos/diegohaz/arc/contributors
rochacbruno,quokka,rochacbruno/quokka,1921,"SÌ£o Paulo, Brazil",br,"Python,HTML,Makefile,Dockerfile",Python,212,https://api.github.com/users/rochacbruno,https://api.github.com/repos/rochacbruno/quokka/languages,https://api.github.com/repos/rochacbruno/quokka/contributors
luisvinicius167,ityped,luisvinicius167/ityped,1865,"Rio de Janeiro, Brazil",br,"JavaScript,HTML",JavaScript,95,https://api.github.com/users/luisvinicius167,https://api.github.com/repos/luisvinicius167/ityped/languages,https://api.github.com/repos/luisvinicius167/ityped/contributors
tallesl,Rich-Hickey-fanclub,tallesl/Rich-Hickey-fanclub,1806,"Belo Horizonte, Brazil",br,"HTML,Common Lisp,C#,Java,CSS",HTML,24,https://api.github.com/users/tallesl,https://api.github.com/repos/tallesl/Rich-Hickey-fanclub/languages,https://api.github.com/repos/tallesl/Rich-Hickey-fanclub/contributors
marcelgsantos,learning-oop-in-php,marcelgsantos/learning-oop-in-php,1803,SÌ£o Paulo | Brazil,br,,,27,https://api.github.com/users/marcelgsantos,https://api.github.com/repos/marcelgsantos/learning-oop-in-php/languages,https://api.github.com/repos/marcelgsantos/learning-oop-in-php/contributors
lerrua,remote-jobs-brazil,lerrua/remote-jobs-brazil,1778,"Belo Horizonte, Brazil",br,,,374,https://api.github.com/users/lerrua,https://api.github.com/repos/lerrua/remote-jobs-brazil/languages,https://api.github.com/repos/lerrua/remote-jobs-brazil/contributors
millermedeiros,js-signals,millermedeiros/js-signals,1744,"Belo Horizonte, Brazil",br,"JavaScript,CSS,Shell,Java",JavaScript,260,https://api.github.com/users/millermedeiros,https://api.github.com/repos/millermedeiros/js-signals/languages,https://api.github.com/repos/millermedeiros/js-signals/contributors
plataformatec,responders,plataformatec/responders,1695,"SÌ£o Paulo, Brazil",br,"Ruby,Logos,HTML",Ruby,412,https://api.github.com/users/plataformatec,https://api.github.com/repos/plataformatec/responders/languages,https://api.github.com/repos/plataformatec/responders/contributors
antonioribeiro,tracker,antonioribeiro/tracker,1666,"Rio de Janeiro, Brazil",br,"PHP,HTML",PHP,644,https://api.github.com/users/antonioribeiro,https://api.github.com/repos/antonioribeiro/tracker/languages,https://api.github.com/repos/antonioribeiro/tracker/contributors
mbenford,ngTagsInput,mbenford/ngTagsInput,1653,"Rio de Janeiro, Brazil",br,"JavaScript,HTML,CSS",JavaScript,578,https://api.github.com/users/mbenford,https://api.github.com/repos/mbenford/ngTagsInput/languages,https://api.github.com/repos/mbenford/ngTagsInput/contributors
haskellcamargo,gemidao-do-zap,haskellcamargo/gemidao-do-zap,1646,Joinville / SC - Brazil,br,"JavaScript,Shell",JavaScript,47,https://api.github.com/users/haskellcamargo,https://api.github.com/repos/haskellcamargo/gemidao-do-zap/languages,https://api.github.com/repos/haskellcamargo/gemidao-do-zap/contributors
wilsonfreitas,awesome-quant,wilsonfreitas/awesome-quant,1629,"SÌ£o Paulo, Brazil",br,,,71,https://api.github.com/users/wilsonfreitas,https://api.github.com/repos/wilsonfreitas/awesome-quant/languages,https://api.github.com/repos/wilsonfreitas/awesome-quant/contributors
raphamorim,react-tv,raphamorim/react-tv,1596,"Brazil, Rio de Janeiro ‹ÄÐ‹Ä©‹âü‹ÄÇ",br,"JavaScript,HTML",JavaScript,346,https://api.github.com/users/raphamorim,https://api.github.com/repos/raphamorim/react-tv/languages,https://api.github.com/repos/raphamorim/react-tv/contributors
