owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
nostra13,Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,16253,"Minsk, Belarus",by,Java,Java,1125,https://api.github.com/users/nostra13,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader/languages,https://api.github.com/repos/nostra13/Android-Universal-Image-Loader/contributors
akveo,ngx-admin,akveo/ngx-admin,12836,Minsk,by,"TypeScript,CSS,HTML,JavaScript",TypeScript,542,https://api.github.com/users/akveo,https://api.github.com/repos/akveo/ngx-admin/languages,https://api.github.com/repos/akveo/ngx-admin/contributors
akveo,blur-admin,akveo/blur-admin,9172,Minsk,by,"JavaScript,HTML,CSS",JavaScript,570,https://api.github.com/users/akveo,https://api.github.com/repos/akveo/blur-admin/languages,https://api.github.com/repos/akveo/blur-admin/contributors
quozd,awesome-dotnet,quozd/awesome-dotnet,7356,"Minsk, Belarus",by,,,1242,https://api.github.com/users/quozd,https://api.github.com/repos/quozd/awesome-dotnet/languages,https://api.github.com/repos/quozd/awesome-dotnet/contributors
epicmaxco,vuestic-admin,epicmaxco/vuestic-admin,4628,"Minsk, Belarus",by,"Vue,JavaScript,CSS,HTML,Dockerfile",Vue,1018,https://api.github.com/users/epicmaxco,https://api.github.com/repos/epicmaxco/vuestic-admin/languages,https://api.github.com/repos/epicmaxco/vuestic-admin/contributors
akveo,kittenTricks,akveo/kittenTricks,4036,Minsk,by,JavaScript,JavaScript,275,https://api.github.com/users/akveo,https://api.github.com/repos/akveo/kittenTricks/languages,https://api.github.com/repos/akveo/kittenTricks/contributors
dillidon,alerts-and-pickers,dillidon/alerts-and-pickers,2947,Belarus,by,Swift,Swift,27,https://api.github.com/users/dillidon,https://api.github.com/repos/dillidon/alerts-and-pickers/languages,https://api.github.com/repos/dillidon/alerts-and-pickers/contributors
akveo,react-native-ui-kitten,akveo/react-native-ui-kitten,2894,Minsk,by,JavaScript,JavaScript,444,https://api.github.com/users/akveo,https://api.github.com/repos/akveo/react-native-ui-kitten/languages,https://api.github.com/repos/akveo/react-native-ui-kitten/contributors
asaskevich,govalidator,asaskevich/govalidator,2803,Belarus,by,Go,Go,557,https://api.github.com/users/asaskevich,https://api.github.com/repos/asaskevich/govalidator/languages,https://api.github.com/repos/asaskevich/govalidator/contributors
bopoda,ace,bopoda/ace,2710,Minsk,by,"HTML,CSS",HTML,24,https://api.github.com/users/bopoda,https://api.github.com/repos/bopoda/ace/languages,https://api.github.com/repos/bopoda/ace/contributors
epicmaxco,epic-spinners,epicmaxco/epic-spinners,2368,"Minsk, Belarus",by,"Vue,HTML,JavaScript,CSS",Vue,78,https://api.github.com/users/epicmaxco,https://api.github.com/repos/epicmaxco/epic-spinners/languages,https://api.github.com/repos/epicmaxco/epic-spinners/contributors
akveo,nebular,akveo/nebular,1978,Minsk,by,"TypeScript,CSS,HTML,JavaScript,Shell",TypeScript,1572,https://api.github.com/users/akveo,https://api.github.com/repos/akveo/nebular/languages,https://api.github.com/repos/akveo/nebular/contributors
IvanVorobei,RequestPermission,IvanVorobei/RequestPermission,1880,"Belarus, Minsk",by,Swift,Swift,88,https://api.github.com/users/IvanVorobei,https://api.github.com/repos/IvanVorobei/RequestPermission/languages,https://api.github.com/repos/IvanVorobei/RequestPermission/contributors
flatlogic,awesome-bootstrap-checkbox,flatlogic/awesome-bootstrap-checkbox,1846,"Minsk, Belarus",by,CSS,CSS,206,https://api.github.com/users/flatlogic,https://api.github.com/repos/flatlogic/awesome-bootstrap-checkbox/languages,https://api.github.com/repos/flatlogic/awesome-bootstrap-checkbox/contributors
