owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
adam-p,markdown-here,adam-p/markdown-here,31339,"Toronto, Canada",ca,"JavaScript,CSS,HTML,Makefile",JavaScript,893,https://api.github.com/users/adam-p,https://api.github.com/repos/adam-p/markdown-here/languages,https://api.github.com/repos/adam-p/markdown-here/contributors
thedaviddias,Front-End-Checklist,thedaviddias/Front-End-Checklist,30009,"Toronto, Canada",ca,"JavaScript,CSS,HTML",JavaScript,745,https://api.github.com/users/thedaviddias,https://api.github.com/repos/thedaviddias/Front-End-Checklist/languages,https://api.github.com/repos/thedaviddias/Front-End-Checklist/contributors
k88hudson,git-flight-rules,k88hudson/git-flight-rules,20180,Toronto,ca,,,403,https://api.github.com/users/k88hudson,https://api.github.com/repos/k88hudson/git-flight-rules/languages,https://api.github.com/repos/k88hudson/git-flight-rules/contributors
numbbbbb,the-swift-programming-language-in-chinese,numbbbbb/the-swift-programming-language-in-chinese,18105,"Winnipeg, Canada",ca,"CSS,Python,HTML",CSS,2167,https://api.github.com/users/numbbbbb,https://api.github.com/repos/numbbbbb/the-swift-programming-language-in-chinese/languages,https://api.github.com/repos/numbbbbb/the-swift-programming-language-in-chinese/contributors
terryum,awesome-deep-learning-papers,terryum/awesome-deep-learning-papers,15879,"Waterloo, ON, Canada",ca,"TeX,Python",TeX,267,https://api.github.com/users/terryum,https://api.github.com/repos/terryum/awesome-deep-learning-papers/languages,https://api.github.com/repos/terryum/awesome-deep-learning-papers/contributors
syl20bnr,spacemacs,syl20bnr/spacemacs,15763,"Quebec City, Canada",ca,"Emacs Lisp,Python,Shell,TeX,Makefile,Ruby",Emacs Lisp,7530,https://api.github.com/users/syl20bnr,https://api.github.com/repos/syl20bnr/spacemacs/languages,https://api.github.com/repos/syl20bnr/spacemacs/contributors
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,15632,"Ottawa, Canada",ca,"Jupyter Notebook,Python,HTML,CSS,Shell",Jupyter Notebook,1081,https://api.github.com/users/CamDavidsonPilon,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/languages,https://api.github.com/repos/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers/contributors
parse-community,parse-server,parse-community/parse-server,15430,"MontrÌ©al, QC",ca,"JavaScript,HTML,Shell,SQLPL,Dockerfile",JavaScript,2344,https://api.github.com/users/parse-community,https://api.github.com/repos/parse-community/parse-server/languages,https://api.github.com/repos/parse-community/parse-server/contributors
gorhill,uBlock,gorhill/uBlock,13363,Canada / QuÌ©bec,ca,"JavaScript,CSS,HTML,Shell,Python",JavaScript,5984,https://api.github.com/users/gorhill,https://api.github.com/repos/gorhill/uBlock/languages,https://api.github.com/repos/gorhill/uBlock/contributors
PerfectlySoft,Perfect,PerfectlySoft/Perfect,13092,"Newmarket, Ontario, Canada",ca,Swift,Swift,888,https://api.github.com/users/PerfectlySoft,https://api.github.com/repos/PerfectlySoft/Perfect/languages,https://api.github.com/repos/PerfectlySoft/Perfect/contributors
tj,commander.js,tj/commander.js,12283,"Victoria, BC, Canada",ca,"JavaScript,TypeScript",JavaScript,698,https://api.github.com/users/tj,https://api.github.com/repos/tj/commander.js/languages,https://api.github.com/repos/tj/commander.js/contributors
tj,git-extras,tj/git-extras,11762,"Victoria, BC, Canada",ca,"Shell,Batchfile,Makefile",Shell,1368,https://api.github.com/users/tj,https://api.github.com/repos/tj/git-extras/languages,https://api.github.com/repos/tj/git-extras/contributors
dzenbot,DZNEmptyDataSet,dzenbot/DZNEmptyDataSet,10632,Vancouver,ca,"Objective-C,Shell,Swift,Ruby",Objective-C,548,https://api.github.com/users/dzenbot,https://api.github.com/repos/dzenbot/DZNEmptyDataSet/languages,https://api.github.com/repos/dzenbot/DZNEmptyDataSet/contributors
jaredreich,pell,jaredreich/pell,10316,"Alberta, Canada",ca,"JavaScript,HTML,CSS",JavaScript,71,https://api.github.com/users/jaredreich,https://api.github.com/repos/jaredreich/pell/languages,https://api.github.com/repos/jaredreich/pell/contributors
CosmicMind,Material,CosmicMind/Material,10227,Toronto,ca,"Swift,Objective-C,Ruby",Swift,2376,https://api.github.com/users/CosmicMind,https://api.github.com/repos/CosmicMind/Material/languages,https://api.github.com/repos/CosmicMind/Material/contributors
StevenBlack,hosts,StevenBlack/hosts,10090,"Kingston, Ontario, Canada",ca,"Python,Shell,Batchfile",Python,1595,https://api.github.com/users/StevenBlack,https://api.github.com/repos/StevenBlack/hosts/languages,https://api.github.com/repos/StevenBlack/hosts/contributors
tj,co,tj/co,10053,"Victoria, BC, Canada",ca,JavaScript,JavaScript,399,https://api.github.com/users/tj,https://api.github.com/repos/tj/co/languages,https://api.github.com/repos/tj/co/contributors
briannesbitt,Carbon,briannesbitt/Carbon,9874,"Ottawa, Canada",ca,PHP,PHP,1699,https://api.github.com/users/briannesbitt,https://api.github.com/repos/briannesbitt/Carbon/languages,https://api.github.com/repos/briannesbitt/Carbon/contributors
tj,n,tj/n,9753,"Victoria, BC, Canada",ca,"Shell,Makefile",Shell,540,https://api.github.com/users/tj,https://api.github.com/repos/tj/n/languages,https://api.github.com/repos/tj/n/contributors
feathersjs,feathers,feathersjs/feathers,9540,"Calgary, Vancouver, World",ca,"JavaScript,HTML",JavaScript,2347,https://api.github.com/users/feathersjs,https://api.github.com/repos/feathersjs/feathers/languages,https://api.github.com/repos/feathersjs/feathers/contributors
NodeBB,NodeBB,NodeBB/NodeBB,9103,"Toronto, ON",ca,"JavaScript,Smarty,CSS,HTML,Dockerfile,Batchfile",JavaScript,17176,https://api.github.com/users/NodeBB,https://api.github.com/repos/NodeBB/NodeBB/languages,https://api.github.com/repos/NodeBB/NodeBB/contributors
apenwarr,sshuttle,apenwarr/sshuttle,9000,Canada.  Sometimes.,ca,"Python,Shell",Python,514,https://api.github.com/users/apenwarr,https://api.github.com/repos/apenwarr/sshuttle/languages,https://api.github.com/repos/apenwarr/sshuttle/contributors
sdelements,lets-chat,sdelements/lets-chat,8977,Toronto,ca,"JavaScript,HTML,CSS",JavaScript,1585,https://api.github.com/users/sdelements,https://api.github.com/repos/sdelements/lets-chat/languages,https://api.github.com/repos/sdelements/lets-chat/contributors
plotly,plotly.js,plotly/plotly.js,8769,MontrÌ©al,ca,"JavaScript,CSS,GLSL,Shell,HTML",JavaScript,15903,https://api.github.com/users/plotly,https://api.github.com/repos/plotly/plotly.js/languages,https://api.github.com/repos/plotly/plotly.js/contributors
sirupsen,logrus,sirupsen/logrus,8248,"Ottawa, ON",ca,Go,Go,928,https://api.github.com/users/sirupsen,https://api.github.com/repos/sirupsen/logrus/languages,https://api.github.com/repos/sirupsen/logrus/contributors
spencermountain,compromise,spencermountain/compromise,8013,"Toronto, Canada",ca,"JavaScript,HTML,TypeScript",JavaScript,2899,https://api.github.com/users/spencermountain,https://api.github.com/repos/spencermountain/compromise/languages,https://api.github.com/repos/spencermountain/compromise/contributors
danialfarid,ng-file-upload,danialfarid/ng-file-upload,7933,Toronto,ca,"JavaScript,Shell,HTML,Batchfile",JavaScript,1258,https://api.github.com/users/danialfarid,https://api.github.com/repos/danialfarid/ng-file-upload/languages,https://api.github.com/repos/danialfarid/ng-file-upload/contributors
getinsomnia,insomnia,getinsomnia/insomnia,7735,"Victoria BC, Canada",ca,"JavaScript,CSS,Objective-C,PHP,Swift,Shell,Java,Python,Go,C,OCaml,Ruby,C#,Dockerfile,HTML,Smalltalk",JavaScript,1774,https://api.github.com/users/getinsomnia,https://api.github.com/repos/getinsomnia/insomnia/languages,https://api.github.com/repos/getinsomnia/insomnia/contributors
gabrielbull,react-desktop,gabrielbull/react-desktop,7723,"MontrÌ©al, Canada",ca,JavaScript,JavaScript,594,https://api.github.com/users/gabrielbull,https://api.github.com/repos/gabrielbull/react-desktop/languages,https://api.github.com/repos/gabrielbull/react-desktop/contributors
gizak,termui,gizak/termui,7710,"Toronto, Canada",ca,"Go,Python",Go,369,https://api.github.com/users/gizak,https://api.github.com/repos/gizak/termui/languages,https://api.github.com/repos/gizak/termui/contributors
amsul,pickadate.js,amsul/pickadate.js,7435,"Toronto, Canada",ca,"JavaScript,CSS,HTML",JavaScript,894,https://api.github.com/users/amsul,https://api.github.com/repos/amsul/pickadate.js/languages,https://api.github.com/repos/amsul/pickadate.js/contributors
thedaviddias,Front-End-Performance-Checklist,thedaviddias/Front-End-Performance-Checklist,7327,"Toronto, Canada",ca,,,241,https://api.github.com/users/thedaviddias,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/languages,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/contributors
senorprogrammer,wtf,senorprogrammer/wtf,6992,"Vancouver, BC",ca,"Go,Makefile",Go,1347,https://api.github.com/users/senorprogrammer,https://api.github.com/repos/senorprogrammer/wtf/languages,https://api.github.com/repos/senorprogrammer/wtf/contributors
krisk,Fuse,krisk/Fuse,6551,Toronto,ca,JavaScript,JavaScript,344,https://api.github.com/users/krisk,https://api.github.com/repos/krisk/Fuse/languages,https://api.github.com/repos/krisk/Fuse/contributors
jonas,tig,jonas/tig,6461,MontrÌ©al,ca,"C,Shell,M4,Makefile,C++,Objective-C",C,2605,https://api.github.com/users/jonas,https://api.github.com/repos/jonas/tig/languages,https://api.github.com/repos/jonas/tig/contributors
Jam3,math-as-code,Jam3/math-as-code,6304,Toronto Ontario,ca,,,203,https://api.github.com/users/Jam3,https://api.github.com/repos/Jam3/math-as-code/languages,https://api.github.com/repos/Jam3/math-as-code/contributors
jaredreich,notie,jaredreich/notie,5995,"Alberta, Canada",ca,"JavaScript,HTML,CSS",JavaScript,229,https://api.github.com/users/jaredreich,https://api.github.com/repos/jaredreich/notie/languages,https://api.github.com/repos/jaredreich/notie/contributors
botpress,botpress,botpress/botpress,5969,"QuÌ©bec, Canada",ca,"JavaScript,CSS,HTML,Shell",JavaScript,3269,https://api.github.com/users/botpress,https://api.github.com/repos/botpress/botpress/languages,https://api.github.com/repos/botpress/botpress/contributors
plotly,dash,plotly/dash,5835,MontrÌ©al,ca,"Python,JavaScript,CSS",Python,673,https://api.github.com/users/plotly,https://api.github.com/repos/plotly/dash/languages,https://api.github.com/repos/plotly/dash/contributors
adambard,learnxinyminutes-docs,adambard/learnxinyminutes-docs,5463,Canada,ca,"JavaScript,Java,Ruby,C++,C#,Go,Shell,CSS,Julia,Objective-C,Haskell,Perl 6,Clojure,C,Elixir,Kotlin,Lua,HTML,Common Lisp,TeX,Erlang,Matlab,F#,Perl,Brainfuck,D,Emacs Lisp,Groovy,Dart,LiveScript,CoffeeScript,Elm,Chapel,Hack,Makefile,Logtalk,Fortran,Haxe,Nix,Forth,Hy,OCaml,ColdFusion,Inform 7,Factor,CMake",JavaScript,6548,https://api.github.com/users/adambard,https://api.github.com/repos/adambard/learnxinyminutes-docs/languages,https://api.github.com/repos/adambard/learnxinyminutes-docs/contributors
trentm,node-bunyan,trentm/node-bunyan,5293,"Vancouver, Canada",ca,"JavaScript,Makefile",JavaScript,789,https://api.github.com/users/trentm,https://api.github.com/repos/trentm/node-bunyan/languages,https://api.github.com/repos/trentm/node-bunyan/contributors
AnthonyCalandra,modern-cpp-features,AnthonyCalandra/modern-cpp-features,5229,"Waterloo, Ontario, Canada",ca,,,80,https://api.github.com/users/AnthonyCalandra,https://api.github.com/repos/AnthonyCalandra/modern-cpp-features/languages,https://api.github.com/repos/AnthonyCalandra/modern-cpp-features/contributors
clauderic,react-sortable-hoc,clauderic/react-sortable-hoc,5212,"Montreal, Canada",ca,"JavaScript,CSS,HTML",JavaScript,390,https://api.github.com/users/clauderic,https://api.github.com/repos/clauderic/react-sortable-hoc/languages,https://api.github.com/repos/clauderic/react-sortable-hoc/contributors
garbles,why-did-you-update,garbles/why-did-you-update,5194,Vancouver,ca,JavaScript,JavaScript,45,https://api.github.com/users/garbles,https://api.github.com/repos/garbles/why-did-you-update/languages,https://api.github.com/repos/garbles/why-did-you-update/contributors
MagicStack,uvloop,MagicStack/uvloop,5074,"Toronto, Canada",ca,"Python,Shell,Makefile,C",Python,856,https://api.github.com/users/MagicStack,https://api.github.com/repos/MagicStack/uvloop/languages,https://api.github.com/repos/MagicStack/uvloop/contributors
samvermette,SVPullToRefresh,samvermette/SVPullToRefresh,4894,MontrÌ©al,ca,"Objective-C,Ruby",Objective-C,264,https://api.github.com/users/samvermette,https://api.github.com/repos/samvermette/SVPullToRefresh/languages,https://api.github.com/repos/samvermette/SVPullToRefresh/contributors
david-gpu,srez,david-gpu/srez,4852,"Toronto, Canada",ca,Python,Python,22,https://api.github.com/users/david-gpu,https://api.github.com/repos/david-gpu/srez/languages,https://api.github.com/repos/david-gpu/srez/contributors
