owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
danistefanovic,build-your-own-x,danistefanovic/build-your-own-x,37187,"St. Gallen, Switzerland",ch,,,368,https://api.github.com/users/danistefanovic,https://api.github.com/repos/danistefanovic/build-your-own-x/languages,https://api.github.com/repos/danistefanovic/build-your-own-x/contributors
Seldaek,monolog,Seldaek/monolog,11361,"ZÌ_rich, Zurich, Switzerland",ch,PHP,PHP,2070,https://api.github.com/users/Seldaek,https://api.github.com/repos/Seldaek/monolog/languages,https://api.github.com/repos/Seldaek/monolog/contributors
gionkunz,chartist-js,gionkunz/chartist-js,11014,"Zurich, Switzerland",ch,"JavaScript,CSS,HTML",JavaScript,944,https://api.github.com/users/gionkunz,https://api.github.com/repos/gionkunz/chartist-js/languages,https://api.github.com/repos/gionkunz/chartist-js/contributors
jwagner,smartcrop.js,jwagner/smartcrop.js,10607,"Zurich, Switzerland",ch,"JavaScript,HTML,Shell,Vim script",JavaScript,210,https://api.github.com/users/jwagner,https://api.github.com/repos/jwagner/smartcrop.js/languages,https://api.github.com/repos/jwagner/smartcrop.js/contributors
jgraph,drawio,jgraph/drawio,6823,England/Switzerland,ch,"JavaScript,Java,C#,HTML,CSS,C++,Cap'n Proto,Shell,Python,Makefile,Dockerfile,ASP",JavaScript,554,https://api.github.com/users/jgraph,https://api.github.com/repos/jgraph/drawio/languages,https://api.github.com/repos/jgraph/drawio/contributors
nst,iOS-Runtime-Headers,nst/iOS-Runtime-Headers,6701,Switzerland,ch,Objective-C,Objective-C,80,https://api.github.com/users/nst,https://api.github.com/repos/nst/iOS-Runtime-Headers/languages,https://api.github.com/repos/nst/iOS-Runtime-Headers/contributors
jantimon,html-webpack-plugin,jantimon/html-webpack-plugin,6264,Zurich,ch,"JavaScript,HTML",JavaScript,604,https://api.github.com/users/jantimon,https://api.github.com/repos/jantimon/html-webpack-plugin/languages,https://api.github.com/repos/jantimon/html-webpack-plugin/contributors
divio,django-cms,divio/django-cms,6110,Switzerland,ch,"Python,JavaScript,HTML,CSS,Shell",Python,15866,https://api.github.com/users/divio,https://api.github.com/repos/divio/django-cms/languages,https://api.github.com/repos/divio/django-cms/contributors
adrai,flowchart.js,adrai/flowchart.js,5150,"ZÌ_rich, Switzerland",ch,"JavaScript,HTML",JavaScript,268,https://api.github.com/users/adrai,https://api.github.com/repos/adrai/flowchart.js/languages,https://api.github.com/repos/adrai/flowchart.js/contributors
piskelapp,piskel,piskelapp/piskel,4482,"Lausanne, Switzerland",ch,"JavaScript,CSS,HTML,Batchfile,Shell",JavaScript,1895,https://api.github.com/users/piskelapp,https://api.github.com/repos/piskelapp/piskel/languages,https://api.github.com/repos/piskelapp/piskel/contributors
cgoldsby,LoginCritter,cgoldsby/LoginCritter,4387,"ZÌ_rich, Switzerland",ch,"Swift,Ruby",Swift,80,https://api.github.com/users/cgoldsby,https://api.github.com/repos/cgoldsby/LoginCritter/languages,https://api.github.com/repos/cgoldsby/LoginCritter/contributors
BafS,Gutenberg,BafS/Gutenberg,3906,Switzerland,ch,"CSS,JavaScript",CSS,54,https://api.github.com/users/BafS,https://api.github.com/repos/BafS/Gutenberg/languages,https://api.github.com/repos/BafS/Gutenberg/contributors
davidhalter,jedi-vim,davidhalter/jedi-vim,3583,Switzerland,ch,"Vim script,Python,Makefile",Vim script,896,https://api.github.com/users/davidhalter,https://api.github.com/repos/davidhalter/jedi-vim/languages,https://api.github.com/repos/davidhalter/jedi-vim/contributors
peterbraden,node-opencv,peterbraden/node-opencv,3506,ZÌ_rich,ch,"C++,JavaScript,Python,Makefile,Shell,Ruby,HTML",C++,1026,https://api.github.com/users/peterbraden,https://api.github.com/repos/peterbraden/node-opencv/languages,https://api.github.com/repos/peterbraden/node-opencv/contributors
davidhalter,jedi,davidhalter/jedi,3420,Switzerland,ch,"Python,Shell,C",Python,5935,https://api.github.com/users/davidhalter,https://api.github.com/repos/davidhalter/jedi/languages,https://api.github.com/repos/davidhalter/jedi/contributors
garnele007,SwiftOCR,garnele007/SwiftOCR,3372,"AG, Switzerland",ch,"Swift,Ruby,GLSL,Shell",Swift,251,https://api.github.com/users/garnele007,https://api.github.com/repos/garnele007/SwiftOCR/languages,https://api.github.com/repos/garnele007/SwiftOCR/contributors
stoeffel,awesome-fp-js,stoeffel/awesome-fp-js,3287,Zurich,ch,,,296,https://api.github.com/users/stoeffel,https://api.github.com/repos/stoeffel/awesome-fp-js/languages,https://api.github.com/repos/stoeffel/awesome-fp-js/contributors
lampepfl,dotty,lampepfl/dotty,2864,"Lausanne, Switzerland",ch,"Scala,Java,HTML,CSS,Shell,TypeScript,JavaScript",Scala,13195,https://api.github.com/users/lampepfl,https://api.github.com/repos/lampepfl/dotty/languages,https://api.github.com/repos/lampepfl/dotty/contributors
