owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,37557,"Tianjin, China",cn,JavaScript,JavaScript,951,https://api.github.com/users/justjavac,https://api.github.com/repos/justjavac/free-programming-books-zh_CN/languages,https://api.github.com/repos/justjavac/free-programming-books-zh_CN/contributors
CyC2018,CS-Notes,CyC2018/CS-Notes,32796,Guangzhou,cn,,,2049,https://api.github.com/users/CyC2018,https://api.github.com/repos/CyC2018/CS-Notes/languages,https://api.github.com/repos/CyC2018/CS-Notes/contributors
ElemeFE,element,ElemeFE/element,30084,Shanghai,cn,"Vue,JavaScript,CSS,Shell,Makefile",Vue,3780,https://api.github.com/users/ElemeFE,https://api.github.com/repos/ElemeFE/element/languages,https://api.github.com/repos/ElemeFE/element/contributors
FreeCodeCampChina,freecodecamp.cn,FreeCodeCampChina/freecodecamp.cn,28191,China,cn,"CSS,JavaScript,HTML",CSS,8943,https://api.github.com/users/FreeCodeCampChina,https://api.github.com/repos/FreeCodeCampChina/freecodecamp.cn/languages,https://api.github.com/repos/FreeCodeCampChina/freecodecamp.cn/contributors
Trinea,android-open-project,Trinea/android-open-project,27290,"HangZhou, China",cn,,,1050,https://api.github.com/users/Trinea,https://api.github.com/repos/Trinea/android-open-project/languages,https://api.github.com/repos/Trinea/android-open-project/contributors
astaxie,build-web-application-with-golang,astaxie/build-web-application-with-golang,24664,"Shanghai, China",cn,"Go,Groovy,Shell,Python",Go,5049,https://api.github.com/users/astaxie,https://api.github.com/repos/astaxie/build-web-application-with-golang/languages,https://api.github.com/repos/astaxie/build-web-application-with-golang/contributors
xingshaocheng,architect-awesome,xingshaocheng/architect-awesome,23751,Beijing,cn,,,332,https://api.github.com/users/xingshaocheng,https://api.github.com/repos/xingshaocheng/architect-awesome/languages,https://api.github.com/repos/xingshaocheng/architect-awesome/contributors
bailicangdu,vue2-elm,bailicangdu/vue2-elm,21611,"Shanghai, China",cn,"Vue,JavaScript,CSS,HTML",Vue,565,https://api.github.com/users/bailicangdu,https://api.github.com/repos/bailicangdu/vue2-elm/languages,https://api.github.com/repos/bailicangdu/vue2-elm/contributors
jaywcjlove,awesome-mac,jaywcjlove/awesome-mac,20505,"Shanghai, China",cn,"HTML,JavaScript",HTML,1250,https://api.github.com/users/jaywcjlove,https://api.github.com/repos/jaywcjlove/awesome-mac/languages,https://api.github.com/repos/jaywcjlove/awesome-mac/contributors
Bilibili,ijkplayer,Bilibili/ijkplayer,20215,"Shanghai, China",cn,"C,Objective-C,Java,Shell,C++,Makefile,Ruby",C,2684,https://api.github.com/users/Bilibili,https://api.github.com/repos/Bilibili/ijkplayer/languages,https://api.github.com/repos/Bilibili/ijkplayer/contributors
