owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
adobe,brackets,adobe/brackets,29149,"San Jose, CA",cr,"JavaScript,HTML,CSS,PHP,Shell,Ruby,Batchfile,Hack,Makefile,Clojure",JavaScript,17799,https://api.github.com/users/adobe,https://api.github.com/repos/adobe/brackets/languages,https://api.github.com/repos/adobe/brackets/contributors
adobe-fonts,source-code-pro,adobe-fonts/source-code-pro,13159,"San Jose, CA",cr,"Python,Shell,Batchfile",Python,452,https://api.github.com/users/adobe-fonts,https://api.github.com/repos/adobe-fonts/source-code-pro/languages,https://api.github.com/repos/adobe-fonts/source-code-pro/contributors
binux,pyspider,binux/pyspider,11838,"San Jose, US",cr,"Python,JavaScript,HTML,CSS,Lua",Python,1040,https://api.github.com/users/binux,https://api.github.com/repos/binux/pyspider/languages,https://api.github.com/repos/binux/pyspider/contributors
stefanpenner,es6-promise,stefanpenner/es6-promise,6045,"San Jose, CA",cr,"JavaScript,HTML",JavaScript,765,https://api.github.com/users/stefanpenner,https://api.github.com/repos/stefanpenner/es6-promise/languages,https://api.github.com/repos/stefanpenner/es6-promise/contributors
openebs,openebs,openebs/openebs,5312,"San Jose, CA",cr,Go,Go,2349,https://api.github.com/users/openebs,https://api.github.com/repos/openebs/openebs/languages,https://api.github.com/repos/openebs/openebs/contributors
aheckmann,gm,aheckmann/gm,5193,"San Jose, CA",cr,"JavaScript,Makefile",JavaScript,731,https://api.github.com/users/aheckmann,https://api.github.com/repos/aheckmann/gm/languages,https://api.github.com/repos/aheckmann/gm/contributors
paypal,downshift,paypal/downshift,5189,"San Jose, CA",cr,"JavaScript,TypeScript",JavaScript,513,https://api.github.com/users/paypal,https://api.github.com/repos/paypal/downshift/languages,https://api.github.com/repos/paypal/downshift/contributors
adobe-fonts,source-han-sans,adobe-fonts/source-han-sans,5093,"San Jose, CA",cr,"Objective-J,Scala,SuperCollider,Slash",Objective-J,23,https://api.github.com/users/adobe-fonts,https://api.github.com/repos/adobe-fonts/source-han-sans/languages,https://api.github.com/repos/adobe-fonts/source-han-sans/contributors
paypal,glamorous,paypal/glamorous,3684,"San Jose, CA",cr,"JavaScript,TypeScript",JavaScript,350,https://api.github.com/users/paypal,https://api.github.com/repos/paypal/glamorous/languages,https://api.github.com/repos/paypal/glamorous/contributors
goatslacker,alt,goatslacker/alt,3495,"San Jose, CA",cr,"JavaScript,HTML,Ruby,TypeScript,CSS",JavaScript,1386,https://api.github.com/users/goatslacker,https://api.github.com/repos/goatslacker/alt/languages,https://api.github.com/repos/goatslacker/alt/contributors
mahmoud,boltons,mahmoud/boltons,3241,"San Jose, CA",cr,Python,Python,1304,https://api.github.com/users/mahmoud,https://api.github.com/repos/mahmoud/boltons/languages,https://api.github.com/repos/mahmoud/boltons/contributors
adobe-fonts,source-han-serif,adobe-fonts/source-han-serif,3208,"San Jose, CA",cr,"Objective-J,Scala,SuperCollider",Objective-J,13,https://api.github.com/users/adobe-fonts,https://api.github.com/repos/adobe-fonts/source-han-serif/languages,https://api.github.com/repos/adobe-fonts/source-han-serif/contributors
toji,gl-matrix,toji/gl-matrix,2767,"San Jose, CA",cr,"JavaScript,HTML,CSS",JavaScript,581,https://api.github.com/users/toji,https://api.github.com/repos/toji/gl-matrix/languages,https://api.github.com/repos/toji/gl-matrix/contributors
adobe-fonts,source-sans-pro,adobe-fonts/source-sans-pro,2287,"San Jose, CA",cr,"Shell,Makefile,Batchfile",Shell,344,https://api.github.com/users/adobe-fonts,https://api.github.com/repos/adobe-fonts/source-sans-pro/languages,https://api.github.com/repos/adobe-fonts/source-sans-pro/contributors
soldair,node-qrcode,soldair/node-qrcode,2198,San Jose CA,cr,JavaScript,JavaScript,339,https://api.github.com/users/soldair,https://api.github.com/repos/soldair/node-qrcode/languages,https://api.github.com/repos/soldair/node-qrcode/contributors
huytd,agar.io-clone,huytd/agar.io-clone,2186,"San Jose, CA",cr,"JavaScript,CSS,HTML",JavaScript,810,https://api.github.com/users/huytd,https://api.github.com/repos/huytd/agar.io-clone/languages,https://api.github.com/repos/huytd/agar.io-clone/contributors
paypal,accessible-html5-video-player,paypal/accessible-html5-video-player,2121,"San Jose, CA",cr,"JavaScript,CSS,HTML",JavaScript,212,https://api.github.com/users/paypal,https://api.github.com/repos/paypal/accessible-html5-video-player/languages,https://api.github.com/repos/paypal/accessible-html5-video-player/contributors
binux,yaaw,binux/yaaw,1805,"San Jose, US",cr,"JavaScript,HTML,CSS",JavaScript,241,https://api.github.com/users/binux,https://api.github.com/repos/binux/yaaw/languages,https://api.github.com/repos/binux/yaaw/contributors
ben174,git-draw,ben174/git-draw,1747,"San Jose, California",cr,"JavaScript,CSS,Shell",JavaScript,25,https://api.github.com/users/ben174,https://api.github.com/repos/ben174/git-draw/languages,https://api.github.com/repos/ben174/git-draw/contributors
kohsuke,winsw,kohsuke/winsw,1745,"San Jose, California",cr,"C#,Shell",C#,474,https://api.github.com/users/kohsuke,https://api.github.com/repos/kohsuke/winsw/languages,https://api.github.com/repos/kohsuke/winsw/contributors
binux,qiandao,binux/qiandao,1597,"San Jose, US",cr,"JavaScript,Python,HTML,CoffeeScript,CSS",JavaScript,325,https://api.github.com/users/binux,https://api.github.com/repos/binux/qiandao/languages,https://api.github.com/repos/binux/qiandao/contributors
