owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
coells,100days,coells/100days,5770,"Prague, Czech Republic",cz,Jupyter Notebook,Jupyter Notebook,212,https://api.github.com/users/coells,https://api.github.com/repos/coells/100days/languages,https://api.github.com/repos/coells/100days/contributors
jnv,lists,jnv/lists,5177,Czech Republic,cz,,,817,https://api.github.com/users/jnv,https://api.github.com/repos/jnv/lists/languages,https://api.github.com/repos/jnv/lists/contributors
fikovnik,ShiftIt,fikovnik/ShiftIt,4386,Czech Republic,cz,"Objective-C,HTML",Objective-C,502,https://api.github.com/users/fikovnik,https://api.github.com/repos/fikovnik/ShiftIt/languages,https://api.github.com/repos/fikovnik/ShiftIt/contributors
avast-tl,retdec,avast-tl/retdec,4082,Czech Republic,cz,"C++,Python,CMake,C,Shell,Dockerfile,Makefile",C++,820,https://api.github.com/users/avast-tl,https://api.github.com/repos/avast-tl/retdec/languages,https://api.github.com/repos/avast-tl/retdec/contributors
giampaolo,psutil,giampaolo/psutil,3971,"Prague, Czech Republic",cz,"Python,C,Makefile,Batchfile,PowerShell,Shell,C++",Python,5002,https://api.github.com/users/giampaolo,https://api.github.com/repos/giampaolo/psutil/languages,https://api.github.com/repos/giampaolo/psutil/contributors
avast,android-butterknife-zelezny,avast/android-butterknife-zelezny,3347,Czech Republic,cz,Java,Java,84,https://api.github.com/users/avast,https://api.github.com/repos/avast/android-butterknife-zelezny/languages,https://api.github.com/repos/avast/android-butterknife-zelezny/contributors
jankotek,mapdb,jankotek/mapdb,3255,"Prague, Czech Republic",cz,"Java,Kotlin",Java,2218,https://api.github.com/users/jankotek,https://api.github.com/repos/jankotek/mapdb/languages,https://api.github.com/repos/jankotek/mapdb/contributors
clientIO,joint,clientIO/joint,2599,"Prague, The Czech Republic",cz,"JavaScript,HTML,CSS,Shell,Makefile",JavaScript,1041,https://api.github.com/users/clientIO,https://api.github.com/repos/clientIO/joint/languages,https://api.github.com/repos/clientIO/joint/contributors
KeenSoftwareHouse,SpaceEngineers,KeenSoftwareHouse/SpaceEngineers,2516,"Czech Republic, Prague",cz,"C#,HLSL,C++,Batchfile,Smalltalk",C#,502,https://api.github.com/users/KeenSoftwareHouse,https://api.github.com/repos/KeenSoftwareHouse/SpaceEngineers/languages,https://api.github.com/repos/KeenSoftwareHouse/SpaceEngineers/contributors
pksunkara,alpaca,pksunkara/alpaca,2379,Prague,cz,"Go,PHP,Python,Ruby,JavaScript,Makefile",Go,288,https://api.github.com/users/pksunkara,https://api.github.com/repos/pksunkara/alpaca/languages,https://api.github.com/repos/pksunkara/alpaca/contributors
elendirx,web2web,elendirx/web2web,2283,Prague,cz,HTML,HTML,18,https://api.github.com/users/elendirx,https://api.github.com/repos/elendirx/web2web/languages,https://api.github.com/repos/elendirx/web2web/contributors
madebysource,lesshat,madebysource/lesshat,2260,"Prague, Czech Republic",cz,"JavaScript,CSS",JavaScript,297,https://api.github.com/users/madebysource,https://api.github.com/repos/madebysource/lesshat/languages,https://api.github.com/repos/madebysource/lesshat/contributors
avast,android-styled-dialogs,avast/android-styled-dialogs,2157,Czech Republic,cz,Java,Java,372,https://api.github.com/users/avast,https://api.github.com/repos/avast/android-styled-dialogs/languages,https://api.github.com/repos/avast/android-styled-dialogs/contributors
zk00006,OpenTLD,zk00006/OpenTLD,2001,Czech Republic,cz,"Matlab,C++,M,Objective-C,C",Matlab,15,https://api.github.com/users/zk00006,https://api.github.com/repos/zk00006/OpenTLD/languages,https://api.github.com/repos/zk00006/OpenTLD/contributors
ondras,my-mind,ondras/my-mind,1948,Prague,cz,"JavaScript,HTML,CSS,Makefile,PHP",JavaScript,353,https://api.github.com/users/ondras,https://api.github.com/repos/ondras/my-mind/languages,https://api.github.com/repos/ondras/my-mind/contributors
catalinmiron,react-native-dribbble-app,catalinmiron/react-native-dribbble-app,1908,"Prague, CZ",cz,"JavaScript,Objective-C,Java",JavaScript,65,https://api.github.com/users/catalinmiron,https://api.github.com/repos/catalinmiron/react-native-dribbble-app/languages,https://api.github.com/repos/catalinmiron/react-native-dribbble-app/contributors
karmi,retire,karmi/retire,1907,"Prague, Czech Republic",cz,Ruby,Ruby,1036,https://api.github.com/users/karmi,https://api.github.com/repos/karmi/retire/languages,https://api.github.com/repos/karmi/retire/contributors
lapism,SearchBar-SearchView,lapism/SearchBar-SearchView,1876,"Prague, Czech Republic",cz,Java,Java,846,https://api.github.com/users/lapism,https://api.github.com/repos/lapism/SearchBar-SearchView/languages,https://api.github.com/repos/lapism/SearchBar-SearchView/contributors
mosra,magnum,mosra/magnum,1872,"Prague, Czech Republic",cz,"C++,C,CMake,GLSL,Shell,Objective-C,Batchfile,Objective-C++,JavaScript,Makefile,Ruby,HTML,CSS",C++,6269,https://api.github.com/users/mosra,https://api.github.com/repos/mosra/magnum/languages,https://api.github.com/repos/mosra/magnum/contributors
ApiGen,ApiGen,ApiGen/ApiGen,1790,"Prague, Czech Republic",cz,"PHP,HTML,CSS,JavaScript",PHP,3504,https://api.github.com/users/ApiGen,https://api.github.com/repos/ApiGen/ApiGen/languages,https://api.github.com/repos/ApiGen/ApiGen/contributors
inmite,android-selector-chapek,inmite/android-selector-chapek,1617,Prague,cz,Java,Java,13,https://api.github.com/users/inmite,https://api.github.com/repos/inmite/android-selector-chapek/languages,https://api.github.com/repos/inmite/android-selector-chapek/contributors
