owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
kamranahmedse,developer-roadmap,kamranahmedse/developer-roadmap,55563,"Berlin, Germany",de,,,250,https://api.github.com/users/kamranahmedse,https://api.github.com/repos/kamranahmedse/developer-roadmap/languages,https://api.github.com/repos/kamranahmedse/developer-roadmap/contributors
mtdvio,every-programmer-should-know,mtdvio/every-programmer-should-know,34646,Berlin,de,,,300,https://api.github.com/users/mtdvio,https://api.github.com/repos/mtdvio/every-programmer-should-know/languages,https://api.github.com/repos/mtdvio/every-programmer-should-know/contributors
blueimp,jQuery-File-Upload,blueimp/jQuery-File-Upload,29099,"Freiburg, Germany",de,"JavaScript,HTML,PHP,Go,Python,CSS",JavaScript,1154,https://api.github.com/users/blueimp,https://api.github.com/repos/blueimp/jQuery-File-Upload/languages,https://api.github.com/repos/blueimp/jQuery-File-Upload/contributors
dypsilon,frontend-dev-bookmarks,dypsilon/frontend-dev-bookmarks,24668,"Germany, Stuttgart",de,,,490,https://api.github.com/users/dypsilon,https://api.github.com/repos/dypsilon/frontend-dev-bookmarks/languages,https://api.github.com/repos/dypsilon/frontend-dev-bookmarks/contributors
kamranahmedse,design-patterns-for-humans,kamranahmedse/design-patterns-for-humans,21901,"Berlin, Germany",de,,,229,https://api.github.com/users/kamranahmedse,https://api.github.com/repos/kamranahmedse/design-patterns-for-humans/languages,https://api.github.com/repos/kamranahmedse/design-patterns-for-humans/contributors
mathiasbynens,dotfiles,mathiasbynens/dotfiles,19783,Germany,de,"Shell,Vim script,GDB",Shell,834,https://api.github.com/users/mathiasbynens,https://api.github.com/repos/mathiasbynens/dotfiles/languages,https://api.github.com/repos/mathiasbynens/dotfiles/contributors
herrbischoff,awesome-macos-command-line,herrbischoff/awesome-macos-command-line,19600,"Hamburg, Germany, Earth (Sol)",de,,,547,https://api.github.com/users/herrbischoff,https://api.github.com/repos/herrbischoff/awesome-macos-command-line/languages,https://api.github.com/repos/herrbischoff/awesome-macos-command-line/contributors
Prinzhorn,skrollr,Prinzhorn/skrollr,18046,Germany,de,"HTML,JavaScript,CSS",HTML,706,https://api.github.com/users/Prinzhorn,https://api.github.com/repos/Prinzhorn/skrollr/languages,https://api.github.com/repos/Prinzhorn/skrollr/contributors
akullpp,awesome-java,akullpp/awesome-java,17709,"Karlsruhe, Germany",de,,,1414,https://api.github.com/users/akullpp,https://api.github.com/repos/akullpp/awesome-java/languages,https://api.github.com/repos/akullpp/awesome-java/contributors
domnikl,DesignPatternsPHP,domnikl/DesignPatternsPHP,15730,Germany,de,"PHP,Python,Makefile,Batchfile,Shell",PHP,1013,https://api.github.com/users/domnikl,https://api.github.com/repos/domnikl/DesignPatternsPHP/languages,https://api.github.com/repos/domnikl/DesignPatternsPHP/contributors
janl,mustache.js,janl/mustache.js,12343,"Berlin, Germany",de,"JavaScript,HTML,Ruby,Shell",JavaScript,820,https://api.github.com/users/janl,https://api.github.com/repos/janl/mustache.js/languages,https://api.github.com/repos/janl/mustache.js/contributors
android10,Android-CleanArchitecture,android10/Android-CleanArchitecture,12285,"Berlin, Germany",de,Java,Java,343,https://api.github.com/users/android10,https://api.github.com/repos/android10/Android-CleanArchitecture/languages,https://api.github.com/repos/android10/Android-CleanArchitecture/contributors
sebastianbergmann,phpunit,sebastianbergmann/phpunit,11009,"Siegburg, Germany",de,PHP,PHP,10883,https://api.github.com/users/sebastianbergmann,https://api.github.com/repos/sebastianbergmann/phpunit/languages,https://api.github.com/repos/sebastianbergmann/phpunit/contributors
vurtun,nuklear,vurtun/nuklear,10678,Germany,de,"C,Python,Makefile,Shell",C,1709,https://api.github.com/users/vurtun,https://api.github.com/repos/vurtun/nuklear/languages,https://api.github.com/repos/vurtun/nuklear/contributors
phanan,htaccess,phanan/htaccess,10599,Munich,de,,,254,https://api.github.com/users/phanan,https://api.github.com/repos/phanan/htaccess/languages,https://api.github.com/repos/phanan/htaccess/contributors
nlohmann,json,nlohmann/json,10588,"Berlin, Germany",de,"C++,Makefile,CMake,HTML,Meson",C++,2763,https://api.github.com/users/nlohmann,https://api.github.com/repos/nlohmann/json/languages,https://api.github.com/repos/nlohmann/json/contributors
salomonelli,best-resume-ever,salomonelli/best-resume-ever,10569,"Stuttgart, Germany",de,"Vue,JavaScript,HTML",Vue,692,https://api.github.com/users/salomonelli,https://api.github.com/repos/salomonelli/best-resume-ever/languages,https://api.github.com/repos/salomonelli/best-resume-ever/contributors
explosion,spaCy,explosion/spaCy,10445,"Berlin, Germany",de,"Python,HTML,C++,C,CSS,JavaScript,Shell",Python,8839,https://api.github.com/users/explosion,https://api.github.com/repos/explosion/spaCy/languages,https://api.github.com/repos/explosion/spaCy/contributors
hdodenhof,CircleImageView,hdodenhof/CircleImageView,10388,"Hamburg, Germany",de,Java,Java,223,https://api.github.com/users/hdodenhof,https://api.github.com/repos/hdodenhof/CircleImageView/languages,https://api.github.com/repos/hdodenhof/CircleImageView/contributors
winterbe,java8-tutorial,winterbe/java8-tutorial,9827,"Hanover, Germany",de,"Java,JavaScript",Java,245,https://api.github.com/users/winterbe,https://api.github.com/repos/winterbe/java8-tutorial/languages,https://api.github.com/repos/winterbe/java8-tutorial/contributors
phanan,koel,phanan/koel,9380,Munich,de,"PHP,HTML,JavaScript",PHP,1439,https://api.github.com/users/phanan,https://api.github.com/repos/phanan/koel/languages,https://api.github.com/repos/phanan/koel/contributors
aFarkas,html5shiv,aFarkas/html5shiv,9082,Berlin,de,"JavaScript,HTML,CSS",JavaScript,374,https://api.github.com/users/aFarkas,https://api.github.com/repos/aFarkas/html5shiv/languages,https://api.github.com/repos/aFarkas/html5shiv/contributors
aFarkas,lazysizes,aFarkas/lazysizes,8956,Berlin,de,"JavaScript,HTML,CSS",JavaScript,763,https://api.github.com/users/aFarkas,https://api.github.com/repos/aFarkas/lazysizes/languages,https://api.github.com/repos/aFarkas/lazysizes/contributors
kamranahmedse,driver.js,kamranahmedse/driver.js,8651,"Berlin, Germany",de,"JavaScript,HTML,CSS",JavaScript,340,https://api.github.com/users/kamranahmedse,https://api.github.com/repos/kamranahmedse/driver.js/languages,https://api.github.com/repos/kamranahmedse/driver.js/contributors
carhartl,jquery-cookie,carhartl/jquery-cookie,8547,"Berlin, Germany",de,"JavaScript,HTML",JavaScript,337,https://api.github.com/users/carhartl,https://api.github.com/repos/carhartl/jquery-cookie/languages,https://api.github.com/repos/carhartl/jquery-cookie/contributors
h4cc,awesome-elixir,h4cc/awesome-elixir,8360,"Hamburg, Germany",de,Elixir,Elixir,1884,https://api.github.com/users/h4cc,https://api.github.com/repos/h4cc/awesome-elixir/languages,https://api.github.com/repos/h4cc/awesome-elixir/contributors
moklick,frontend-stuff,moklick/frontend-stuff,8178,Berlin,de,,,532,https://api.github.com/users/moklick,https://api.github.com/repos/moklick/frontend-stuff/languages,https://api.github.com/repos/moklick/frontend-stuff/contributors
CRYTEK,CRYENGINE,CRYTEK/CRYENGINE,8162,"Frankfurt am Main, Germany",de,"C++,C,CMake,Python,JavaScript,C#,Objective-C,Tcl,HTML,Java,Lua,Vim script,Batchfile,Shell,Objective-C++,Emacs Lisp,Makefile,CSS,Perl,M4,Fortran,HLSL",C++,3017,https://api.github.com/users/CRYTEK,https://api.github.com/repos/CRYTEK/CRYENGINE/languages,https://api.github.com/repos/CRYTEK/CRYENGINE/contributors
Intervention,image,Intervention/image,7696,"Kiel, Germany",de,PHP,PHP,703,https://api.github.com/users/Intervention,https://api.github.com/repos/Intervention/image/languages,https://api.github.com/repos/Intervention/image/contributors
julienschmidt,httprouter,julienschmidt/httprouter,7608,"Munich, Germany",de,Go,Go,307,https://api.github.com/users/julienschmidt,https://api.github.com/repos/julienschmidt/httprouter/languages,https://api.github.com/repos/julienschmidt/httprouter/contributors
nikic,PHP-Parser,nikic/PHP-Parser,7315,"Berlin, Germany",de,"PHP,Yacc,Shell",PHP,1232,https://api.github.com/users/nikic,https://api.github.com/repos/nikic/PHP-Parser/languages,https://api.github.com/repos/nikic/PHP-Parser/contributors
ory,editor,ory/editor,6960,Germany,de,"JavaScript,CSS,Shell",JavaScript,462,https://api.github.com/users/ory,https://api.github.com/repos/ory/editor/languages,https://api.github.com/repos/ory/editor/contributors
travis-ci,travis-ci,travis-ci/travis-ci,6940,"Berlin, Germany",de,,,3724,https://api.github.com/users/travis-ci,https://api.github.com/repos/travis-ci/travis-ci/languages,https://api.github.com/repos/travis-ci/travis-ci/contributors
aksakalli,gtop,aksakalli/gtop,6915,"Berlin, Germany",de,JavaScript,JavaScript,31,https://api.github.com/users/aksakalli,https://api.github.com/repos/aksakalli/gtop/languages,https://api.github.com/repos/aksakalli/gtop/contributors
pubkey,rxdb,pubkey/rxdb,6876,"Stuttgart, Germany",de,"JavaScript,HTML,TypeScript",JavaScript,2212,https://api.github.com/users/pubkey,https://api.github.com/repos/pubkey/rxdb/languages,https://api.github.com/repos/pubkey/rxdb/contributors
twostairs,paperwork,twostairs/paperwork,6572,"Berlin, Germany",de,Dockerfile,Dockerfile,1448,https://api.github.com/users/twostairs,https://api.github.com/repos/twostairs/paperwork/languages,https://api.github.com/repos/twostairs/paperwork/contributors
onurakpolat,awesome-bigdata,onurakpolat/awesome-bigdata,6461,Berlin,de,,,520,https://api.github.com/users/onurakpolat,https://api.github.com/repos/onurakpolat/awesome-bigdata/languages,https://api.github.com/repos/onurakpolat/awesome-bigdata/contributors
sharkdp,fd,sharkdp/fd,6130,"Stuttgart, Germany",de,"Rust,Shell",Rust,459,https://api.github.com/users/sharkdp,https://api.github.com/repos/sharkdp/fd/languages,https://api.github.com/repos/sharkdp/fd/contributors
JStumpp,awesome-android,JStumpp/awesome-android,5810,"Karlsruhe, Germany",de,,,607,https://api.github.com/users/JStumpp,https://api.github.com/repos/JStumpp/awesome-android/languages,https://api.github.com/repos/JStumpp/awesome-android/contributors
bjorn,tiled,bjorn/tiled,5637,Germany,de,"C++,XSLT,Java,Python,QML,QMake,C,Objective-C++",C++,3911,https://api.github.com/users/bjorn,https://api.github.com/repos/bjorn/tiled/languages,https://api.github.com/repos/bjorn/tiled/contributors
gka,chroma.js,gka/chroma.js,5506,Berlin,de,"CoffeeScript,JavaScript,HTML",CoffeeScript,474,https://api.github.com/users/gka,https://api.github.com/repos/gka/chroma.js/languages,https://api.github.com/repos/gka/chroma.js/contributors
schneiderandre,popping,schneiderandre/popping,5486,Germany,de,"Objective-C,Ruby",Objective-C,244,https://api.github.com/users/schneiderandre,https://api.github.com/repos/schneiderandre/popping/languages,https://api.github.com/repos/schneiderandre/popping/contributors
schachmat,wego,schachmat/wego,5416,Munich,de,Go,Go,242,https://api.github.com/users/schachmat,https://api.github.com/repos/schachmat/wego/languages,https://api.github.com/repos/schachmat/wego/contributors
medialize,URI.js,medialize/URI.js,5412,Germany,de,"JavaScript,HTML,CSS,PHP",JavaScript,750,https://api.github.com/users/medialize,https://api.github.com/repos/medialize/URI.js/languages,https://api.github.com/repos/medialize/URI.js/contributors
styleguidist,react-styleguidist,styleguidist/react-styleguidist,5411,"Berlin, Germany",de,JavaScript,JavaScript,1737,https://api.github.com/users/styleguidist,https://api.github.com/repos/styleguidist/react-styleguidist/languages,https://api.github.com/repos/styleguidist/react-styleguidist/contributors
tgalal,yowsup,tgalal/yowsup,5378,"Berlin, Germany",de,Python,Python,1184,https://api.github.com/users/tgalal,https://api.github.com/repos/tgalal/yowsup/languages,https://api.github.com/repos/tgalal/yowsup/contributors
kamranahmedse,git-standup,kamranahmedse/git-standup,5352,"Berlin, Germany",de,"Shell,Makefile",Shell,224,https://api.github.com/users/kamranahmedse,https://api.github.com/repos/kamranahmedse/git-standup/languages,https://api.github.com/repos/kamranahmedse/git-standup/contributors
amlcurran,ShowcaseView,amlcurran/ShowcaseView,5349,Berlin,de,Java,Java,596,https://api.github.com/users/amlcurran,https://api.github.com/repos/amlcurran/ShowcaseView/languages,https://api.github.com/repos/amlcurran/ShowcaseView/contributors
autumnai,leaf,autumnai/leaf,5311,Berlin,de,"Rust,Cap'n Proto,Shell",Rust,264,https://api.github.com/users/autumnai,https://api.github.com/repos/autumnai/leaf/languages,https://api.github.com/repos/autumnai/leaf/contributors
timgrossmann,InstaPy,timgrossmann/InstaPy,5286,"Stuttgart, Germany",de,"Python,Dockerfile,Shell,PowerShell",Python,1530,https://api.github.com/users/timgrossmann,https://api.github.com/repos/timgrossmann/InstaPy/languages,https://api.github.com/repos/timgrossmann/InstaPy/contributors
rse,es6-features,rse/es6-features,5104,Germany,de,"HTML,CSS,JavaScript,Makefile,Shell",HTML,464,https://api.github.com/users/rse,https://api.github.com/repos/rse/es6-features/languages,https://api.github.com/repos/rse/es6-features/contributors
brix,crypto-js,brix/crypto-js,4917,"Berlin, Germany",de,"JavaScript,HTML",JavaScript,92,https://api.github.com/users/brix,https://api.github.com/repos/brix/crypto-js/languages,https://api.github.com/repos/brix/crypto-js/contributors
sockeqwe,mosby,sockeqwe/mosby,4783,Munich,de,"Java,Shell",Java,686,https://api.github.com/users/sockeqwe,https://api.github.com/repos/sockeqwe/mosby/languages,https://api.github.com/repos/sockeqwe/mosby/contributors
dcodeIO,protobuf.js,dcodeIO/protobuf.js,4718,The web / Germany,de,"JavaScript,TypeScript",JavaScript,765,https://api.github.com/users/dcodeIO,https://api.github.com/repos/dcodeIO/protobuf.js/languages,https://api.github.com/repos/dcodeIO/protobuf.js/contributors
ory,hydra,ory/hydra,4656,Germany,de,"Go,Shell,Dockerfile",Go,1218,https://api.github.com/users/ory,https://api.github.com/repos/ory/hydra/languages,https://api.github.com/repos/ory/hydra/contributors
felixge,node-formidable,felixge/node-formidable,4546,"Berlin, Germany",de,"JavaScript,HTML",JavaScript,534,https://api.github.com/users/felixge,https://api.github.com/repos/felixge/node-formidable/languages,https://api.github.com/repos/felixge/node-formidable/contributors
electerious,Lychee,electerious/Lychee,4459,Germany,de,"PHP,JavaScript,HTML,CSS",PHP,1692,https://api.github.com/users/electerious,https://api.github.com/repos/electerious/Lychee/languages,https://api.github.com/repos/electerious/Lychee/contributors
Graylog2,graylog2-server,Graylog2/graylog2-server,4400,"Houston, TX & Germany",de,"Java,JavaScript,CSS,TypeScript,ANTLR,Shell,Ruby",Java,14242,https://api.github.com/users/Graylog2,https://api.github.com/repos/Graylog2/graylog2-server/languages,https://api.github.com/repos/Graylog2/graylog2-server/contributors
felixge,node-style-guide,felixge/node-style-guide,4400,"Berlin, Germany",de,JavaScript,JavaScript,80,https://api.github.com/users/felixge,https://api.github.com/repos/felixge/node-style-guide/languages,https://api.github.com/repos/felixge/node-style-guide/contributors
kay-is,react-from-zero,kay-is/react-from-zero,4393,"Stuttgart, Germany",de,HTML,HTML,38,https://api.github.com/users/kay-is,https://api.github.com/repos/kay-is/react-from-zero/languages,https://api.github.com/repos/kay-is/react-from-zero/contributors
magicmonty,bash-git-prompt,magicmonty/bash-git-prompt,4224,"Darmstadt, Germany",de,"Shell,Python,Ruby",Shell,684,https://api.github.com/users/magicmonty,https://api.github.com/repos/magicmonty/bash-git-prompt/languages,https://api.github.com/repos/magicmonty/bash-git-prompt/contributors
sebastianbergmann,php-code-coverage,sebastianbergmann/php-code-coverage,4157,"Siegburg, Germany",de,"PHP,HTML,CSS,JavaScript",PHP,1664,https://api.github.com/users/sebastianbergmann,https://api.github.com/repos/sebastianbergmann/php-code-coverage/languages,https://api.github.com/repos/sebastianbergmann/php-code-coverage/contributors
mathiasbynens,jquery-placeholder,mathiasbynens/jquery-placeholder,4141,Germany,de,"JavaScript,HTML",JavaScript,264,https://api.github.com/users/mathiasbynens,https://api.github.com/repos/mathiasbynens/jquery-placeholder/languages,https://api.github.com/repos/mathiasbynens/jquery-placeholder/contributors
janhuenermann,neurojs,janhuenermann/neurojs,4130,"Munich, Germany",de,JavaScript,JavaScript,34,https://api.github.com/users/janhuenermann,https://api.github.com/repos/janhuenermann/neurojs/languages,https://api.github.com/repos/janhuenermann/neurojs/contributors
