owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
kahun,awesome-sysadmin,kahun/awesome-sysadmin,17530,Madrid,es,,,615,https://api.github.com/users/kahun,https://api.github.com/repos/kahun/awesome-sysadmin/languages,https://api.github.com/repos/kahun/awesome-sysadmin/contributors
amix,vimrc,amix/vimrc,14484,The World (Barcelona now),es,"Vim script,Go,Ruby,Shell,Python,CoffeeScript,Makefile,Dockerfile,HTML",Vim script,424,https://api.github.com/users/amix,https://api.github.com/repos/amix/vimrc/languages,https://api.github.com/repos/amix/vimrc/contributors
erikras,react-redux-universal-hot-example,erikras/react-redux-universal-hot-example,11384,Spain,es,"JavaScript,CSS",JavaScript,1070,https://api.github.com/users/erikras,https://api.github.com/repos/erikras/react-redux-universal-hot-example/languages,https://api.github.com/repos/erikras/react-redux-universal-hot-example/contributors
erikras,redux-form,erikras/redux-form,10370,Spain,es,"JavaScript,Shell",JavaScript,1939,https://api.github.com/users/erikras,https://api.github.com/repos/erikras/redux-form/languages,https://api.github.com/repos/erikras/redux-form/contributors
markets,awesome-ruby,markets/awesome-ruby,9081,Barcelona,es,,,1302,https://api.github.com/users/markets,https://api.github.com/repos/markets/awesome-ruby/languages,https://api.github.com/repos/markets/awesome-ruby/contributors
react-toolbox,react-toolbox,react-toolbox/react-toolbox,8103,Barcelona,es,"JavaScript,CSS,TypeScript,HTML",JavaScript,2419,https://api.github.com/users/react-toolbox,https://api.github.com/repos/react-toolbox/react-toolbox/languages,https://api.github.com/repos/react-toolbox/react-toolbox/contributors
Nyr,openvpn-install,Nyr/openvpn-install,7606,Spain,es,Shell,Shell,220,https://api.github.com/users/Nyr,https://api.github.com/repos/Nyr/openvpn-install/languages,https://api.github.com/repos/Nyr/openvpn-install/contributors
svgdotjs,svg.js,svgdotjs/svg.js,6202,Spain,es,"JavaScript,HTML",JavaScript,1132,https://api.github.com/users/svgdotjs,https://api.github.com/repos/svgdotjs/svg.js/languages,https://api.github.com/repos/svgdotjs/svg.js/contributors
squeaky-pl,japronto,squeaky-pl/japronto,6191,Spain,es,"C,Python,Shell,Lua,Go,JavaScript",C,814,https://api.github.com/users/squeaky-pl,https://api.github.com/repos/squeaky-pl/japronto/languages,https://api.github.com/repos/squeaky-pl/japronto/contributors
erikras,ducks-modular-redux,erikras/ducks-modular-redux,6135,Spain,es,JavaScript,JavaScript,38,https://api.github.com/users/erikras,https://api.github.com/repos/erikras/ducks-modular-redux/languages,https://api.github.com/repos/erikras/ducks-modular-redux/contributors
pedrovgs,EffectiveAndroidUI,pedrovgs/EffectiveAndroidUI,5740,Madrid,es,Java,Java,253,https://api.github.com/users/pedrovgs,https://api.github.com/repos/pedrovgs/EffectiveAndroidUI/languages,https://api.github.com/repos/pedrovgs/EffectiveAndroidUI/contributors
Juanpe,SkeletonView,Juanpe/SkeletonView,5551,Madrid,es,Swift,Swift,303,https://api.github.com/users/Juanpe,https://api.github.com/repos/Juanpe/SkeletonView/languages,https://api.github.com/repos/Juanpe/SkeletonView/contributors
antoniolg,androidmvp,antoniolg/androidmvp,5397,Madrid (Spain),es,"Java,Kotlin",Java,38,https://api.github.com/users/antoniolg,https://api.github.com/repos/antoniolg/androidmvp/languages,https://api.github.com/repos/antoniolg/androidmvp/contributors
peers,peerjs,peers/peerjs,5243,"MÌÁlaga, Spain",es,"JavaScript,HTML,Makefile",JavaScript,774,https://api.github.com/users/peers,https://api.github.com/repos/peers/peerjs/languages,https://api.github.com/repos/peers/peerjs/contributors
