owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
iluwatar,java-design-patterns,iluwatar/java-design-patterns,37856,"Tampere, Finland",fi,"Java,HTML,CSS,Shell,JavaScript,Gherkin",Java,2210,https://api.github.com/users/iluwatar,https://api.github.com/repos/iluwatar/java-design-patterns/languages,https://api.github.com/repos/iluwatar/java-design-patterns/contributors
petkaantonov,bluebird,petkaantonov/bluebird,17230,"Helsinki, Finland",fi,"JavaScript,CSS,Shell,HTML",JavaScript,2144,https://api.github.com/users/petkaantonov,https://api.github.com/repos/petkaantonov/bluebird/languages,https://api.github.com/repos/petkaantonov/bluebird/contributors
roughike,BottomBar,roughike/BottomBar,7961,"Helsinki, Finland",fi,Java,Java,867,https://api.github.com/users/roughike,https://api.github.com/repos/roughike/BottomBar/languages,https://api.github.com/repos/roughike/BottomBar/contributors
haltu,muuri,haltu/muuri,7173,"Tampere, Finland",fi,JavaScript,JavaScript,401,https://api.github.com/users/haltu,https://api.github.com/repos/haltu/muuri/languages,https://api.github.com/repos/haltu/muuri/contributors
kimmobrunfeldt,progressbar.js,kimmobrunfeldt/progressbar.js,6555,Finland,fi,"JavaScript,HTML,Shell,CSS",JavaScript,504,https://api.github.com/users/kimmobrunfeldt,https://api.github.com/repos/kimmobrunfeldt/progressbar.js/languages,https://api.github.com/repos/kimmobrunfeldt/progressbar.js/contributors
alvarcarto,url-to-pdf-api,alvarcarto/url-to-pdf-api,5418,Helsinki,fi,"HTML,JavaScript,Shell",HTML,206,https://api.github.com/users/alvarcarto,https://api.github.com/repos/alvarcarto/url-to-pdf-api/languages,https://api.github.com/repos/alvarcarto/url-to-pdf-api/contributors
lhartikk,ArnoldC,lhartikk/ArnoldC,5401,"Helsinki, Finland",fi,Scala,Scala,70,https://api.github.com/users/lhartikk,https://api.github.com/repos/lhartikk/ArnoldC/languages,https://api.github.com/repos/lhartikk/ArnoldC/contributors
lhartikk,naivechain,lhartikk/naivechain,4575,"Helsinki, Finland",fi,JavaScript,JavaScript,13,https://api.github.com/users/lhartikk,https://api.github.com/repos/lhartikk/naivechain/languages,https://api.github.com/repos/lhartikk/naivechain/contributors
viljamis,responsive-nav.js,viljamis/responsive-nav.js,4105,"Helsinki, Finland",fi,"JavaScript,CSS,HTML",JavaScript,550,https://api.github.com/users/viljamis,https://api.github.com/repos/viljamis/responsive-nav.js/languages,https://api.github.com/repos/viljamis/responsive-nav.js/contributors
fastmonkeys,stellar,fastmonkeys/stellar,3472,"Helsinki, Finland",fi,Python,Python,290,https://api.github.com/users/fastmonkeys,https://api.github.com/repos/fastmonkeys/stellar/languages,https://api.github.com/repos/fastmonkeys/stellar/contributors
