owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
Unitech,pm2,Unitech/pm2,25954,Paris,fr,"JavaScript,Shell,Smarty,Makefile,Dockerfile",JavaScript,4388,https://api.github.com/users/Unitech,https://api.github.com/repos/Unitech/pm2/languages,https://api.github.com/repos/Unitech/pm2/contributors
juliangarnier,anime,juliangarnier/anime,22896,Paris,fr,"JavaScript,HTML",JavaScript,486,https://api.github.com/users/juliangarnier,https://api.github.com/repos/juliangarnier/anime/languages,https://api.github.com/repos/juliangarnier/anime/contributors
verekia,js-stack-from-scratch,verekia/js-stack-from-scratch,17448,"Paris, France",fr,JavaScript,JavaScript,666,https://api.github.com/users/verekia,https://api.github.com/repos/verekia/js-stack-from-scratch/languages,https://api.github.com/repos/verekia/js-stack-from-scratch/contributors
SamyPesse,How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,17348,"Lyon, France",fr,"C,C++,Assembly,Makefile,Ruby,Shell",C,343,https://api.github.com/users/SamyPesse,https://api.github.com/repos/SamyPesse/How-to-Make-a-Computer-Operating-System/languages,https://api.github.com/repos/SamyPesse/How-to-Make-a-Computer-Operating-System/contributors
containous,traefik,containous/traefik,17169,France,fr,"Go,HTML,TypeScript,Shell,CSS,Makefile,Dockerfile,JavaScript",Go,2718,https://api.github.com/users/containous,https://api.github.com/repos/containous/traefik/languages,https://api.github.com/repos/containous/traefik/contributors
fzaninotto,Faker,fzaninotto/Faker,16952,"Nancy, France",fr,"PHP,Makefile",PHP,2447,https://api.github.com/users/fzaninotto,https://api.github.com/repos/fzaninotto/Faker/languages,https://api.github.com/repos/fzaninotto/Faker/contributors
VincentGarreau,particles.js,VincentGarreau/particles.js,16501,"Paris, France",fr,JavaScript,JavaScript,335,https://api.github.com/users/VincentGarreau,https://api.github.com/repos/VincentGarreau/particles.js/languages,https://api.github.com/repos/VincentGarreau/particles.js/contributors
ocornut,imgui,ocornut/imgui,11747,"Paris, France",fr,"C++,C",C++,4716,https://api.github.com/users/ocornut,https://api.github.com/repos/ocornut/imgui/languages,https://api.github.com/repos/ocornut/imgui/contributors
nicolargo,glances,nicolargo/glances,11583,"Valbonne, France",fr,"Python,JavaScript,HTML,CSS,Batchfile,PowerShell,Dockerfile,Smarty,Shell",Python,3412,https://api.github.com/users/nicolargo,https://api.github.com/repos/nicolargo/glances/languages,https://api.github.com/repos/nicolargo/glances/contributors
emilwallner,Screenshot-to-code-in-Keras,emilwallner/Screenshot-to-code-in-Keras,10583,Paris,fr,"Jupyter Notebook,HTML,Python,CSS",Jupyter Notebook,255,https://api.github.com/users/emilwallner,https://api.github.com/repos/emilwallner/Screenshot-to-code-in-Keras/languages,https://api.github.com/repos/emilwallner/Screenshot-to-code-in-Keras/contributors
