owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
jgthms,bulma,jgthms/bulma,29373,London,gb,"CSS,Shell",CSS,1205,https://api.github.com/users/jgthms,https://api.github.com/repos/jgthms/bulma/languages,https://api.github.com/repos/jgthms/bulma/contributors
tiimgreen,github-cheat-sheet,tiimgreen/github-cheat-sheet,25756,London,gb,,,585,https://api.github.com/users/tiimgreen,https://api.github.com/repos/tiimgreen/github-cheat-sheet/languages,https://api.github.com/repos/tiimgreen/github-cheat-sheet/contributors
Kickball,awesome-selfhosted,Kickball/awesome-selfhosted,25362,United Kingdom,gb,"JavaScript,Makefile,Ruby",JavaScript,2479,https://api.github.com/users/Kickball,https://api.github.com/repos/Kickball/awesome-selfhosted/languages,https://api.github.com/repos/Kickball/awesome-selfhosted/contributors
bayandin,awesome-awesomeness,bayandin/awesome-awesomeness,21993,"London, UK",gb,Ruby,Ruby,537,https://api.github.com/users/bayandin,https://api.github.com/repos/bayandin/awesome-awesomeness/languages,https://api.github.com/repos/bayandin/awesome-awesomeness/contributors
elsewhencode,project-guidelines,elsewhencode/project-guidelines,17827,London,gb,JavaScript,JavaScript,246,https://api.github.com/users/elsewhencode,https://api.github.com/repos/elsewhencode/project-guidelines/languages,https://api.github.com/repos/elsewhencode/project-guidelines/contributors
ftlabs,fastclick,ftlabs/fastclick,16733,"London, United Kingdom",gb,"HTML,JavaScript,Makefile",HTML,505,https://api.github.com/users/ftlabs,https://api.github.com/repos/ftlabs/fastclick/languages,https://api.github.com/repos/ftlabs/fastclick/contributors
chrisbanes,PhotoView,chrisbanes/PhotoView,13747,"London, UK",gb,Java,Java,534,https://api.github.com/users/chrisbanes,https://api.github.com/repos/chrisbanes/PhotoView/languages,https://api.github.com/repos/chrisbanes/PhotoView/contributors
wagerfield,parallax,wagerfield/parallax,13259,London,gb,JavaScript,JavaScript,264,https://api.github.com/users/wagerfield,https://api.github.com/repos/wagerfield/parallax/languages,https://api.github.com/repos/wagerfield/parallax/contributors
lukasz-madon,awesome-remote-job,lukasz-madon/awesome-remote-job,12336,"Earth, London, KRK",gb,,,850,https://api.github.com/users/lukasz-madon,https://api.github.com/repos/lukasz-madon/awesome-remote-job/languages,https://api.github.com/repos/lukasz-madon/awesome-remote-job/contributors
lgvalle,Material-Animations,lgvalle/Material-Animations,11915,London,gb,Java,Java,76,https://api.github.com/users/lgvalle,https://api.github.com/repos/lgvalle/Material-Animations/languages,https://api.github.com/repos/lgvalle/Material-Animations/contributors
