owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
usablica,intro.js,usablica/intro.js,17048,Dublin,ie,"HTML,JavaScript,CSS,PHP,Shell,Makefile",HTML,729,https://api.github.com/users/usablica,https://api.github.com/repos/usablica/intro.js/languages,https://api.github.com/repos/usablica/intro.js/contributors
jeromeetienne,AR.js,jeromeetienne/AR.js,11149,"Dublin, Ireland",ie,"JavaScript,HTML,Makefile,Brainfuck,C,Forth,GAP,CSS",JavaScript,1052,https://api.github.com/users/jeromeetienne,https://api.github.com/repos/jeromeetienne/AR.js/languages,https://api.github.com/repos/jeromeetienne/AR.js/contributors
oliver-moran,jimp,oliver-moran/jimp,6732,Ireland,ie,"JavaScript,HTML",JavaScript,758,https://api.github.com/users/oliver-moran,https://api.github.com/repos/oliver-moran/jimp/languages,https://api.github.com/repos/oliver-moran/jimp/contributors
scrapinghub,portia,scrapinghub/portia,6264,"Cork, Ireland",ie,"Python,HTML,JavaScript,CSS,Shell,Makefile,Batchfile",Python,2786,https://api.github.com/users/scrapinghub,https://api.github.com/repos/scrapinghub/portia/languages,https://api.github.com/repos/scrapinghub/portia/contributors
MunGell,awesome-for-beginners,MunGell/awesome-for-beginners,6056,Ireland,ie,,,319,https://api.github.com/users/MunGell,https://api.github.com/repos/MunGell/awesome-for-beginners/languages,https://api.github.com/repos/MunGell/awesome-for-beginners/contributors
sebastianruder,NLP-progress,sebastianruder/NLP-progress,5869,"Dublin, Ireland",ie,HTML,HTML,314,https://api.github.com/users/sebastianruder,https://api.github.com/repos/sebastianruder/NLP-progress/languages,https://api.github.com/repos/sebastianruder/NLP-progress/contributors
pbatard,rufus,pbatard/rufus,5737,Ireland,ie,"C,Makefile,C#,Shell,C++,Assembly,Objective-C,Python,Batchfile,M4,sed",C,1481,https://api.github.com/users/pbatard,https://api.github.com/repos/pbatard/rufus/languages,https://api.github.com/repos/pbatard/rufus/contributors
cesanta,mongoose,cesanta/mongoose,4764,"Dublin, Ireland",ie,"C,Assembly,Python,HTML,Makefile,C++,Shell,Batchfile,Go,JavaScript",C,2945,https://api.github.com/users/cesanta,https://api.github.com/repos/cesanta/mongoose/languages,https://api.github.com/repos/cesanta/mongoose/contributors
techfort,LokiJS,techfort/LokiJS,4283,"Cork, Ireland",ie,"JavaScript,HTML",JavaScript,1229,https://api.github.com/users/techfort,https://api.github.com/repos/techfort/LokiJS/languages,https://api.github.com/repos/techfort/LokiJS/contributors
jeromeetienne,jquery-qrcode,jeromeetienne/jquery-qrcode,3977,"Dublin, Ireland",ie,"JavaScript,HTML,Makefile",JavaScript,37,https://api.github.com/users/jeromeetienne,https://api.github.com/repos/jeromeetienne/jquery-qrcode/languages,https://api.github.com/repos/jeromeetienne/jquery-qrcode/contributors
Tapadoo,Alerter,Tapadoo/Alerter,3895,"Dublin, Ireland",ie,"Kotlin,Java",Kotlin,382,https://api.github.com/users/Tapadoo,https://api.github.com/repos/Tapadoo/Alerter/languages,https://api.github.com/repos/Tapadoo/Alerter/contributors
