owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
jondot,awesome-react-native,jondot/awesome-react-native,20963,"Tel Aviv, Israel",il,"Ruby,Makefile,Shell,CSS",Ruby,1667,https://api.github.com/users/jondot,https://api.github.com/repos/jondot/awesome-react-native/languages,https://api.github.com/repos/jondot/awesome-react-native/contributors
danielgindi,Charts,danielgindi/Charts,19014,Israel,il,"Swift,Objective-C,Ruby,Shell,C",Swift,1652,https://api.github.com/users/danielgindi,https://api.github.com/repos/danielgindi/Charts/languages,https://api.github.com/repos/danielgindi/Charts/contributors
bolshchikov,js-must-watch,bolshchikov/js-must-watch,11730,Israel,il,,,214,https://api.github.com/users/bolshchikov,https://api.github.com/repos/bolshchikov/js-must-watch/languages,https://api.github.com/repos/bolshchikov/js-must-watch/contributors
yaronn,blessed-contrib,yaronn/blessed-contrib,11699,Israel,il,JavaScript,JavaScript,469,https://api.github.com/users/yaronn,https://api.github.com/repos/yaronn/blessed-contrib/languages,https://api.github.com/repos/yaronn/blessed-contrib/contributors
DovAmir,awesome-design-patterns,DovAmir/awesome-design-patterns,7894,Israel,il,,,51,https://api.github.com/users/DovAmir,https://api.github.com/repos/DovAmir/awesome-design-patterns/languages,https://api.github.com/repos/DovAmir/awesome-design-patterns/contributors
harelba,q,harelba/q,5077,Israel,il,"Python,Shell,Batchfile",Python,381,https://api.github.com/users/harelba,https://api.github.com/repos/harelba/q/languages,https://api.github.com/repos/harelba/q/contributors
TalAter,annyang,TalAter/annyang,4888,"Tel Aviv, Israel",il,"JavaScript,HTML",JavaScript,652,https://api.github.com/users/TalAter,https://api.github.com/repos/TalAter/annyang/languages,https://api.github.com/repos/TalAter/annyang/contributors
TalAter,UpUp,TalAter/UpUp,4416,"Tel Aviv, Israel",il,JavaScript,JavaScript,331,https://api.github.com/users/TalAter,https://api.github.com/repos/TalAter/UpUp/languages,https://api.github.com/repos/TalAter/UpUp/contributors
gabime,spdlog,gabime/spdlog,4004,Israel,il,"C++,CMake,C,Makefile,Shell",C++,1914,https://api.github.com/users/gabime,https://api.github.com/repos/gabime/spdlog/languages,https://api.github.com/repos/gabime/spdlog/contributors
ArthurHub,Android-Image-Cropper,ArthurHub/Android-Image-Cropper,3734,Israel,il,"Java,Shell",Java,654,https://api.github.com/users/ArthurHub,https://api.github.com/repos/ArthurHub/Android-Image-Cropper/languages,https://api.github.com/repos/ArthurHub/Android-Image-Cropper/contributors
a8m,go-lang-cheat-sheet,a8m/go-lang-cheat-sheet,3348,"Tel Aviv, Israel",il,,,99,https://api.github.com/users/a8m,https://api.github.com/repos/a8m/go-lang-cheat-sheet/languages,https://api.github.com/repos/a8m/go-lang-cheat-sheet/contributors
a8m,angular-filter,a8m/angular-filter,2979,"Tel Aviv, Israel",il,JavaScript,JavaScript,830,https://api.github.com/users/a8m,https://api.github.com/repos/a8m/angular-filter/languages,https://api.github.com/repos/a8m/angular-filter/contributors
jondot,graphene,jondot/graphene,2922,"Tel Aviv, Israel",il,"CSS,CoffeeScript,JavaScript,Ruby,Shell",CSS,98,https://api.github.com/users/jondot,https://api.github.com/repos/jondot/graphene/languages,https://api.github.com/repos/jondot/graphene/contributors
hmemcpy,milewski-ctfp-pdf,hmemcpy/milewski-ctfp-pdf,2818,Israel,il,"TeX,Python,Nix,Makefile",TeX,264,https://api.github.com/users/hmemcpy,https://api.github.com/repos/hmemcpy/milewski-ctfp-pdf/languages,https://api.github.com/repos/hmemcpy/milewski-ctfp-pdf/contributors
jondot,react-flight,jondot/react-flight,2679,"Tel Aviv, Israel",il,JavaScript,JavaScript,32,https://api.github.com/users/jondot,https://api.github.com/repos/jondot/react-flight/languages,https://api.github.com/repos/jondot/react-flight/contributors
urish,angular-moment,urish/angular-moment,2658,Israel,il,JavaScript,JavaScript,535,https://api.github.com/users/urish,https://api.github.com/repos/urish/angular-moment/languages,https://api.github.com/repos/urish/angular-moment/contributors
yaronn,wopr,yaronn/wopr,2534,Israel,il,JavaScript,JavaScript,83,https://api.github.com/users/yaronn,https://api.github.com/repos/yaronn/wopr/languages,https://api.github.com/repos/yaronn/wopr/contributors
NoamB,sorcery,NoamB/sorcery,2419,Israel,il,"Ruby,HTML",Ruby,1248,https://api.github.com/users/NoamB,https://api.github.com/repos/NoamB/sorcery/languages,https://api.github.com/repos/NoamB/sorcery/contributors
LeoNatan,LNPopupController,LeoNatan/LNPopupController,2268,"Tel Aviv, Israel",il,"Objective-C,Swift,Shell,C",Objective-C,350,https://api.github.com/users/LeoNatan,https://api.github.com/repos/LeoNatan/LNPopupController/languages,https://api.github.com/repos/LeoNatan/LNPopupController/contributors
huri000,SwiftEntryKit,huri000/SwiftEntryKit,2217,Israel,il,"Swift,Ruby,Objective-C",Swift,361,https://api.github.com/users/huri000,https://api.github.com/repos/huri000/SwiftEntryKit/languages,https://api.github.com/repos/huri000/SwiftEntryKit/contributors
ronmamo,reflections,ronmamo/reflections,2163,Tel-Aviv,il,Java,Java,234,https://api.github.com/users/ronmamo,https://api.github.com/repos/ronmamo/reflections/languages,https://api.github.com/repos/ronmamo/reflections/contributors
smore-inc,clippy.js,smore-inc/clippy.js,2134,"Tel Aviv, Israel",il,"JavaScript,CSS",JavaScript,28,https://api.github.com/users/smore-inc,https://api.github.com/repos/smore-inc/clippy.js/languages,https://api.github.com/repos/smore-inc/clippy.js/contributors
meirwah,awesome-incident-response,meirwah/awesome-incident-response,2101,Tel Aviv,il,,,390,https://api.github.com/users/meirwah,https://api.github.com/repos/meirwah/awesome-incident-response/languages,https://api.github.com/repos/meirwah/awesome-incident-response/contributors
yairEO,fancyInput,yairEO/fancyInput,1954,Israel,il,"CSS,JavaScript,HTML",CSS,49,https://api.github.com/users/yairEO,https://api.github.com/repos/yairEO/fancyInput/languages,https://api.github.com/repos/yairEO/fancyInput/contributors
jondot,sneakers,jondot/sneakers,1716,"Tel Aviv, Israel",il,"Ruby,HTML,Shell",Ruby,538,https://api.github.com/users/jondot,https://api.github.com/repos/jondot/sneakers/languages,https://api.github.com/repos/jondot/sneakers/contributors
tomerfiliba,plumbum,tomerfiliba/plumbum,1702,Israel,il,"Python,Shell,Batchfile",Python,1147,https://api.github.com/users/tomerfiliba,https://api.github.com/repos/tomerfiliba/plumbum/languages,https://api.github.com/repos/tomerfiliba/plumbum/contributors
bluzi,jsonstore,bluzi/jsonstore,1595,Israel,il,"JavaScript,CSS,HTML",JavaScript,58,https://api.github.com/users/bluzi,https://api.github.com/repos/bluzi/jsonstore/languages,https://api.github.com/repos/bluzi/jsonstore/contributors
pojome,elementor,pojome/elementor,1593,Israel,il,"PHP,JavaScript,CSS,Shell",PHP,11834,https://api.github.com/users/pojome,https://api.github.com/repos/pojome/elementor/languages,https://api.github.com/repos/pojome/elementor/contributors
