owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,25385,"Bangalore, India",in,,,90,https://api.github.com/users/Hack-with-Github,https://api.github.com/repos/Hack-with-Github/Awesome-Hacking/languages,https://api.github.com/repos/Hack-with-Github/Awesome-Hacking/contributors
hemanth,functional-programming-jargon,hemanth/functional-programming-jargon,12102,India ,in,,,320,https://api.github.com/users/hemanth,https://api.github.com/repos/hemanth/functional-programming-jargon/languages,https://api.github.com/repos/hemanth/functional-programming-jargon/contributors
hackiftekhar,IQKeyboardManager,hackiftekhar/IQKeyboardManager,11976,"Chandametta, Madhya Pradesh, India",in,"Objective-C,Swift,Ruby",Objective-C,1177,https://api.github.com/users/hackiftekhar,https://api.github.com/repos/hackiftekhar/IQKeyboardManager/languages,https://api.github.com/repos/hackiftekhar/IQKeyboardManager/contributors
frappe,charts,frappe/charts,11154,"Mumbai, India",in,"JavaScript,CSS,Makefile",JavaScript,371,https://api.github.com/users/frappe,https://api.github.com/repos/frappe/charts/languages,https://api.github.com/repos/frappe/charts/contributors
kailashahirwar,cheatsheets-ai,kailashahirwar/cheatsheets-ai,10006,Bangalore India,in,,,22,https://api.github.com/users/kailashahirwar,https://api.github.com/repos/kailashahirwar/cheatsheets-ai/languages,https://api.github.com/repos/kailashahirwar/cheatsheets-ai/contributors
GeekyAnts,NativeBase,GeekyAnts/NativeBase,9825,"Bangalore, India",in,JavaScript,JavaScript,2198,https://api.github.com/users/GeekyAnts,https://api.github.com/repos/GeekyAnts/NativeBase/languages,https://api.github.com/repos/GeekyAnts/NativeBase/contributors
satwikkansal,wtfpython,satwikkansal/wtfpython,7693,"New Delhi, India",in,Python,Python,321,https://api.github.com/users/satwikkansal,https://api.github.com/repos/satwikkansal/wtfpython/languages,https://api.github.com/repos/satwikkansal/wtfpython/contributors
chinchang,hint.css,chinchang/hint.css,7657,"Delhi, India",in,"CSS,HTML,JavaScript",CSS,364,https://api.github.com/users/chinchang,https://api.github.com/repos/chinchang/hint.css/languages,https://api.github.com/repos/chinchang/hint.css/contributors
sitaramc,gitolite,sitaramc/gitolite,7177,"Hyderabad, India",in,"Perl,Shell,Vim script,Perl 6",Perl,698,https://api.github.com/users/sitaramc,https://api.github.com/repos/sitaramc/gitolite/languages,https://api.github.com/repos/sitaramc/gitolite/contributors
shekhargulati,52-technologies-in-2016,shekhargulati/52-technologies-in-2016,6967,India,in,"JavaScript,CSS,HTML,Scala,Java,Python,Go,TypeScript,Shell,Groovy",JavaScript,265,https://api.github.com/users/shekhargulati,https://api.github.com/repos/shekhargulati/52-technologies-in-2016/languages,https://api.github.com/repos/shekhargulati/52-technologies-in-2016/contributors
TheAlgorithms,Python,TheAlgorithms/Python,6328,"Chandigarh, India",in,Python,Python,786,https://api.github.com/users/TheAlgorithms,https://api.github.com/repos/TheAlgorithms/Python/languages,https://api.github.com/repos/TheAlgorithms/Python/contributors
TheAlgorithms,Java,TheAlgorithms/Java,6154,"Chandigarh, India",in,Java,Java,696,https://api.github.com/users/TheAlgorithms,https://api.github.com/repos/TheAlgorithms/Java/languages,https://api.github.com/repos/TheAlgorithms/Java/contributors
aritraroy,UltimateAndroidReference,aritraroy/UltimateAndroidReference,6112,"Bangalore, India",in,"Java,Kotlin",Java,382,https://api.github.com/users/aritraroy,https://api.github.com/repos/aritraroy/UltimateAndroidReference/languages,https://api.github.com/repos/aritraroy/UltimateAndroidReference/contributors
sameersbn,docker-gitlab,sameersbn/docker-gitlab,5169,"Goa, India",in,"Shell,Ruby,Dockerfile,Makefile",Shell,2715,https://api.github.com/users/sameersbn,https://api.github.com/repos/sameersbn/docker-gitlab/languages,https://api.github.com/repos/sameersbn/docker-gitlab/contributors
amitshekhariitbhu,Android-Debug-Database,amitshekhariitbhu/Android-Debug-Database,5041,"New Delhi, India",in,"Java,JavaScript,HTML,CSS",Java,386,https://api.github.com/users/amitshekhariitbhu,https://api.github.com/repos/amitshekhariitbhu/Android-Debug-Database/languages,https://api.github.com/repos/amitshekhariitbhu/Android-Debug-Database/contributors
naman14,Timber,naman14/Timber,5031,"New Delhi, India",in,Java,Java,686,https://api.github.com/users/naman14,https://api.github.com/repos/naman14/Timber/languages,https://api.github.com/repos/naman14/Timber/contributors
adonisjs,adonis-framework,adonisjs/adonis-framework,4638,India,in,"JavaScript,CSS",JavaScript,841,https://api.github.com/users/adonisjs,https://api.github.com/repos/adonisjs/adonis-framework/languages,https://api.github.com/repos/adonisjs/adonis-framework/contributors
GeekyAnts,vue-native-core,GeekyAnts/vue-native-core,4610,"Bangalore, India",in,"JavaScript,HTML,CSS,TypeScript,Shell",JavaScript,202,https://api.github.com/users/GeekyAnts,https://api.github.com/repos/GeekyAnts/vue-native-core/languages,https://api.github.com/repos/GeekyAnts/vue-native-core/contributors
kovidgoyal,calibre,kovidgoyal/calibre,4583,"Mumbai, India",in,"Python,C,JavaScript,C++,CoffeeScript,HTML,Shell,XSLT,Objective-C++,Makefile,CSS,Objective-C,Batchfile,Vim script",Python,36960,https://api.github.com/users/kovidgoyal,https://api.github.com/repos/kovidgoyal/calibre/languages,https://api.github.com/repos/kovidgoyal/calibre/contributors
rShetty,awesome-podcasts,rShetty/awesome-podcasts,4526,Bangalore,in,,,360,https://api.github.com/users/rShetty,https://api.github.com/repos/rShetty/awesome-podcasts/languages,https://api.github.com/repos/rShetty/awesome-podcasts/contributors
dhamaniasad,awesome-postgres,dhamaniasad/awesome-postgres,4451,"Bengaluru, India",in,,,487,https://api.github.com/users/dhamaniasad,https://api.github.com/repos/dhamaniasad/awesome-postgres/languages,https://api.github.com/repos/dhamaniasad/awesome-postgres/contributors
metagrover,ES6-for-humans,metagrover/ES6-for-humans,4430,India,in,,,63,https://api.github.com/users/metagrover,https://api.github.com/repos/metagrover/ES6-for-humans/languages,https://api.github.com/repos/metagrover/ES6-for-humans/contributors
MindorksOpenSource,android-interview-questions,MindorksOpenSource/android-interview-questions,4262,"Gurgaon, India",in,Java,Java,299,https://api.github.com/users/MindorksOpenSource,https://api.github.com/repos/MindorksOpenSource/android-interview-questions/languages,https://api.github.com/repos/MindorksOpenSource/android-interview-questions/contributors
ApoorvSaxena,lozad.js,ApoorvSaxena/lozad.js,4139,India,in,JavaScript,JavaScript,224,https://api.github.com/users/ApoorvSaxena,https://api.github.com/repos/ApoorvSaxena/lozad.js/languages,https://api.github.com/repos/ApoorvSaxena/lozad.js/contributors
dhamaniasad,HeadlessBrowsers,dhamaniasad/HeadlessBrowsers,4022,"Bengaluru, India",in,,,204,https://api.github.com/users/dhamaniasad,https://api.github.com/repos/dhamaniasad/HeadlessBrowsers/languages,https://api.github.com/repos/dhamaniasad/HeadlessBrowsers/contributors
sachinchoolur,lightgallery.js,sachinchoolur/lightgallery.js,4009,Bangalore,in,"JavaScript,CSS",JavaScript,61,https://api.github.com/users/sachinchoolur,https://api.github.com/repos/sachinchoolur/lightgallery.js/languages,https://api.github.com/repos/sachinchoolur/lightgallery.js/contributors
ghosh,uiGradients,ghosh/uiGradients,3885,Bangalore,in,"Vue,JavaScript,CSS,HTML",Vue,1095,https://api.github.com/users/ghosh,https://api.github.com/repos/ghosh/uiGradients/languages,https://api.github.com/repos/ghosh/uiGradients/contributors
kovidgoyal,kitty,kovidgoyal/kitty,3754,"Mumbai, India",in,"C,Python,Objective-C,Mathematica,GLSL,Makefile,C++,Vim script,Shell",C,3370,https://api.github.com/users/kovidgoyal,https://api.github.com/repos/kovidgoyal/kitty/languages,https://api.github.com/repos/kovidgoyal/kitty/contributors
amitshekhariitbhu,Fast-Android-Networking,amitshekhariitbhu/Fast-Android-Networking,3705,"New Delhi, India",in,Java,Java,658,https://api.github.com/users/amitshekhariitbhu,https://api.github.com/repos/amitshekhariitbhu/Fast-Android-Networking/languages,https://api.github.com/repos/amitshekhariitbhu/Fast-Android-Networking/contributors
rishabhp,bideo.js,rishabhp/bideo.js,3699,India,in,"JavaScript,HTML",JavaScript,14,https://api.github.com/users/rishabhp,https://api.github.com/repos/rishabhp/bideo.js/languages,https://api.github.com/repos/rishabhp/bideo.js/contributors
amitshekhariitbhu,RxJava2-Android-Samples,amitshekhariitbhu/RxJava2-Android-Samples,3690,"New Delhi, India",in,Java,Java,257,https://api.github.com/users/amitshekhariitbhu,https://api.github.com/repos/amitshekhariitbhu/RxJava2-Android-Samples/languages,https://api.github.com/repos/amitshekhariitbhu/RxJava2-Android-Samples/contributors
frappe,erpnext,frappe/erpnext,3663,"Mumbai, India",in,"Python,JavaScript,HTML,CSS,Shell",Python,23551,https://api.github.com/users/frappe,https://api.github.com/repos/frappe/erpnext/languages,https://api.github.com/repos/frappe/erpnext/contributors
hackerkid,Mind-Expanding-Books,hackerkid/Mind-Expanding-Books,3647,"Kochi, India",in,Python,Python,369,https://api.github.com/users/hackerkid,https://api.github.com/repos/hackerkid/Mind-Expanding-Books/languages,https://api.github.com/repos/hackerkid/Mind-Expanding-Books/contributors
janishar,mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,3637,"Gurgaon, India",in,Java,Java,14,https://api.github.com/users/janishar,https://api.github.com/repos/janishar/mit-deep-learning-book-pdf/languages,https://api.github.com/repos/janishar/mit-deep-learning-book-pdf/contributors
hasura,graphql-engine,hasura/graphql-engine,3513,Bangalore,in,"JavaScript,Haskell,Go,CSS,Shell,HTML,PLpgSQL,Makefile,Dockerfile",JavaScript,251,https://api.github.com/users/hasura,https://api.github.com/repos/hasura/graphql-engine/languages,https://api.github.com/repos/hasura/graphql-engine/contributors
MindorksOpenSource,from-java-to-kotlin,MindorksOpenSource/from-java-to-kotlin,3496,"Gurgaon, India",in,"Java,Kotlin",Java,202,https://api.github.com/users/MindorksOpenSource,https://api.github.com/repos/MindorksOpenSource/from-java-to-kotlin/languages,https://api.github.com/repos/MindorksOpenSource/from-java-to-kotlin/contributors
OmkarPathak,pygorithm,OmkarPathak/pygorithm,3447,"Pune, Maharashtra, India",in,"Python,Batchfile",Python,502,https://api.github.com/users/OmkarPathak,https://api.github.com/repos/OmkarPathak/pygorithm/languages,https://api.github.com/repos/OmkarPathak/pygorithm/contributors
ramitsurana,awesome-kubernetes,ramitsurana/awesome-kubernetes,3405,India,in,"Makefile,Dockerfile",Makefile,719,https://api.github.com/users/ramitsurana,https://api.github.com/repos/ramitsurana/awesome-kubernetes/languages,https://api.github.com/repos/ramitsurana/awesome-kubernetes/contributors
Ashok-Varma,BottomNavigation,Ashok-Varma/BottomNavigation,3378,India,in,Java,Java,248,https://api.github.com/users/Ashok-Varma,https://api.github.com/repos/Ashok-Varma/BottomNavigation/languages,https://api.github.com/repos/Ashok-Varma/BottomNavigation/contributors
threepointone,glamor,threepointone/glamor,3268,"Bangalore, India",in,"JavaScript,HTML",JavaScript,849,https://api.github.com/users/threepointone,https://api.github.com/repos/threepointone/glamor/languages,https://api.github.com/repos/threepointone/glamor/contributors
sachinchoolur,lightGallery,sachinchoolur/lightGallery,3254,Bangalore,in,"JavaScript,CSS,HTML",JavaScript,391,https://api.github.com/users/sachinchoolur,https://api.github.com/repos/sachinchoolur/lightGallery/languages,https://api.github.com/repos/sachinchoolur/lightGallery/contributors
MindorksOpenSource,android-mvp-architecture,MindorksOpenSource/android-mvp-architecture,3180,"Gurgaon, India",in,Java,Java,257,https://api.github.com/users/MindorksOpenSource,https://api.github.com/repos/MindorksOpenSource/android-mvp-architecture/languages,https://api.github.com/repos/MindorksOpenSource/android-mvp-architecture/contributors
hindupuravinash,the-gan-zoo,hindupuravinash/the-gan-zoo,3107,New Delhi,in,Python,Python,265,https://api.github.com/users/hindupuravinash,https://api.github.com/repos/hindupuravinash/the-gan-zoo/languages,https://api.github.com/repos/hindupuravinash/the-gan-zoo/contributors
vicky002,AlgoWiki,vicky002/AlgoWiki,3028,Mumbai,in,"CSS,JavaScript,HTML",CSS,668,https://api.github.com/users/vicky002,https://api.github.com/repos/vicky002/AlgoWiki/languages,https://api.github.com/repos/vicky002/AlgoWiki/contributors
swapagarwal,swag-for-dev,swapagarwal/swag-for-dev,2874,"Bangalore, India",in,,,53,https://api.github.com/users/swapagarwal,https://api.github.com/repos/swapagarwal/swag-for-dev/languages,https://api.github.com/repos/swapagarwal/swag-for-dev/contributors
ragunathjawahar,android-saripaar,ragunathjawahar/android-saripaar,2866,"Chennai, India",in,Java,Java,386,https://api.github.com/users/ragunathjawahar,https://api.github.com/repos/ragunathjawahar/android-saripaar/languages,https://api.github.com/repos/ragunathjawahar/android-saripaar/contributors
