owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
antirez,redis,antirez/redis,30949,"Campobello di Licata, Sicily, Italy",it,"C,Tcl,Objective-C,Ruby,Shell,Makefile,C++,Smarty",C,7331,https://api.github.com/users/antirez,https://api.github.com/repos/antirez/redis/languages,https://api.github.com/repos/antirez/redis/contributors
matteocrippa,awesome-swift,matteocrippa/awesome-swift,15367,Italy,it,"Swift,Ruby,JavaScript,Shell",Swift,3162,https://api.github.com/users/matteocrippa,https://api.github.com/repos/matteocrippa/awesome-swift/languages,https://api.github.com/repos/matteocrippa/awesome-swift/contributors
cubiq,iscroll,cubiq/iscroll,11312,"Florence, Italy",it,"JavaScript,HTML,PHP",JavaScript,92,https://api.github.com/users/cubiq,https://api.github.com/repos/cubiq/iscroll/languages,https://api.github.com/repos/cubiq/iscroll/contributors
Swordfish90,cool-retro-term,Swordfish90/cool-retro-term,9031,"Pavia, Italy",it,"QML,C++,JavaScript,Roff,QMake,Makefile",QML,674,https://api.github.com/users/Swordfish90,https://api.github.com/repos/Swordfish90/cool-retro-term/languages,https://api.github.com/repos/Swordfish90/cool-retro-term/contributors
antirez,disque,antirez/disque,7006,"Campobello di Licata, Sicily, Italy",it,"C,Tcl,Makefile,Shell",C,702,https://api.github.com/users/antirez,https://api.github.com/repos/antirez/disque/languages,https://api.github.com/repos/antirez/disque/contributors
miniMAC,magic,miniMAC/magic,5505,Italy,it,"CSS,JavaScript",CSS,93,https://api.github.com/users/miniMAC,https://api.github.com/repos/miniMAC/magic/languages,https://api.github.com/repos/miniMAC/magic/contributors
andreamazz,AMScrollingNavbar,andreamazz/AMScrollingNavbar,5433,"Ferrara, Italy",it,"Swift,Ruby,Objective-C",Swift,623,https://api.github.com/users/andreamazz,https://api.github.com/repos/andreamazz/AMScrollingNavbar/languages,https://api.github.com/repos/andreamazz/AMScrollingNavbar/contributors
densitydesign,raw,densitydesign/raw,5373,Milano - Italy,it,"JavaScript,HTML,CSS",JavaScript,511,https://api.github.com/users/densitydesign,https://api.github.com/repos/densitydesign/raw/languages,https://api.github.com/repos/densitydesign/raw/contributors
nrk,predis,nrk/predis,4852,"Milan, Italy",it,PHP,PHP,2000,https://api.github.com/users/nrk,https://api.github.com/repos/nrk/predis/languages,https://api.github.com/repos/nrk/predis/contributors
cyrus-and,gdb-dashboard,cyrus-and/gdb-dashboard,4815,Pisa / Tuscany / Italy,it,Python,Python,316,https://api.github.com/users/cyrus-and,https://api.github.com/repos/cyrus-and/gdb-dashboard/languages,https://api.github.com/repos/cyrus-and/gdb-dashboard/contributors
