owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
wasabeef,awesome-android-ui,wasabeef/awesome-android-ui,31543,"Tokyo, Japan",jp,,,486,https://api.github.com/users/wasabeef,https://api.github.com/repos/wasabeef/awesome-android-ui/languages,https://api.github.com/repos/wasabeef/awesome-android-ui/contributors
chrislgarry,Apollo-11,chrislgarry/Apollo-11,27758,"Tokyo, Japan",jp,Assembly,Assembly,353,https://api.github.com/users/chrislgarry,https://api.github.com/repos/chrislgarry/Apollo-11/languages,https://api.github.com/repos/chrislgarry/Apollo-11/contributors
ruby,ruby,ruby/ruby,14686,"Matsue, Japan",jp,"Ruby,C,Objective-C,Yacc,Makefile,M4,Emacs Lisp,C++,GDB,Ragel,HTML,JavaScript,CSS,XSLT,Batchfile,Shell,Python,sed,Assembly,Scilab,Scheme,Perl,Perl 6",Ruby,51941,https://api.github.com/users/ruby,https://api.github.com/repos/ruby/ruby/languages,https://api.github.com/repos/ruby/ruby/contributors
nagadomi,waifu2x,nagadomi/waifu2x,11828,"Tokyo, Japan",jp,"Lua,HTML,Shell,JavaScript,CSS,Ruby,Dockerfile",Lua,630,https://api.github.com/users/nagadomi,https://api.github.com/repos/nagadomi/waifu2x/languages,https://api.github.com/repos/nagadomi/waifu2x/contributors
acgotaku,BaiduExporter,acgotaku/BaiduExporter,10123,Tokyo,jp,"JavaScript,CSS,Shell,Visual Basic,Batchfile",JavaScript,530,https://api.github.com/users/acgotaku,https://api.github.com/repos/acgotaku/BaiduExporter/languages,https://api.github.com/repos/acgotaku/BaiduExporter/contributors
BoostIO,Boostnote,BoostIO/Boostnote,9018,"Tokyo, Japan",jp,"JavaScript,CSS,HTML",JavaScript,3589,https://api.github.com/users/BoostIO,https://api.github.com/repos/BoostIO/Boostnote/languages,https://api.github.com/repos/BoostIO/Boostnote/contributors
ksoichiro,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,8964,Japan,jp,"Java,CSS,HTML,JavaScript,CoffeeScript,Shell",Java,483,https://api.github.com/users/ksoichiro,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView/languages,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView/contributors
wasabeef,recyclerview-animators,wasabeef/recyclerview-animators,8316,"Tokyo, Japan",jp,Java,Java,371,https://api.github.com/users/wasabeef,https://api.github.com/repos/wasabeef/recyclerview-animators/languages,https://api.github.com/repos/wasabeef/recyclerview-animators/contributors
openstf,stf,openstf/stf,7767,"Tokyo, Japan",jp,"JavaScript,HTML,CSS,Dockerfile,Shell",JavaScript,2151,https://api.github.com/users/openstf,https://api.github.com/repos/openstf/stf/languages,https://api.github.com/repos/openstf/stf/contributors
brettwooldridge,HikariCP,brettwooldridge/HikariCP,7631,"Tokyo, Japan",jp,Java,Java,2747,https://api.github.com/users/brettwooldridge,https://api.github.com/repos/brettwooldridge/HikariCP/languages,https://api.github.com/repos/brettwooldridge/HikariCP/contributors
mame,quine-relay,mame/quine-relay,7255,Japan,jp,"Ruby,Makefile",Ruby,476,https://api.github.com/users/mame,https://api.github.com/repos/mame/quine-relay/languages,https://api.github.com/repos/mame/quine-relay/contributors
tekezo,Karabiner-Elements,tekezo/Karabiner-Elements,7033,Japan,jp,"C++,Objective-C,C,CMake,Shell,Makefile,AppleScript,Ruby",C++,2809,https://api.github.com/users/tekezo,https://api.github.com/repos/tekezo/Karabiner-Elements/languages,https://api.github.com/repos/tekezo/Karabiner-Elements/contributors
yhatt,marp,yhatt/marp,6997,Japan,jp,"CoffeeScript,CSS,HTML,JavaScript",CoffeeScript,427,https://api.github.com/users/yhatt,https://api.github.com/repos/yhatt/marp/languages,https://api.github.com/repos/yhatt/marp/contributors
wasabeef,glide-transformations,wasabeef/glide-transformations,6637,"Tokyo, Japan",jp,Java,Java,302,https://api.github.com/users/wasabeef,https://api.github.com/repos/wasabeef/glide-transformations/languages,https://api.github.com/repos/wasabeef/glide-transformations/contributors
utatti,perfect-scrollbar,utatti/perfect-scrollbar,6359,"Tokyo, Japan",jp,"JavaScript,CSS,Shell",JavaScript,746,https://api.github.com/users/utatti,https://api.github.com/repos/utatti/perfect-scrollbar/languages,https://api.github.com/repos/utatti/perfect-scrollbar/contributors
