owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
summernote,summernote,summernote/summernote,7642,Seoul,kr,"JavaScript,CSS,HTML",JavaScript,2834,https://api.github.com/users/summernote,https://api.github.com/repos/summernote/summernote/languages,https://api.github.com/repos/summernote/summernote/contributors
yunjey,pytorch-tutorial,yunjey/pytorch-tutorial,6840,"Seoul, South Korea",kr,"Python,Shell",Python,244,https://api.github.com/users/yunjey,https://api.github.com/repos/yunjey/pytorch-tutorial/languages,https://api.github.com/repos/yunjey/pytorch-tutorial/contributors
davidshimjs,qrcodejs,davidshimjs/qrcodejs,5707,South Korea,kr,"JavaScript,HTML",JavaScript,46,https://api.github.com/users/davidshimjs,https://api.github.com/repos/davidshimjs/qrcodejs/languages,https://api.github.com/repos/davidshimjs/qrcodejs/contributors
ipkn,crow,ipkn/crow,4389,"Seoul, Republic of Korea",kr,"C++,C,CMake,Python,Makefile",C++,478,https://api.github.com/users/ipkn,https://api.github.com/repos/ipkn/crow/languages,https://api.github.com/repos/ipkn/crow/contributors
yeun,open-color,yeun/open-color,3354,"Seoul, Korea",kr,"CSS,HTML,JavaScript,TeX,Shell,TypeScript",CSS,290,https://api.github.com/users/yeun,https://api.github.com/repos/yeun/open-color/languages,https://api.github.com/repos/yeun/open-color/contributors
yunjey,StarGAN,yunjey/StarGAN,2906,"Seoul, South Korea",kr,"Python,Shell",Python,35,https://api.github.com/users/yunjey,https://api.github.com/repos/yunjey/StarGAN/languages,https://api.github.com/repos/yunjey/StarGAN/contributors
cruisediary,Pastel,cruisediary/Pastel,2693,Seoul,kr,"Swift,Ruby,Objective-C",Swift,67,https://api.github.com/users/cruisediary,https://api.github.com/repos/cruisediary/Pastel/languages,https://api.github.com/repos/cruisediary/Pastel/contributors
kciter,qart.js,kciter/qart.js,2527,"Seoul, Korea",kr,"JavaScript,HTML",JavaScript,72,https://api.github.com/users/kciter,https://api.github.com/repos/kciter/qart.js/languages,https://api.github.com/repos/kciter/qart.js/contributors
devxoul,Then,devxoul/Then,2426,"Seoul, Korea",kr,"Swift,Ruby",Swift,214,https://api.github.com/users/devxoul,https://api.github.com/repos/devxoul/Then/languages,https://api.github.com/repos/devxoul/Then/contributors
ncsoft,Unreal.js,ncsoft/Unreal.js,2223,"Seoul, Korea",kr,,,525,https://api.github.com/users/ncsoft,https://api.github.com/repos/ncsoft/Unreal.js/languages,https://api.github.com/repos/ncsoft/Unreal.js/contributors
Kyubyong,nlp_tasks,Kyubyong/nlp_tasks,2114,"Seoul, Korea",kr,,,49,https://api.github.com/users/Kyubyong,https://api.github.com/repos/Kyubyong/nlp_tasks/languages,https://api.github.com/repos/Kyubyong/nlp_tasks/contributors
rlcode,reinforcement-learning,rlcode/reinforcement-learning,1993,Seoul,kr,Python,Python,364,https://api.github.com/users/rlcode,https://api.github.com/repos/rlcode/reinforcement-learning/languages,https://api.github.com/repos/rlcode/reinforcement-learning/contributors
kewlbear,FFmpeg-iOS-build-script,kewlbear/FFmpeg-iOS-build-script,1940,Seoul,kr,Shell,Shell,217,https://api.github.com/users/kewlbear,https://api.github.com/repos/kewlbear/FFmpeg-iOS-build-script/languages,https://api.github.com/repos/kewlbear/FFmpeg-iOS-build-script/contributors
TheFinestArtist,FinestWebView-Android,TheFinestArtist/FinestWebView-Android,1922,"Seoul, Korea",kr,Java,Java,295,https://api.github.com/users/TheFinestArtist,https://api.github.com/repos/TheFinestArtist/FinestWebView-Android/languages,https://api.github.com/repos/TheFinestArtist/FinestWebView-Android/contributors
iziz,libPhoneNumber-iOS,iziz/libPhoneNumber-iOS,1880,South Korea,kr,"Objective-C,C,Swift,Shell,PHP,Ruby",Objective-C,577,https://api.github.com/users/iziz,https://api.github.com/repos/iziz/libPhoneNumber-iOS/languages,https://api.github.com/repos/iziz/libPhoneNumber-iOS/contributors
youknowone,UI7Kit,youknowone/UI7Kit,1731,"Seoul, The Republic of Korea",kr,"Objective-C,Ruby",Objective-C,513,https://api.github.com/users/youknowone,https://api.github.com/repos/youknowone/UI7Kit/languages,https://api.github.com/repos/youknowone/UI7Kit/contributors
devxoul,URLNavigator,devxoul/URLNavigator,1726,"Seoul, Korea",kr,"Swift,Makefile,Ruby",Swift,309,https://api.github.com/users/devxoul,https://api.github.com/repos/devxoul/URLNavigator/languages,https://api.github.com/repos/devxoul/URLNavigator/contributors
sjchoi86,Tensorflow-101,sjchoi86/Tensorflow-101,1710,Seoul,kr,"Jupyter Notebook,Python",Jupyter Notebook,93,https://api.github.com/users/sjchoi86,https://api.github.com/repos/sjchoi86/Tensorflow-101/languages,https://api.github.com/repos/sjchoi86/Tensorflow-101/contributors
andabi,deep-voice-conversion,andabi/deep-voice-conversion,1696,"Seoul, Korea",kr,"Python,Shell",Python,204,https://api.github.com/users/andabi,https://api.github.com/repos/andabi/deep-voice-conversion/languages,https://api.github.com/repos/andabi/deep-voice-conversion/contributors
dahlia,awesome-sqlalchemy,dahlia/awesome-sqlalchemy,1658,"Seoul, Republic of Korea",kr,Python,Python,230,https://api.github.com/users/dahlia,https://api.github.com/repos/dahlia/awesome-sqlalchemy/languages,https://api.github.com/repos/dahlia/awesome-sqlalchemy/contributors
