owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
nvbn,thefuck,nvbn/thefuck,36788,"Amsterdam, The Netherlands",nl,"Python,Shell",Python,1585,https://api.github.com/users/nvbn,https://api.github.com/repos/nvbn/thefuck/languages,https://api.github.com/repos/nvbn/thefuck/contributors
nvie,gitflow,nvie/gitflow,20618,Netherlands,nl,Shell,Shell,501,https://api.github.com/users/nvie,https://api.github.com/repos/nvie/gitflow/languages,https://api.github.com/repos/nvie/gitflow/contributors
hammerjs,hammer.js,hammerjs/hammer.js,18856,"Arnhem, Netherlands",nl,"JavaScript,HTML,CSS",JavaScript,1295,https://api.github.com/users/hammerjs,https://api.github.com/repos/hammerjs/hammer.js/languages,https://api.github.com/repos/hammerjs/hammer.js/contributors
ajaxorg,ace,ajaxorg/ace,18037,"Amsterdam, The Netherlands",nl,"JavaScript,HTML,CSS,Shell,Makefile",JavaScript,7452,https://api.github.com/users/ajaxorg,https://api.github.com/repos/ajaxorg/ace/languages,https://api.github.com/repos/ajaxorg/ace/contributors
faif,python-patterns,faif/python-patterns,16929,Netherlands,nl,"Python,Shell",Python,623,https://api.github.com/users/faif,https://api.github.com/repos/faif/python-patterns/languages,https://api.github.com/repos/faif/python-patterns/contributors
nikitavoloboev,my-mac-os,nikitavoloboev/my-mac-os,10641,Amsterdam,nl,"CSS,AppleScript,JavaScript,Ruby,HTML",CSS,60,https://api.github.com/users/nikitavoloboev,https://api.github.com/repos/nikitavoloboev/my-mac-os/languages,https://api.github.com/repos/nikitavoloboev/my-mac-os/contributors
ejci,favico.js,ejci/favico.js,8030,"Amsterdam, Netherlands",nl,"JavaScript,Makefile",JavaScript,289,https://api.github.com/users/ejci,https://api.github.com/repos/ejci/favico.js/languages,https://api.github.com/repos/ejci/favico.js/contributors
barryvdh,laravel-debugbar,barryvdh/laravel-debugbar,7859,"Noord-Brabant, the Netherlands",nl,"PHP,CSS,JavaScript",PHP,835,https://api.github.com/users/barryvdh,https://api.github.com/repos/barryvdh/laravel-debugbar/languages,https://api.github.com/repos/barryvdh/laravel-debugbar/contributors
MichMich,MagicMirror,MichMich/MagicMirror,7077,Baarn ~ The Netherlands,nl,"JavaScript,CSS,Shell,HTML,TypeScript",JavaScript,2209,https://api.github.com/users/MichMich,https://api.github.com/repos/MichMich/MagicMirror/languages,https://api.github.com/repos/MichMich/MagicMirror/contributors
barryvdh,laravel-ide-helper,barryvdh/laravel-ide-helper,7066,"Noord-Brabant, the Netherlands",nl,PHP,PHP,632,https://api.github.com/users/barryvdh,https://api.github.com/repos/barryvdh/laravel-ide-helper/languages,https://api.github.com/repos/barryvdh/laravel-ide-helper/contributors
dutchcoders,transfer.sh,dutchcoders/transfer.sh,6934,Netherlands,nl,"Go,Shell,Dockerfile",Go,366,https://api.github.com/users/dutchcoders,https://api.github.com/repos/dutchcoders/transfer.sh/languages,https://api.github.com/repos/dutchcoders/transfer.sh/contributors
keeweb,keeweb,keeweb/keeweb,6656,"Amsterdam, the Netherlands",nl,"JavaScript,C#,HTML,CSS,Objective-C,NSIS,Shell,Batchfile",JavaScript,1787,https://api.github.com/users/keeweb,https://api.github.com/repos/keeweb/keeweb/languages,https://api.github.com/repos/keeweb/keeweb/contributors
rzwitserloot,lombok,rzwitserloot/lombok,6643,"Delft, The Netherlands",nl,"Java,HTML,JavaScript,CSS,Dockerfile,Shell,C,Python",Java,2471,https://api.github.com/users/rzwitserloot,https://api.github.com/repos/rzwitserloot/lombok/languages,https://api.github.com/repos/rzwitserloot/lombok/contributors
nhaarman,ListViewAnimations,nhaarman/ListViewAnimations,5685,Netherlands,nl,Java,Java,709,https://api.github.com/users/nhaarman,https://api.github.com/repos/nhaarman/ListViewAnimations/languages,https://api.github.com/repos/nhaarman/ListViewAnimations/contributors
mweststrate,immer,mweststrate/immer,5640,Netherlands,nl,"JavaScript,TypeScript",JavaScript,522,https://api.github.com/users/mweststrate,https://api.github.com/repos/mweststrate/immer/languages,https://api.github.com/repos/mweststrate/immer/contributors
