owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
tipsy,profile-summary-for-github,tipsy/profile-summary-for-github,18253,"Trondheim, Norway",no,"Kotlin,JavaScript,CSS,Dockerfile",Kotlin,295,https://api.github.com/users/tipsy,https://api.github.com/repos/tipsy/profile-summary-for-github/languages,https://api.github.com/repos/tipsy/profile-summary-for-github/contributors
gnab,remark,gnab/remark,8173,"TÌünsberg, Norway",no,"JavaScript,HTML,CSS,Makefile",JavaScript,799,https://api.github.com/users/gnab,https://api.github.com/repos/gnab/remark/languages,https://api.github.com/repos/gnab/remark/contributors
highcharts,highcharts,highcharts/highcharts,7880,Norway,no,"JavaScript,HTML,XSLT,Java,CSS,PHP,Batchfile,Shell,Perl,Python",JavaScript,12013,https://api.github.com/users/highcharts,https://api.github.com/repos/highcharts/highcharts/languages,https://api.github.com/repos/highcharts/highcharts/contributors
ChrisRM,material-theme-jetbrains,ChrisRM/material-theme-jetbrains,6136,Norway,no,"Java,CSS,Kotlin",Java,2020,https://api.github.com/users/ChrisRM,https://api.github.com/repos/ChrisRM/material-theme-jetbrains/languages,https://api.github.com/repos/ChrisRM/material-theme-jetbrains/contributors
auduno,clmtrackr,auduno/clmtrackr,5443,"Oslo, Norway",no,JavaScript,JavaScript,315,https://api.github.com/users/auduno,https://api.github.com/repos/auduno/clmtrackr/languages,https://api.github.com/repos/auduno/clmtrackr/contributors
prasmussen,gdrive,prasmussen/gdrive,4500,"Norway, Sandnes",no,"Go,Shell",Go,384,https://api.github.com/users/prasmussen,https://api.github.com/repos/prasmussen/gdrive/languages,https://api.github.com/repos/prasmussen/gdrive/contributors
os-js,OS.js,os-js/OS.js,4328,Norway,no,"JavaScript,CSS,PHP,HTML,Shell,Batchfile",JavaScript,5324,https://api.github.com/users/os-js,https://api.github.com/repos/os-js/OS.js/languages,https://api.github.com/repos/os-js/OS.js/contributors
danielzeller,Depth-LIB-Android-,danielzeller/Depth-LIB-Android-,4258,Norway,no,Java,Java,34,https://api.github.com/users/danielzeller,https://api.github.com/repos/danielzeller/Depth-LIB-Android-/languages,https://api.github.com/repos/danielzeller/Depth-LIB-Android-/contributors
atlemo,SubtlePatterns,atlemo/SubtlePatterns,4217,"Nesodden, Norway",no,"HTML,PHP",HTML,54,https://api.github.com/users/atlemo,https://api.github.com/repos/atlemo/SubtlePatterns/languages,https://api.github.com/repos/atlemo/SubtlePatterns/contributors
ecrmnn,collect.js,ecrmnn/collect.js,4089,Norway,no,JavaScript,JavaScript,475,https://api.github.com/users/ecrmnn,https://api.github.com/repos/ecrmnn/collect.js/languages,https://api.github.com/repos/ecrmnn/collect.js/contributors
hyperoslo,ImagePicker,hyperoslo/ImagePicker,3860,Oslo,no,"Swift,Ruby",Swift,919,https://api.github.com/users/hyperoslo,https://api.github.com/repos/hyperoslo/ImagePicker/languages,https://api.github.com/repos/hyperoslo/ImagePicker/contributors
auduno,headtrackr,auduno/headtrackr,3506,"Oslo, Norway",no,JavaScript,JavaScript,47,https://api.github.com/users/auduno,https://api.github.com/repos/auduno/headtrackr/languages,https://api.github.com/repos/auduno/headtrackr/contributors
hyperoslo,Whisper,hyperoslo/Whisper,3490,Oslo,no,"Swift,Ruby",Swift,456,https://api.github.com/users/hyperoslo,https://api.github.com/repos/hyperoslo/Whisper/languages,https://api.github.com/repos/hyperoslo/Whisper/contributors
koekeishiya,kwm,koekeishiya/kwm,3468,Norway,no,"C++,Objective-C++,Swift,C,Makefile,Vim script",C++,2248,https://api.github.com/users/koekeishiya,https://api.github.com/repos/koekeishiya/kwm/languages,https://api.github.com/repos/koekeishiya/kwm/contributors
onmyway133,fantastic-ios-animation,onmyway133/fantastic-ios-animation,3456,"Oslo, Norway",no,,,316,https://api.github.com/users/onmyway133,https://api.github.com/repos/onmyway133/fantastic-ios-animation/languages,https://api.github.com/repos/onmyway133/fantastic-ios-animation/contributors
mikaelbr,node-notifier,mikaelbr/node-notifier,3244,"Trondheim, Norway",no,JavaScript,JavaScript,536,https://api.github.com/users/mikaelbr,https://api.github.com/repos/mikaelbr/node-notifier/languages,https://api.github.com/repos/mikaelbr/node-notifier/contributors
hioa-cs,IncludeOS,hioa-cs/IncludeOS,2883,"Oslo, Norway",no,"C++,C,Python,CMake,Shell,Assembly,Makefile,JavaScript,GDB",C++,8415,https://api.github.com/users/hioa-cs,https://api.github.com/repos/hioa-cs/IncludeOS/languages,https://api.github.com/repos/hioa-cs/IncludeOS/contributors
Lokaltog,vim-powerline,Lokaltog/vim-powerline,2864,"Jessheim, Norway",no,,,359,https://api.github.com/users/Lokaltog,https://api.github.com/repos/Lokaltog/vim-powerline/languages,https://api.github.com/repos/Lokaltog/vim-powerline/contributors
olefredrik,FoundationPress,olefredrik/FoundationPress,2672,"Stavanger, Norway",no,"PHP,CSS,JavaScript",PHP,1475,https://api.github.com/users/olefredrik,https://api.github.com/repos/olefredrik/FoundationPress/languages,https://api.github.com/repos/olefredrik/FoundationPress/contributors
hyperoslo,Presentation,hyperoslo/Presentation,2643,Oslo,no,"Swift,Ruby",Swift,468,https://api.github.com/users/hyperoslo,https://api.github.com/repos/hyperoslo/Presentation/languages,https://api.github.com/repos/hyperoslo/Presentation/contributors
onmyway133,fantastic-ios-architecture,onmyway133/fantastic-ios-architecture,2600,"Oslo, Norway",no,,,302,https://api.github.com/users/onmyway133,https://api.github.com/repos/onmyway133/fantastic-ios-architecture/languages,https://api.github.com/repos/onmyway133/fantastic-ios-architecture/contributors
hyperoslo,Hue,hyperoslo/Hue,2590,Oslo,no,"Swift,Ruby",Swift,280,https://api.github.com/users/hyperoslo,https://api.github.com/repos/hyperoslo/Hue/languages,https://api.github.com/repos/hyperoslo/Hue/contributors
koekeishiya,chunkwm,koekeishiya/chunkwm,2555,Norway,no,"C++,Objective-C++,C,Makefile",C++,1254,https://api.github.com/users/koekeishiya,https://api.github.com/repos/koekeishiya/chunkwm/languages,https://api.github.com/repos/koekeishiya/chunkwm/contributors
christianalfoni,formsy-react,christianalfoni/formsy-react,2497,Norway,no,JavaScript,JavaScript,428,https://api.github.com/users/christianalfoni,https://api.github.com/repos/christianalfoni/formsy-react/languages,https://api.github.com/repos/christianalfoni/formsy-react/contributors
rexxars,react-markdown,rexxars/react-markdown,2489,"Oslo, Norway",no,JavaScript,JavaScript,336,https://api.github.com/users/rexxars,https://api.github.com/repos/rexxars/react-markdown/languages,https://api.github.com/repos/rexxars/react-markdown/contributors
eirslett,frontend-maven-plugin,eirslett/frontend-maven-plugin,2473,Oslo,no,"Java,Groovy,JavaScript,Batchfile,Shell",Java,639,https://api.github.com/users/eirslett,https://api.github.com/repos/eirslett/frontend-maven-plugin/languages,https://api.github.com/repos/eirslett/frontend-maven-plugin/contributors
3lvis,Sync,3lvis/Sync,2237,"Oslo, Norway",no,"Swift,Objective-C,Ruby",Swift,1773,https://api.github.com/users/3lvis,https://api.github.com/repos/3lvis/Sync/languages,https://api.github.com/repos/3lvis/Sync/contributors
raphw,byte-buddy,raphw/byte-buddy,2230,"Oslo, Norway",no,Java,Java,4504,https://api.github.com/users/raphw,https://api.github.com/repos/raphw/byte-buddy/languages,https://api.github.com/repos/raphw/byte-buddy/contributors
kimjoar,writings,kimjoar/writings,2063,"Oslo, Norway",no,,,292,https://api.github.com/users/kimjoar,https://api.github.com/repos/kimjoar/writings/languages,https://api.github.com/repos/kimjoar/writings/contributors
