owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
portainer,portainer,portainer/portainer,9008,"Auckland, New Zealand",nz,"HTML,JavaScript,Go,CSS,Shell,Dockerfile",HTML,1596,https://api.github.com/users/portainer,https://api.github.com/repos/portainer/portainer/languages,https://api.github.com/repos/portainer/portainer/contributors
JamesNK,Newtonsoft.Json,JamesNK/Newtonsoft.Json,5921,"Wellington, New Zealand",nz,"C#,PowerShell,Batchfile",C#,1809,https://api.github.com/users/JamesNK,https://api.github.com/repos/JamesNK/Newtonsoft.Json/languages,https://api.github.com/repos/JamesNK/Newtonsoft.Json/contributors
acaudwell,Gource,acaudwell/Gource,5515,New Zealand,nz,"C++,M4,Perl,Roff,Python,QMake,Makefile,GLSL,C,Shell,Batchfile",C++,921,https://api.github.com/users/acaudwell,https://api.github.com/repos/acaudwell/Gource/languages,https://api.github.com/repos/acaudwell/Gource/contributors
purcell,emacs.d,purcell/emacs.d,4463,"Wellington, New Zealand",nz,"Emacs Lisp,Shell",Emacs Lisp,2935,https://api.github.com/users/purcell,https://api.github.com/repos/purcell/emacs.d/languages,https://api.github.com/repos/purcell/emacs.d/contributors
zeman,perfmap,zeman/perfmap,3791,"Auckland, New Zealand",nz,JavaScript,JavaScript,45,https://api.github.com/users/zeman,https://api.github.com/repos/zeman/perfmap/languages,https://api.github.com/repos/zeman/perfmap/contributors
majutsushi,tagbar,majutsushi/tagbar,3688,New Zealand,nz,Vim script,Vim script,711,https://api.github.com/users/majutsushi,https://api.github.com/repos/majutsushi/tagbar/languages,https://api.github.com/repos/majutsushi/tagbar/contributors
Mooophy,Cpp-Primer,Mooophy/Cpp-Primer,3250,"Auckland, New Zealand",nz,"C++,Ruby,QMake",C++,1879,https://api.github.com/users/Mooophy,https://api.github.com/repos/Mooophy/Cpp-Primer/languages,https://api.github.com/repos/Mooophy/Cpp-Primer/contributors
cortesi,devd,cortesi/devd,2583,"Dunedin, New Zealand",nz,"Go,JavaScript,HTML,Python,CSS",Go,276,https://api.github.com/users/cortesi,https://api.github.com/repos/cortesi/devd/languages,https://api.github.com/repos/cortesi/devd/contributors
paulkinzett,toolbar,paulkinzett/toolbar,2361,"Wellington, New Zealand",nz,"JavaScript,CSS",JavaScript,60,https://api.github.com/users/paulkinzett,https://api.github.com/repos/paulkinzett/toolbar/languages,https://api.github.com/repos/paulkinzett/toolbar/contributors
tomdionysus,foaas,tomdionysus/foaas,1945,"Wellington, NZ",nz,"JavaScript,HTML",JavaScript,533,https://api.github.com/users/tomdionysus,https://api.github.com/repos/tomdionysus/foaas/languages,https://api.github.com/repos/tomdionysus/foaas/contributors
sideshow,apns2,sideshow/apns2,1815,"Wellington, New Zealand",nz,"Go,Lua",Go,250,https://api.github.com/users/sideshow,https://api.github.com/repos/sideshow/apns2/languages,https://api.github.com/repos/sideshow/apns2/contributors
dominictarr,JSON.sh,dominictarr/JSON.sh,1680,New Zealand,nz,"Shell,Python",Shell,204,https://api.github.com/users/dominictarr,https://api.github.com/repos/dominictarr/JSON.sh/languages,https://api.github.com/repos/dominictarr/JSON.sh/contributors
dominictarr,event-stream,dominictarr/event-stream,1626,New Zealand,nz,JavaScript,JavaScript,406,https://api.github.com/users/dominictarr,https://api.github.com/repos/dominictarr/event-stream/languages,https://api.github.com/repos/dominictarr/event-stream/contributors
