owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
tabler,tabler,tabler/tabler,15576,Poland,pl,"JavaScript,CSS,HTML,Ruby,Shell",JavaScript,421,https://api.github.com/users/tabler,https://api.github.com/repos/tabler/tabler/languages,https://api.github.com/repos/tabler/tabler/contributors
ochococo,Design-Patterns-In-Swift,ochococo/Design-Patterns-In-Swift,9857,"Wrocâaw, Poland",pl,"Swift,Shell",Swift,241,https://api.github.com/users/ochococo,https://api.github.com/repos/ochococo/Design-Patterns-In-Swift/languages,https://api.github.com/repos/ochococo/Design-Patterns-In-Swift/contributors
nestjs,nest,nestjs/nest,7984,Poland,pl,"TypeScript,JavaScript,Shell",TypeScript,994,https://api.github.com/users/nestjs,https://api.github.com/repos/nestjs/nest/languages,https://api.github.com/repos/nestjs/nest/contributors
coreui,coreui-free-bootstrap-admin-template,coreui/coreui-free-bootstrap-admin-template,6723,Poland,pl,"HTML,CSS,JavaScript",HTML,478,https://api.github.com/users/coreui,https://api.github.com/repos/coreui/coreui-free-bootstrap-admin-template/languages,https://api.github.com/repos/coreui/coreui-free-bootstrap-admin-template/contributors
koral--,android-gif-drawable,koral--/android-gif-drawable,6497,"Wrocâaw, Poland",pl,"Java,C,Assembly,CMake",Java,1109,https://api.github.com/users/koral--,https://api.github.com/repos/koral--/android-gif-drawable/languages,https://api.github.com/repos/koral--/android-gif-drawable/contributors
krzyzanowskim,CryptoSwift,krzyzanowskim/CryptoSwift,5894,Poland/Warsaw,pl,"Swift,Objective-C,Ruby,Shell",Swift,1168,https://api.github.com/users/krzyzanowskim,https://api.github.com/repos/krzyzanowskim/CryptoSwift/languages,https://api.github.com/repos/krzyzanowskim/CryptoSwift/contributors
jupeter,clean-code-php,jupeter/clean-code-php,5574,Warsaw,pl,PHP,PHP,410,https://api.github.com/users/jupeter,https://api.github.com/repos/jupeter/clean-code-php/languages,https://api.github.com/repos/jupeter/clean-code-php/contributors
ambv,black,ambv/black,5276,"Poznaã, Poland",pl,"Python,Vim script",Python,496,https://api.github.com/users/ambv,https://api.github.com/repos/ambv/black/languages,https://api.github.com/repos/ambv/black/contributors
mimecorg,vuido,mimecorg/vuido,4942,Poland,pl,"JavaScript,Vue",JavaScript,218,https://api.github.com/users/mimecorg,https://api.github.com/repos/mimecorg/vuido/languages,https://api.github.com/repos/mimecorg/vuido/contributors
krzysztofzablocki,Sourcery,krzysztofzablocki/Sourcery,3939,"Warsaw, Poland",pl,"Swift,JavaScript,Ruby,Objective-C,Shell,HTML",Swift,910,https://api.github.com/users/krzysztofzablocki,https://api.github.com/repos/krzysztofzablocki/Sourcery/languages,https://api.github.com/repos/krzysztofzablocki/Sourcery/contributors
tsayen,dom-to-image,tsayen/dom-to-image,3829,"Wroclaw, Poland",pl,"JavaScript,CSS,HTML",JavaScript,435,https://api.github.com/users/tsayen,https://api.github.com/repos/tsayen/dom-to-image/languages,https://api.github.com/repos/tsayen/dom-to-image/contributors
kdzwinel,betwixt,kdzwinel/betwixt,3816,"KrakÌ_w, Poland",pl,"JavaScript,CSS,Python,HTML,Shell",JavaScript,85,https://api.github.com/users/kdzwinel,https://api.github.com/repos/kdzwinel/betwixt/languages,https://api.github.com/repos/kdzwinel/betwixt/contributors
szimek,signature_pad,szimek/signature_pad,3758,"Katowice, Poland",pl,"TypeScript,JavaScript",TypeScript,311,https://api.github.com/users/szimek,https://api.github.com/repos/szimek/signature_pad/languages,https://api.github.com/repos/szimek/signature_pad/contributors
solnic,virtus,solnic/virtus,3729,"Cracow, Poland",pl,Ruby,Ruby,1716,https://api.github.com/users/solnic,https://api.github.com/repos/solnic/virtus/languages,https://api.github.com/repos/solnic/virtus/contributors
barteksc,AndroidPdfViewer,barteksc/AndroidPdfViewer,3719,Poland,pl,Java,Java,90,https://api.github.com/users/barteksc,https://api.github.com/repos/barteksc/AndroidPdfViewer/languages,https://api.github.com/repos/barteksc/AndroidPdfViewer/contributors
jezen,is-thirteen,jezen/is-thirteen,3678,"Gdynia, Poland",pl,JavaScript,JavaScript,473,https://api.github.com/users/jezen,https://api.github.com/repos/jezen/is-thirteen/languages,https://api.github.com/repos/jezen/is-thirteen/contributors
radex,SwiftyUserDefaults,radex/SwiftyUserDefaults,3419,"Toruã, Poland",pl,"Swift,Ruby,Shell,Objective-C",Swift,421,https://api.github.com/users/radex,https://api.github.com/repos/radex/SwiftyUserDefaults/languages,https://api.github.com/repos/radex/SwiftyUserDefaults/contributors
JustArchi,ArchiSteamFarm,JustArchi/ArchiSteamFarm,3111,"Warsaw, Poland",pl,"C#,JavaScript,HTML,CSS,Vue,Shell,PowerShell,Batchfile",C#,5831,https://api.github.com/users/JustArchi,https://api.github.com/repos/JustArchi/ArchiSteamFarm/languages,https://api.github.com/repos/JustArchi/ArchiSteamFarm/contributors
mariuszostrowski,subway,mariuszostrowski/subway,2692,"MilanÌ_wek, Poland",pl,,,20,https://api.github.com/users/mariuszostrowski,https://api.github.com/repos/mariuszostrowski/subway/languages,https://api.github.com/repos/mariuszostrowski/subway/contributors
monterail,vuelidate,monterail/vuelidate,2676,"Wrocâaw, Poland",pl,"JavaScript,HTML",JavaScript,356,https://api.github.com/users/monterail,https://api.github.com/repos/monterail/vuelidate/languages,https://api.github.com/repos/monterail/vuelidate/contributors
DivanteLtd,vue-storefront,DivanteLtd/vue-storefront,2661,"Wrocâaw, Poland",pl,"JavaScript,Vue,CSS,HTML,Dockerfile,Shell",JavaScript,3446,https://api.github.com/users/DivanteLtd,https://api.github.com/repos/DivanteLtd/vue-storefront/languages,https://api.github.com/repos/DivanteLtd/vue-storefront/contributors
fastred,Optimizing-Swift-Build-Times,fastred/Optimizing-Swift-Build-Times,2617,"Warsaw, Poland",pl,Swift,Swift,42,https://api.github.com/users/fastred,https://api.github.com/repos/fastred/Optimizing-Swift-Build-Times/languages,https://api.github.com/repos/fastred/Optimizing-Swift-Build-Times/contributors
m1entus,MZFormSheetController,m1entus/MZFormSheetController,2612,"Cracow, Poland",pl,"Objective-C,Shell,C,Ruby",Objective-C,296,https://api.github.com/users/m1entus,https://api.github.com/repos/m1entus/MZFormSheetController/languages,https://api.github.com/repos/m1entus/MZFormSheetController/contributors
chaps-io,public_activity,chaps-io/public_activity,2573,"Wrocâaw, Poland",pl,"Ruby,Shell,HTML,Roff",Ruby,592,https://api.github.com/users/chaps-io,https://api.github.com/repos/chaps-io/public_activity/languages,https://api.github.com/repos/chaps-io/public_activity/contributors
szwacz,electron-boilerplate,szwacz/electron-boilerplate,2539,"KrakÌ_w, Poland",pl,"JavaScript,HTML,CSS",JavaScript,529,https://api.github.com/users/szwacz,https://api.github.com/repos/szwacz/electron-boilerplate/languages,https://api.github.com/repos/szwacz/electron-boilerplate/contributors
