owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
matthieua,WOW,matthieua/WOW,8440,Lisbon,pt,"JavaScript,CoffeeScript,HTML,CSS",JavaScript,420,https://api.github.com/users/matthieua,https://api.github.com/repos/matthieua/WOW/languages,https://api.github.com/repos/matthieua/WOW/contributors
filp,whoops,filp/whoops,7885,"Lisbon, Portugal",pt,"PHP,CSS,JavaScript",PHP,1068,https://api.github.com/users/filp,https://api.github.com/repos/filp/whoops/languages,https://api.github.com/repos/filp/whoops/contributors
danilowoz,react-content-loader,danilowoz/react-content-loader,4893,"Porto, Portugal",pt,JavaScript,JavaScript,237,https://api.github.com/users/danilowoz,https://api.github.com/repos/danilowoz/react-content-loader/languages,https://api.github.com/repos/danilowoz/react-content-loader/contributors
cloudson,gitql,cloudson/gitql,4864,Lisbon - Portugal,pt,"Go,Makefile",Go,293,https://api.github.com/users/cloudson,https://api.github.com/repos/cloudson/gitql/languages,https://api.github.com/repos/cloudson/gitql/contributors
rubensousa,RecyclerViewSnap,rubensousa/RecyclerViewSnap,3576,"Braga, Portugal",pt,Java,Java,70,https://api.github.com/users/rubensousa,https://api.github.com/repos/rubensousa/RecyclerViewSnap/languages,https://api.github.com/repos/rubensousa/RecyclerViewSnap/contributors
ruipgil,scraperjs,ruipgil/scraperjs,3498,Portugal,pt,"JavaScript,HTML",JavaScript,244,https://api.github.com/users/ruipgil,https://api.github.com/repos/ruipgil/scraperjs/languages,https://api.github.com/repos/ruipgil/scraperjs/contributors
rubensousa,ViewPagerCards,rubensousa/ViewPagerCards,3379,"Braga, Portugal",pt,Java,Java,20,https://api.github.com/users/rubensousa,https://api.github.com/repos/rubensousa/ViewPagerCards/languages,https://api.github.com/repos/rubensousa/ViewPagerCards/contributors
igorescobar,jQuery-Mask-Plugin,igorescobar/jQuery-Mask-Plugin,3321,"Lisbon, Portugal",pt,"JavaScript,HTML,CSS,Ruby,Dockerfile",JavaScript,846,https://api.github.com/users/igorescobar,https://api.github.com/repos/igorescobar/jQuery-Mask-Plugin/languages,https://api.github.com/repos/igorescobar/jQuery-Mask-Plugin/contributors
rubensousa,PreviewSeekBar,rubensousa/PreviewSeekBar,2705,"Braga, Portugal",pt,Java,Java,271,https://api.github.com/users/rubensousa,https://api.github.com/repos/rubensousa/PreviewSeekBar/languages,https://api.github.com/repos/rubensousa/PreviewSeekBar/contributors
gitscrum-community,laravel-gitscrum,gitscrum-community/laravel-gitscrum,2255,Portugal,pt,"PHP,HTML,CSS,JavaScript",PHP,768,https://api.github.com/users/gitscrum-community,https://api.github.com/repos/gitscrum-community/laravel-gitscrum/languages,https://api.github.com/repos/gitscrum-community/laravel-gitscrum/contributors
brunnolou,react-morph,brunnolou/react-morph,2162,"Braga, Portugal",pt,JavaScript,JavaScript,52,https://api.github.com/users/brunnolou,https://api.github.com/repos/brunnolou/react-morph/languages,https://api.github.com/repos/brunnolou/react-morph/contributors
whitesmith,rubycritic,whitesmith/rubycritic,2147,Portugal,pt,"JavaScript,Ruby,HTML,CSS,Gherkin",JavaScript,777,https://api.github.com/users/whitesmith,https://api.github.com/repos/whitesmith/rubycritic/languages,https://api.github.com/repos/whitesmith/rubycritic/contributors
rafaelconde,ios8-ui-kit,rafaelconde/ios8-ui-kit,2120,"Porto, Portugal",pt,,,20,https://api.github.com/users/rafaelconde,https://api.github.com/repos/rafaelconde/ios8-ui-kit/languages,https://api.github.com/repos/rafaelconde/ios8-ui-kit/contributors
sapo,Ink,sapo/Ink,1922,"Lisbon, Portugal",pt,"JavaScript,CSS,HTML,Roff,PHP",JavaScript,2931,https://api.github.com/users/sapo,https://api.github.com/repos/sapo/Ink/languages,https://api.github.com/repos/sapo/Ink/contributors
apocas,dockerode,apocas/dockerode,1920,Portugal,pt,"JavaScript,Dockerfile",JavaScript,574,https://api.github.com/users/apocas,https://api.github.com/repos/apocas/dockerode/languages,https://api.github.com/repos/apocas/dockerode/contributors
joaotavora,yasnippet,joaotavora/yasnippet,1737,Portugal,pt,"Emacs Lisp,Ruby",Emacs Lisp,1324,https://api.github.com/users/joaotavora,https://api.github.com/repos/joaotavora/yasnippet/languages,https://api.github.com/repos/joaotavora/yasnippet/contributors
raphaelcruzeiro,jquery-notebook,raphaelcruzeiro/jquery-notebook,1702,Lisbon,pt,"JavaScript,CSS,HTML",JavaScript,226,https://api.github.com/users/raphaelcruzeiro,https://api.github.com/repos/raphaelcruzeiro/jquery-notebook/languages,https://api.github.com/repos/raphaelcruzeiro/jquery-notebook/contributors
dpgaspar,Flask-AppBuilder,dpgaspar/Flask-AppBuilder,1694,"Lisbon, Portugal",pt,"Python,HTML,JavaScript,CSS,Shell",Python,3307,https://api.github.com/users/dpgaspar,https://api.github.com/repos/dpgaspar/Flask-AppBuilder/languages,https://api.github.com/repos/dpgaspar/Flask-AppBuilder/contributors
