owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
froala,design-blocks,froala/design-blocks,10630,"Bucharest, Romania",ro,"HTML,CSS,JavaScript",HTML,74,https://api.github.com/users/froala,https://api.github.com/repos/froala/design-blocks/languages,https://api.github.com/repos/froala/design-blocks/contributors
mishoo,UglifyJS2,mishoo/UglifyJS2,9176,"Iasi, Romania",ro,"JavaScript,HTML",JavaScript,1872,https://api.github.com/users/mishoo,https://api.github.com/repos/mishoo/UglifyJS2/languages,https://api.github.com/repos/mishoo/UglifyJS2/contributors
serbanghita,Mobile-Detect,serbanghita/Mobile-Detect,8092,"BucureÙti, Romania",ro,PHP,PHP,856,https://api.github.com/users/serbanghita,https://api.github.com/repos/serbanghita/Mobile-Detect/languages,https://api.github.com/repos/serbanghita/Mobile-Detect/contributors
mishoo,UglifyJS,mishoo/UglifyJS,7932,"Iasi, Romania",ro,"JavaScript,CSS",JavaScript,640,https://api.github.com/users/mishoo,https://api.github.com/repos/mishoo/UglifyJS/languages,https://api.github.com/repos/mishoo/UglifyJS/contributors
eugenp,tutorials,eugenp/tutorials,7653,"Bucharest, Romania",ro,"Java,XSLT,JavaScript,HTML,CSS,TypeScript,Kotlin,AspectJ,Shell,FreeMarker,RAML,Groovy,ANTLR,Batchfile,Scala,Ruby,Python,Makefile,SystemVerilog,NewLisp,Perl 6,Gherkin,Dockerfile,C++,Perl,Smarty,PLpgSQL,Thrift",Java,9428,https://api.github.com/users/eugenp,https://api.github.com/repos/eugenp/tutorials/languages,https://api.github.com/repos/eugenp/tutorials/contributors
andreis,interview,andreis/interview,7380,"Bucharest, Romania",ro,,,203,https://api.github.com/users/andreis,https://api.github.com/repos/andreis/interview/languages,https://api.github.com/repos/andreis/interview/contributors
IonicaBizau,git-stats,IonicaBizau/git-stats,4706,Romania,ro,"HTML,JavaScript,Shell",HTML,446,https://api.github.com/users/IonicaBizau,https://api.github.com/repos/IonicaBizau/git-stats/languages,https://api.github.com/repos/IonicaBizau/git-stats/contributors
alexandru,scala-best-practices,alexandru/scala-best-practices,3426,RomÌ¢nia,ro,,,214,https://api.github.com/users/alexandru,https://api.github.com/repos/alexandru/scala-best-practices/languages,https://api.github.com/repos/alexandru/scala-best-practices/contributors
IonicaBizau,scrape-it,IonicaBizau/scrape-it,3098,Romania,ro,"JavaScript,HTML,Shell",JavaScript,218,https://api.github.com/users/IonicaBizau,https://api.github.com/repos/IonicaBizau/scrape-it/languages,https://api.github.com/repos/IonicaBizau/scrape-it/contributors
froala,wysiwyg-editor,froala/wysiwyg-editor,2593,"Bucharest, Romania",ro,"HTML,JavaScript,CSS,PHP",HTML,2644,https://api.github.com/users/froala,https://api.github.com/repos/froala/wysiwyg-editor/languages,https://api.github.com/repos/froala/wysiwyg-editor/contributors
skidding,illustrated-algorithms,skidding/illustrated-algorithms,2471,Bucharest,ro,JavaScript,JavaScript,89,https://api.github.com/users/skidding,https://api.github.com/repos/skidding/illustrated-algorithms/languages,https://api.github.com/repos/skidding/illustrated-algorithms/contributors
harababurel,gcsf,harababurel/gcsf,1822,Romania,ro,"Rust,Shell",Rust,277,https://api.github.com/users/harababurel,https://api.github.com/repos/harababurel/gcsf/languages,https://api.github.com/repos/harababurel/gcsf/contributors
alexei,sprintf.js,alexei/sprintf.js,1683,"Bucharest, Romania",ro,JavaScript,JavaScript,369,https://api.github.com/users/alexei,https://api.github.com/repos/alexei/sprintf.js/languages,https://api.github.com/repos/alexei/sprintf.js/contributors
