owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
tonsky,FiraCode,tonsky/FiraCode,26206,"Moscow, Russia",ru,"Clojure,HTML,CSS,Shell",Clojure,324,https://api.github.com/users/tonsky,https://api.github.com/repos/tonsky/FiraCode/languages,https://api.github.com/repos/tonsky/FiraCode/contributors
kriasoft,react-starter-kit,kriasoft/react-starter-kit,18153,"Saint Petersburg, Russia",ru,"JavaScript,CSS",JavaScript,1007,https://api.github.com/users/kriasoft,https://api.github.com/repos/kriasoft/react-starter-kit/languages,https://api.github.com/repos/kriasoft/react-starter-kit/contributors
nolimits4web,swiper,nolimits4web/swiper,17312,"Rostov-on-Don, Russia",ru,"JavaScript,CSS,HTML",JavaScript,1326,https://api.github.com/users/nolimits4web,https://api.github.com/repos/nolimits4web/swiper/languages,https://api.github.com/repos/nolimits4web/swiper/contributors
mxgmn,WaveFunctionCollapse,mxgmn/WaveFunctionCollapse,8749,Moscow,ru,C#,C#,72,https://api.github.com/users/mxgmn,https://api.github.com/repos/mxgmn/WaveFunctionCollapse/languages,https://api.github.com/repos/mxgmn/WaveFunctionCollapse/contributors
arut,nginx-rtmp-module,arut/nginx-rtmp-module,6933,Moscow,ru,"C,XSLT,HTML,C++,Shell",C,1055,https://api.github.com/users/arut,https://api.github.com/repos/arut/nginx-rtmp-module/languages,https://api.github.com/repos/arut/nginx-rtmp-module/contributors
rushter,MLAlgorithms,rushter/MLAlgorithms,6920,Russia,ru,Python,Python,90,https://api.github.com/users/rushter,https://api.github.com/repos/rushter/MLAlgorithms/languages,https://api.github.com/repos/rushter/MLAlgorithms/contributors
vk-com,kphp-kdb,vk-com/kphp-kdb,6777,"St.Petersburg, Russia",ru,"C,C++,Python,PHP,Objective-C,Perl,Shell,Scheme,Awk",C,25,https://api.github.com/users/vk-com,https://api.github.com/repos/vk-com/kphp-kdb/languages,https://api.github.com/repos/vk-com/kphp-kdb/contributors
zloirock,core-js,zloirock/core-js,6642,"Russia, Barnaul",ru,"JavaScript,HTML",JavaScript,1962,https://api.github.com/users/zloirock,https://api.github.com/repos/zloirock/core-js/languages,https://api.github.com/repos/zloirock/core-js/contributors
vitalets,x-editable,vitalets/x-editable,6116,Moscow,ru,"JavaScript,CSS,HTML",JavaScript,719,https://api.github.com/users/vitalets,https://api.github.com/repos/vitalets/x-editable/languages,https://api.github.com/repos/vitalets/x-editable/contributors
redisson,redisson,redisson/redisson,6095,Moscow,ru,Java,Java,3863,https://api.github.com/users/redisson,https://api.github.com/repos/redisson/redisson/languages,https://api.github.com/repos/redisson/redisson/contributors
yandex,gixy,yandex/gixy,5379,"Moscow, Russia",ru,"Python,Makefile",Python,212,https://api.github.com/users/yandex,https://api.github.com/repos/yandex/gixy/languages,https://api.github.com/repos/yandex/gixy/contributors
KELiON,cerebro,KELiON/cerebro,5351,"Samara, Russia",ru,"JavaScript,CSS,HTML,NSIS",JavaScript,852,https://api.github.com/users/KELiON,https://api.github.com/repos/KELiON/cerebro/languages,https://api.github.com/repos/KELiON/cerebro/contributors
sergeche,emmet-sublime,sergeche/emmet-sublime,5199,"Saint-Petersburg, Russia",ru,"JavaScript,Python",JavaScript,404,https://api.github.com/users/sergeche,https://api.github.com/repos/sergeche/emmet-sublime/languages,https://api.github.com/repos/sergeche/emmet-sublime/contributors
tonsky,AnyBar,tonsky/AnyBar,4641,"Moscow, Russia",ru,"Objective-C,Makefile,AppleScript",Objective-C,78,https://api.github.com/users/tonsky,https://api.github.com/repos/tonsky/AnyBar/languages,https://api.github.com/repos/tonsky/AnyBar/contributors
andrew--r,frontend-case-studies,andrew--r/frontend-case-studies,4610,"Russian Federation, Moscow",ru,,,215,https://api.github.com/users/andrew--r,https://api.github.com/repos/andrew--r/frontend-case-studies/languages,https://api.github.com/repos/andrew--r/frontend-case-studies/contributors
