owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
hakimel,reveal.js,hakimel/reveal.js,41982,"Stockholm, Sweden",se,"JavaScript,CSS,HTML",JavaScript,2298,https://api.github.com/users/hakimel,https://api.github.com/repos/hakimel/reveal.js/languages,https://api.github.com/repos/hakimel/reveal.js/contributors
grafana,grafana,grafana/grafana,23412,Sweden,se,"TypeScript,Go,HTML,CSS,Shell,JavaScript,Python,Dockerfile,Smarty,Makefile",TypeScript,15712,https://api.github.com/users/grafana,https://api.github.com/repos/grafana/grafana/languages,https://api.github.com/repos/grafana/grafana/contributors
t4t5,sweetalert,t4t5/sweetalert,18972,"Stockholm, Sweden",se,"TypeScript,CSS,JavaScript,HTML",TypeScript,436,https://api.github.com/users/t4t5,https://api.github.com/repos/t4t5/sweetalert/languages,https://api.github.com/repos/t4t5/sweetalert/contributors
tobiasahlin,SpinKit,tobiasahlin/SpinKit,15267,Sweden,se,"CSS,JavaScript",CSS,313,https://api.github.com/users/tobiasahlin,https://api.github.com/repos/tobiasahlin/SpinKit/languages,https://api.github.com/repos/tobiasahlin/SpinKit/contributors
veggiemonk,awesome-docker,veggiemonk/awesome-docker,12107,"Stockholm, Sweden",se,,,1758,https://api.github.com/users/veggiemonk,https://api.github.com/repos/veggiemonk/awesome-docker/languages,https://api.github.com/repos/veggiemonk/awesome-docker/contributors
spotify,luigi,spotify/luigi,9860,"Stockholm, Sweden",se,"Python,JavaScript,HTML,CSS,Shell",Python,3769,https://api.github.com/users/spotify,https://api.github.com/repos/spotify/luigi/languages,https://api.github.com/repos/spotify/luigi/contributors
uNetworking,uWebSockets,uNetworking/uWebSockets,9469,Sweden,se,"C++,Makefile,Go,QMake,JavaScript,Shell",C++,1016,https://api.github.com/users/uNetworking,https://api.github.com/repos/uNetworking/uWebSockets/languages,https://api.github.com/repos/uNetworking/uWebSockets/contributors
javve,list.js,javve/list.js,9193,Stockholm,se,"JavaScript,HTML,CSS",JavaScript,723,https://api.github.com/users/javve,https://api.github.com/repos/javve/list.js/languages,https://api.github.com/repos/javve/list.js/contributors
oblador,react-native-vector-icons,oblador/react-native-vector-icons,9162,"Stockholm, Sweden",se,"JavaScript,Objective-C,Shell,Java,CSS,Smarty,Ruby,HTML",JavaScript,499,https://api.github.com/users/oblador,https://api.github.com/repos/oblador/react-native-vector-icons/languages,https://api.github.com/repos/oblador/react-native-vector-icons/contributors
akka,akka,akka/akka,8890,"Uppsala, Sweden",se,"Scala,Java,Shell,JavaScript,Perl,HTML",Scala,22588,https://api.github.com/users/akka,https://api.github.com/repos/akka/akka/languages,https://api.github.com/repos/akka/akka/contributors
eriklindernoren,ML-From-Scratch,eriklindernoren/ML-From-Scratch,8740,"LinkÌ¦ping, Sweden",se,Python,Python,464,https://api.github.com/users/eriklindernoren,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/languages,https://api.github.com/repos/eriklindernoren/ML-From-Scratch/contributors
perwendel,spark,perwendel/spark,7654,"MalmÌ¦, Sweden",se,"Java,HTML,JavaScript,CSS,FreeMarker",Java,1042,https://api.github.com/users/perwendel,https://api.github.com/repos/perwendel/spark/languages,https://api.github.com/repos/perwendel/spark/contributors
hakimel,Ladda,hakimel/Ladda,7345,"Stockholm, Sweden",se,"HTML,JavaScript,CSS",HTML,299,https://api.github.com/users/hakimel,https://api.github.com/repos/hakimel/Ladda/languages,https://api.github.com/repos/hakimel/Ladda/contributors
erlang,otp,erlang/otp,6965,"Stockholm, Sweden",se,"Erlang,C,C++,Makefile,Java,Emacs Lisp,HTML,Shell,M4,XSLT,DTrace,Perl,Python,Assembly,Objective-C,NSIS,JavaScript,CSS,sed,Roff,Ruby,Batchfile,DIGITAL Command Language",Erlang,30265,https://api.github.com/users/erlang,https://api.github.com/repos/erlang/otp/languages,https://api.github.com/repos/erlang/otp/contributors
ubuwaits,beautiful-web-type,ubuwaits/beautiful-web-type,6817,"Stockholm, Sweden",se,"CSS,HTML,Ruby",CSS,85,https://api.github.com/users/ubuwaits,https://api.github.com/repos/ubuwaits/beautiful-web-type/languages,https://api.github.com/repos/ubuwaits/beautiful-web-type/contributors
viatsko,awesome-vscode,viatsko/awesome-vscode,6570,"Stockholm, Sweden",se,JavaScript,JavaScript,387,https://api.github.com/users/viatsko,https://api.github.com/repos/viatsko/awesome-vscode/languages,https://api.github.com/repos/viatsko/awesome-vscode/contributors
varvet,pundit,varvet/pundit,6119,"Gothenburg, Sweden",se,Ruby,Ruby,489,https://api.github.com/users/varvet,https://api.github.com/repos/varvet/pundit/languages,https://api.github.com/repos/varvet/pundit/contributors
tictail,bounce.js,tictail/bounce.js,5646,"Stockholm, Sweden",se,"CSS,CoffeeScript",CSS,248,https://api.github.com/users/tictail,https://api.github.com/repos/tictail/bounce.js/languages,https://api.github.com/repos/tictail/bounce.js/contributors
davidsandberg,facenet,davidsandberg/facenet,5545,"Stockholm, Sweden",se,"Python,Matlab",Python,666,https://api.github.com/users/davidsandberg,https://api.github.com/repos/davidsandberg/facenet/languages,https://api.github.com/repos/davidsandberg/facenet/contributors
