owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
niklasvh,html2canvas,niklasvh/html2canvas,13243,Singapore,sg,"JavaScript,HTML,CSS",JavaScript,998,https://api.github.com/users/niklasvh,https://api.github.com/repos/niklasvh/html2canvas/languages,https://api.github.com/repos/niklasvh/html2canvas/contributors
binhnguyennus,awesome-scalability,binhnguyennus/awesome-scalability,12567,Singapore,sg,,,796,https://api.github.com/users/binhnguyennus,https://api.github.com/repos/binhnguyennus/awesome-scalability/languages,https://api.github.com/repos/binhnguyennus/awesome-scalability/contributors
grab,front-end-guide,grab/front-end-guide,11278,Singapore,sg,JavaScript,JavaScript,70,https://api.github.com/users/grab,https://api.github.com/repos/grab/front-end-guide/languages,https://api.github.com/repos/grab/front-end-guide/contributors
iCHAIT,awesome-macOS,iCHAIT/awesome-macOS,7978,Singapore,sg,,,840,https://api.github.com/users/iCHAIT,https://api.github.com/repos/iCHAIT/awesome-macOS/languages,https://api.github.com/repos/iCHAIT/awesome-macOS/contributors
path,FastImageCache,path/FastImageCache,7912,Singapore,sg,"Objective-C,Shell",Objective-C,232,https://api.github.com/users/path,https://api.github.com/repos/path/FastImageCache/languages,https://api.github.com/repos/path/FastImageCache/contributors
lebinh,ngxtop,lebinh/ngxtop,5079,Singapore,sg,Python,Python,39,https://api.github.com/users/lebinh,https://api.github.com/repos/lebinh/ngxtop/languages,https://api.github.com/repos/lebinh/ngxtop/contributors
pili-engineering,PLDroidPlayer,pili-engineering/PLDroidPlayer,3462,"San Francisco, Shanghai, Beijing, Hangzhou, Shenzhen, Singapore, Sydney",sg,Java,Java,206,https://api.github.com/users/pili-engineering,https://api.github.com/repos/pili-engineering/PLDroidPlayer/languages,https://api.github.com/repos/pili-engineering/PLDroidPlayer/contributors
cloudflare,cfssl,cloudflare/cfssl,3234,"San Francisco, London, Austin, Singapore",sg,"Go,Assembly,JavaScript,Shell,HTML,Dockerfile,Python",Go,1295,https://api.github.com/users/cloudflare,https://api.github.com/repos/cloudflare/cfssl/languages,https://api.github.com/repos/cloudflare/cfssl/contributors
matiassingers,awesome-readme,matiassingers/awesome-readme,2959,Singapore,sg,,,92,https://api.github.com/users/matiassingers,https://api.github.com/repos/matiassingers/awesome-readme/languages,https://api.github.com/repos/matiassingers/awesome-readme/contributors
honcheng,PaperFold-for-iOS,honcheng/PaperFold-for-iOS,2788,Singapore,sg,"Objective-C,C,Ruby",Objective-C,242,https://api.github.com/users/honcheng,https://api.github.com/repos/honcheng/PaperFold-for-iOS/languages,https://api.github.com/repos/honcheng/PaperFold-for-iOS/contributors
kelaberetiv,TagUI,kelaberetiv/TagUI,2765,Singapore,sg,"JavaScript,PHP,Shell,Batchfile,Python,R,HTML,CSS",JavaScript,1088,https://api.github.com/users/kelaberetiv,https://api.github.com/repos/kelaberetiv/TagUI/languages,https://api.github.com/repos/kelaberetiv/TagUI/contributors
amulyakhare,TextDrawable,amulyakhare/TextDrawable,2749,Singapore,sg,Java,Java,11,https://api.github.com/users/amulyakhare,https://api.github.com/repos/amulyakhare/TextDrawable/languages,https://api.github.com/repos/amulyakhare/TextDrawable/contributors
